#lambda	flux
520.5	3.32629
521	3.32198
521.5	3.31767
522	3.31337
522.5	3.30909
523	3.30481
523.5	3.30054
524	3.29629
524.5	3.29204
525	3.2878
525.5	3.28357
526	3.27935
526.5	3.27514
527	3.27094
527.5	3.26675
528	3.26256
528.5	3.25839
529	3.25423
529.5	3.25007
530	3.24593
530.5	3.24179
531	3.23766
531.5	3.23354
532	3.22944
532.5	3.22534
533	3.22125
533.5	3.21716
534	3.21309
534.5	3.20903
535	3.20497
535.5	3.20093
536	3.19689
536.5	3.19286
537	3.18884
537.5	3.18483
538	3.18083
538.5	3.17684
539	3.17285
539.5	3.16888
540	3.16491
540.5	3.16095
541	3.157
541.5	3.15306
542	3.14913
542.5	3.1452
543	3.14129
543.5	3.13738
544	3.13348
544.5	3.12959
545	3.12571
545.5	3.12184
546	3.11797
546.5	3.11412
547	3.11027
547.5	3.10643
548	3.10259
548.5	3.09877
549	3.09495
549.5	3.09115
550	3.08735
550.5	3.08356
551	3.07977
551.5	3.076
552	3.07223
552.5	3.06847
553	3.06472
553.5	3.06098
554	3.05724
554.5	3.05352
555	3.0498
555.5	3.04609
556	3.04238
556.5	3.03869
557	3.035
557.5	3.03132
558	3.02765
558.5	3.02398
559	3.02032
559.5	3.01668
560	3.01303
560.5	3.0094
561	3.00577
561.5	3.00215
562	2.99854
562.5	2.99494
563	2.99134
563.5	2.98776
564	2.98417
564.5	2.9806
565	2.97703
565.5	2.97348
566	2.96992
566.5	2.96638
567	2.96284
567.5	2.95931
568	2.95579
568.5	2.95228
569	2.94877
569.5	2.94527
570	2.94178
570.5	2.93829
571	2.93481
571.5	2.93134
572	2.92788
572.5	2.92442
573	2.92097
573.5	2.91753
574	2.91409
574.5	2.91066
575	2.90724
575.5	2.90382
576	2.90042
576.5	2.89701
577	2.89362
577.5	2.89023
578	2.88685
578.5	2.88348
579	2.88011
579.5	2.87675
580	2.8734
580.5	2.87005
581	2.86671
581.5	2.86338
582	2.86006
582.5	2.85674
583	2.85342
583.5	2.85012
584	2.84682
584.5	2.84353
585	2.84024
585.5	2.83696
586	2.83369
586.5	2.83042
587	2.82716
587.5	2.82391
588	2.82066
588.5	2.81742
589	2.81419
589.5	2.81096
590	2.80774
590.5	2.80453
591	2.80132
591.5	2.79812
592	2.79492
592.5	2.79173
593	2.78855
593.5	2.78538
594	2.78221
594.5	2.77904
595	2.77588
595.5	2.77273
596	2.76959
596.5	2.76645
597	2.76332
597.5	2.76019
598	2.75707
598.5	2.75396
599	2.75085
599.5	2.74775
600	2.74465
600.5	2.74156
601	2.73848
601.5	2.7354
602	2.73233
602.5	2.72926
603	2.7262
603.5	2.72315
604	2.7201
604.5	2.71706
605	2.71402
605.5	2.71099
606	2.70797
606.5	2.70495
607	2.70194
607.5	2.69893
608	2.69593
608.5	2.69293
609	2.68995
609.5	2.68696
610	2.68398
610.5	2.68101
611	2.67805
611.5	2.67508
612	2.67213
612.5	2.66918
613	2.66624
613.5	2.6633
614	2.66037
614.5	2.65744
615	2.65452
615.5	2.6516
616	2.64869
616.5	2.64579
617	2.64289
617.5	2.64
618	2.63711
618.5	2.63423
619	2.63135
619.5	2.62848
620	2.62561
620.5	2.62275
621	2.6199
621.5	2.61705
622	2.6142
622.5	2.61136
623	2.60853
623.5	2.6057
624	2.60288
624.5	2.60006
625	2.59725
625.5	2.59444
626	2.59164
626.5	2.58884
627	2.58605
627.5	2.58327
628	2.58049
628.5	2.57771
629	2.57494
629.5	2.57218
630	2.56941
630.5	2.56666
631	2.56391
631.5	2.56117
632	2.55843
632.5	2.55569
633	2.55296
633.5	2.55024
634	2.54752
634.5	2.5448
635	2.5421
635.5	2.53939
636	2.53669
636.5	2.534
637	2.53131
637.5	2.52862
638	2.52594
638.5	2.52327
639	2.5206
639.5	2.51794
640	2.51528
640.5	2.51262
641	2.50997
641.5	2.50733
642	2.50469
642.5	2.50205
643	2.49942
643.5	2.4968
644	2.49417
644.5	2.49156
645	2.48895
645.5	2.48634
646	2.48374
646.5	2.48114
647	2.47855
647.5	2.47596
648	2.47338
648.5	2.4708
649	2.46823
649.5	2.46566
650	2.46309
650.5	2.46053
651	2.45798
651.5	2.45543
652	2.45288
652.5	2.45034
653	2.4478
653.5	2.44527
654	2.44274
654.5	2.44022
655	2.4377
655.5	2.43519
656	2.43268
656.5	2.43017
657	2.42767
657.5	2.42518
658	2.42269
658.5	2.4202
659	2.41772
659.5	2.41524
660	2.41276
660.5	2.41029
661	2.40783
661.5	2.40537
662	2.40291
662.5	2.40046
663	2.39801
663.5	2.39557
664	2.39313
664.5	2.3907
665	2.38827
665.5	2.38584
666	2.38342
666.5	2.381
667	2.37859
667.5	2.37618
668	2.37377
668.5	2.37137
669	2.36898
669.5	2.36658
670	2.3642
670.5	2.36181
671	2.35943
671.5	2.35706
672	2.35469
672.5	2.35232
673	2.34996
673.5	2.3476
674	2.34524
674.5	2.34289
675	2.34055
675.5	2.3382
676	2.33587
676.5	2.33353
677	2.3312
677.5	2.32888
678	2.32655
678.5	2.32423
679	2.32192
679.5	2.31961
680	2.3173
680.5	2.315
681	2.3127
681.5	2.31041
682	2.30812
682.5	2.30583
683	2.30355
683.5	2.30127
684	2.299
684.5	2.29673
685	2.29446
685.5	2.2922
686	2.28994
686.5	2.28769
687	2.28543
687.5	2.28319
688	2.28094
688.5	2.2787
689	2.27647
689.5	2.27424
690	2.27201
690.5	2.26978
691	2.26756
691.5	2.26535
692	2.26313
692.5	2.26092
693	2.25872
693.5	2.25652
694	2.25432
694.5	2.25212
695	2.24993
695.5	2.24775
696	2.24556
696.5	2.24338
697	2.24121
697.5	2.23904
698	2.23687
698.5	2.2347
699	2.23254
699.5	2.23038
700	2.22823
700.5	2.22608
701	2.22393
701.5	2.22179
702	2.21965
702.5	2.21751
703	2.21538
703.5	2.21325
704	2.21113
704.5	2.209
705	2.20689
705.5	2.20477
706	2.20266
706.5	2.20055
707	2.19845
707.5	2.19635
708	2.19425
708.5	2.19216
709	2.19007
709.5	2.18798
710	2.1859
710.5	2.18382
711	2.18174
711.5	2.17967
712	2.1776
712.5	2.17553
713	2.17347
713.5	2.17141
714	2.16935
714.5	2.1673
715	2.16525
715.5	2.16321
716	2.16116
716.5	2.15913
717	2.15709
717.5	2.15506
718	2.15303
718.5	2.151
719	2.14898
719.5	2.14696
720	2.14494
720.5	2.14293
721	2.14092
721.5	2.13892
722	2.13691
722.5	2.13491
723	2.13292
723.5	2.13093
724	2.12894
724.5	2.12695
725	2.12497
725.5	2.12299
726	2.12101
726.5	2.11904
727	2.11706
727.5	2.1151
728	2.11313
728.5	2.11117
729	2.10921
729.5	2.10726
730	2.10531
730.5	2.10336
731	2.10142
731.5	2.09947
732	2.09753
732.5	2.0956
733	2.09367
733.5	2.09174
734	2.08981
734.5	2.08789
735	2.08597
735.5	2.08405
736	2.08213
736.5	2.08022
737	2.07831
737.5	2.07641
738	2.07451
738.5	2.07261
739	2.07071
739.5	2.06882
740	2.06693
740.5	2.06504
741	2.06316
741.5	2.06128
742	2.0594
742.5	2.05752
743	2.05565
743.5	2.05378
744	2.05192
744.5	2.05005
745	2.04819
745.5	2.04634
746	2.04448
746.5	2.04263
747	2.04078
747.5	2.03894
748	2.03709
748.5	2.03525
749	2.03342
749.5	2.03158
750	2.02975
750.5	2.02792
751	2.0261
751.5	2.02427
752	2.02245
752.5	2.02064
753	2.01882
753.5	2.01701
754	2.0152
754.5	2.0134
755	2.0116
755.5	2.0098
756	2.008
756.5	2.0062
757	2.00441
757.5	2.00262
758	2.00084
758.5	1.99905
759	1.99727
759.5	1.9955
760	1.99372
760.5	1.99195
761	1.99018
761.5	1.98841
762	1.98665
762.5	1.98489
763	1.98313
763.5	1.98137
764	1.97962
764.5	1.97787
765	1.97612
765.5	1.97438
766	1.97263
766.5	1.97089
767	1.96916
767.5	1.96742
768	1.96569
768.5	1.96396
769	1.96223
769.5	1.96051
770	1.95879
770.5	1.95707
771	1.95535
771.5	1.95364
772	1.95193
772.5	1.95022
773	1.94852
773.5	1.94681
774	1.94511
774.5	1.94341
775	1.94172
775.5	1.94003
776	1.93834
776.5	1.93665
777	1.93496
777.5	1.93328
778	1.9316
778.5	1.92992
779	1.92825
779.5	1.92658
780	1.92491
780.5	1.92324
781	1.92158
781.5	1.91991
782	1.91825
782.5	1.9166
783	1.91494
783.5	1.91329
784	1.91164
784.5	1.90999
785	1.90835
785.5	1.9067
786	1.90506
786.5	1.90343
787	1.90179
787.5	1.90016
788	1.89853
788.5	1.8969
789	1.89528
789.5	1.89365
790	1.89203
790.5	1.89041
791	1.8888
791.5	1.88719
792	1.88558
792.5	1.88397
793	1.88236
793.5	1.88076
794	1.87916
794.5	1.87756
795	1.87596
795.5	1.87437
796	1.87277
796.5	1.87118
797	1.8696
797.5	1.86801
798	1.86643
798.5	1.86485
799	1.86327
799.5	1.8617
800	1.86012
800.5	1.85855
801	1.85698
801.5	1.85542
802	1.85385
802.5	1.85229
803	1.85073
803.5	1.84917
804	1.84762
804.5	1.84607
805	1.84452
805.5	1.84297
806	1.84142
806.5	1.83988
807	1.83834
807.5	1.8368
808	1.83526
808.5	1.83373
809	1.8322
809.5	1.83067
810	1.82914
810.5	1.82761
811	1.82609
811.5	1.82457
812	1.82305
812.5	1.82153
813	1.82002
813.5	1.8185
814	1.81699
814.5	1.81549
815	1.81398
815.5	1.81248
816	1.81097
816.5	1.80947
817	1.80798
817.5	1.80648
818	1.80499
818.5	1.8035
819	1.80201
819.5	1.80052
820	1.79904
820.5	1.79756
821	1.79608
821.5	1.7946
822	1.79312
822.5	1.79165
823	1.79018
823.5	1.78871
824	1.78724
824.5	1.78577
825	1.78431
825.5	1.78285
826	1.78139
826.5	1.77993
827	1.77848
827.5	1.77703
828	1.77557
828.5	1.77413
829	1.77268
829.5	1.77123
830	1.76979
830.5	1.76835
831	1.76691
831.5	1.76548
832	1.76404
832.5	1.76261
833	1.76118
833.5	1.75975
834	1.75832
834.5	1.7569
835	1.75548
835.5	1.75406
836	1.75264
836.5	1.75122
837	1.74981
837.5	1.74839
838	1.74698
838.5	1.74558
839	1.74417
839.5	1.74276
840	1.74136
840.5	1.73996
841	1.73856
841.5	1.73717
842	1.73577
842.5	1.73438
843	1.73299
843.5	1.7316
844	1.73021
844.5	1.72883
845	1.72744
845.5	1.72606
846	1.72468
846.5	1.7233
847	1.72193
847.5	1.72056
848	1.71918
848.5	1.71781
849	1.71645
849.5	1.71508
850	1.71372
850.5	1.71235
851	1.71099
851.5	1.70964
852	1.70828
852.5	1.70692
853	1.70557
