# lambda	flux
 2337.84 55.5346
 2338.44 8.45418
 2339.04 56.6877
 2339.65 148.029
 2340.24 72.4214
 2340.84 75.2046
 2341.44 67.7615
 2342.04 107.351
 2342.65 160.506
 2343.24 63.5187
 2343.84 123.268
 2344.44 85.8592
 2345.04 53.8652
 2345.65 75.2753
 2346.24 11.4377
 2346.84 26.0924
 2347.44 41.0711
 2348.04 36.4717
 2348.65 8.01654
 2349.24 45.5447
 2349.84 100.904
 2350.44 109.365
 2351.04 36.85
 2351.65 66.4352
 2352.24 72.0058
 2352.84 144.875
 2353.44 31.5118
 2354.04 92.6892
 2354.65 137.576
 2355.24 41.3025
 2355.84 9.50402
 2356.44 33.4155
 2357.04 54.0064
 2357.65 74.6894
 2358.24 125.278
 2358.84 53.7057
 2359.44 35.7014
 2360.04 77.3304
 2360.65 117.868
 2361.24 13.8013
 2361.84 66.8517
 2362.44 52.046
 2363.04 59.9591
 2363.65 215.174
 2364.24 151.788
 2364.84 124.778
 2365.44 61.3799
 2366.04 100.576
 2366.65 21.1038
 2367.24 38.6308
 2367.84 8.10193
 2368.44 67.8748
 2369.04 78.311
 2369.65 69.7686
 2370.24 35.6157
 2370.84 26.4542
 2371.44 133.213
 2372.04 64.5931
 2372.65 13.585
 2373.24 39.486
 2373.84 7.06053
 2374.44 17.523
 2375.04 69.273
 2375.65 89.6079
 2376.24 135.146
 2376.84 89.25
 2377.44 182.615
 2378.04 151.929
 2378.65 51.2499
 2379.24 45.8867
 2379.84 107.086
 2380.44 48.0359
 2381.04 82.4553
 2381.65 90.7008
 2382.24 178.325
 2382.84 94.9931
 2383.44 116.591
 2384.04 50.4593
 2384.65 45.8164
 2385.24 29.255
 2385.84 49.7124
 2386.44 119.592
 2387.04 86.0774
 2387.65 109.488
 2388.24 71.6998
 2388.84 138.946
 2389.44 86.542
 2390.04 77.1868
 2390.65 63.721
 2391.24 126.026
 2391.84 59.2356
 2392.44 105.504
 2393.04 130.478
 2393.65 40.2307
 2394.24 81.2665
 2394.84 186.17
 2395.44 246.045
 2396.04 49.0018
 2396.65 82.333
 2397.24 49.5826
 2397.84 44.8103
 2398.44 64.4905
 2399.04 26.8366
 2399.65 32.7966
 2400.24 69.1336
 2400.84 92.1208
 2401.44 38.9555
 2402.04 59.9537
 2402.65 23.4909
 2403.24 74.7435
 2403.84 282.347
 2404.44 229.016
 2405.04 52.5502
 2405.65 114.419
 2406.24 96.4917
 2406.84 218.702
 2407.44 46.9656
 2408.04 16.5774
 2408.65 110.366
 2409.24 179.302
 2409.84 185.53
 2410.44 278.454
 2411.04 250.446
 2411.65 186.174
 2412.24 16.3177
 2412.84 106.003
 2413.44 48.9609
 2414.04 106.211
 2414.65 130.72
 2415.24 48.9515
 2415.84 108.697
 2416.44 192.872
 2417.04 142.452
 2417.65 101.122
 2418.24 120.243
 2418.84 261.798
 2419.44 36.8408
 2420.04 22.9698
 2420.65 50.0239
 2421.24 71.9283
 2421.84 54.1526
 2422.44 139.221
 2423.04 339.504
 2423.65 273.252
 2424.24 60.0636
 2424.84 32.1867
 2425.44 110.841
 2426.04 152.222
 2426.65 213.698
 2427.24 45.3803
 2427.84 202.82
 2428.44 118.526
 2429.04 27.7871
 2429.65 190.723
 2430.24 170.875
 2430.84 46.2532
 2431.44 177.939
 2432.04 271.931
 2432.65 101.787
 2433.24 83.9285
 2433.84 81.4948
 2434.44 232.907
 2435.04 81.3255
 2435.65 80.1826
 2436.24 67.1009
 2436.84 255.105
 2437.44 144.38
 2438.04 227.498
 2438.65 213.898
 2439.24 80.1256
 2439.84 34.1479
 2440.44 86.5863
 2441.04 172.069
 2441.65 91.5161
 2442.24 110.041
 2442.84 250.479
 2443.44 49.6091
 2444.04 106.815
 2444.65 55.463
 2445.24 211.071
 2445.84 48.225
 2446.44 126.528
 2447.04 305.088
 2447.65 206.091
 2448.24 74.1962
 2448.84 101.296
 2449.44 286.326
 2450.04 161.796
 2450.65 90.1979
 2451.24 63.7543
 2451.84 56.9111
 2452.44 118.301
 2453.04 95.4607
 2453.65 104.132
 2454.24 48.3497
 2454.84 201.009
 2455.44 226.206
 2456.04 167.463
 2456.65 246.002
 2457.24 79.0263
 2457.84 162.989
 2458.44 30.8287
 2459.04 191.547
 2459.65 90.8209
 2460.24 142.228
 2460.84 70.5174
 2461.44 71.2392
 2462.04 62.4541
 2462.65 37.2438
 2463.24 6.85136
 2463.84 18.6475
 2464.44 47.6932
 2465.04 40.2239
 2465.65 38.9
 2466.24 119.013
 2466.84 146.122
 2467.44 193.952
 2468.04 130.651
 2468.65 98.8643
 2469.24 55.7512
 2469.84 111.91
 2470.44 88.7323
 2471.04 79.5169
 2471.65 31.935
 2472.24 64.6092
 2472.84 15.8984
 2473.44 8.80587
 2474.04 17.3305
 2474.65 21.696
 2475.24 23.3096
 2475.84 60.2999
 2476.44 77.8367
 2477.04 98.6251
 2477.65 32.1794
 2478.24 71.7392
 2478.84 76.7531
 2479.44 57.9974
 2480.04 21.4433
 2480.65 8.41758
