# lambda	flux
 2210.65 0.000260549920414
 2211.24 0.000342057853033
 2211.84 0.000248059083955
 2212.44 0.000140645011188
 2213.04 0.000540723875411
 2213.65 0.00092583139944
 2214.24 0.00069580536405
 2214.84 0.000521417368648
 2215.44 0.000657773941347
 2216.04 0.00101877857216
 2216.65 0.000687683345675
 2217.24 7.5705165335e-05
 2217.84 0.000461023362637
 2218.44 0.000224662625773
 2219.04 0.000406614284043
 2219.65 0.000187871556846
 2220.24 0.000733481627595
 2220.84 0.000409568794594
 2221.44 0.000770130688641
 2222.04 0.00062770216874
 2222.65 0.000220318158642
 2223.24 0.00049309731979
 2223.84 0.000567459460444
 2224.44 0.000951916824807
 2225.04 0.00105806079702
 2225.65 0.000460306693764
 2226.24 0.000285037472842
 2226.84 0.00109841120263
 2227.44 0.000242437468439
 2228.04 0.00117824799491
 2228.65 0.000126447591422
 2229.24 0.000508093257661
 2229.84 0.000611539444855
 2230.44 0.00051603939137
 2231.04 0.000491633259082
 2231.65 0.00018341554734
 2232.24 0.000982392801748
 2232.84 0.000813674823401
 2233.44 0.00115752364061
 2234.04 0.00138585077344
 2234.65 0.00117202977037
 2235.24 0.00102080199674
 2235.84 0.00137660281857
 2236.44 0.00112953021632
 2237.04 0.00105577948836
 2237.65 0.000422983014828
 2238.24 0.00109350745744
 2238.84 0.000625075956209
 2239.44 0.000447336068478
 2240.04 0.00128333193911
 2240.65 0.0014174036846
 2241.24 0.00068303121983
 2241.84 0.00110552090799
 2242.44 0.000699016814682
 2243.04 0.00108973617094
 2243.65 0.000710558908049
 2244.24 0.00111681442856
 2244.84 0.000590182909829
 2245.44 0.000657054826652
 2246.04 0.000671375974995
 2246.65 0.00049802917048
 2247.24 0.000604963915693
 2247.84 0.00102148759938
 2248.44 0.00109936069663
 2249.04 0.00114669216593
 2249.65 0.000399024339312
 2250.24 0.00140076110752
 2250.84 0.000759226268374
 2251.44 0.000118246287637
 2252.04 0.000652384421504
 2252.65 0.000492584984361
 2253.24 0.00103010744988
 2253.84 0.00102860562911
 2254.44 0.000434247743353
 2255.04 0.000801206535708
 2255.65 0.000729959643337
 2256.24 0.00113964974214
 2256.84 0.000334447826813
 2257.44 0.000604064496687
 2258.04 0.00121346277421
 2258.65 0.000511373834957
 2259.24 0.00129164601891
 2259.84 0.00037634547255
 2260.44 0.000539561723587
 2261.04 0.000252817581619
 2261.65 0.000673837845424
 2262.24 0.000397439961306
 2262.84 0.000952944070215
 2263.44 0.00086973719212
 2264.04 0.000456010327807
 2264.65 0.000782434462595
 2265.24 0.000365137856123
 2265.84 0.000132709658407
 2266.44 0.000745422561651
 2267.04 0.000318869053754
 2267.65 0.000151867034367
 2268.24 0.000349510037889
 2268.84 0.00101583749217
 2269.44 0.000201640657328
 2270.04 0.000549828084572
 2270.65 0.00102235977106
 2271.24 0.000755824258141
 2271.84 0.000851078227566
 2272.44 0.000748746906295
 2273.04 0.000738468959836
 2273.65 0.000453976519207
 2274.24 0.000651215490032
 2274.84 0.000271885213061
 2275.44 0.000258353078442
 2276.04 0.000238274099438
 2276.65 0.000381630980577
 2277.24 0.000450742412537
 2277.84 0.000106105611419
 2278.44 0.000668451543768
 2279.04 0.000998302404468
 2279.65 0.000886099400712
 2280.24 0.000274861199649
 2280.84 0.000921146319357
 2281.44 0.00128394579763
 2282.04 0.00135318780218
 2282.65 0.00017151316717
 2283.24 0.000720825569397
 2283.84 0.000131958265293
 2284.44 0.000226551637396
 2285.04 0.00090268430787
 2285.65 0.000345370526384
 2286.24 0.0013174178641
 2286.84 0.000526122315674
 2287.44 0.000901752664081
 2288.04 0.000138471855076
 2288.65 0.000861373680964
 2289.24 0.000301006633483
 2289.84 0.000473118512231
 2290.44 0.000441536036654
 2291.04 0.000698530696752
 2291.65 0.000139209474348
 2292.24 0.000187697839092
 2292.84 0.001086875846
 2293.44 0.000659123005493
 2294.04 0.000960663343169
 2294.65 0.000289271212873
 2295.24 0.000729496481811
 2295.84 0.000694445486795
 2296.44 0.000443177526758
 2297.04 0.00075797169021
 2297.65 0.000216348202702
 2298.24 0.000510976152817
 2298.84 0.000180194442147
 2299.44 0.000291065438151
 2300.04 0.000305316558737
 2300.65 0.000213080841428
 2301.24 0.000508570321757
 2301.84 0.000794889190991
 2302.44 0.00115903799086
 2303.04 0.00129695516989
 2303.65 0.000224180434032
 2304.24 0.000410176517097
 2304.84 0.00058858222634
 2305.44 0.00108943177332
 2306.04 0.00106822108655
 2306.65 0.000886997918626
 2307.24 0.00139902414453
 2307.84 0.00148485620533
 2308.44 0.00113808407253
 2309.04 0.00166430885529
 2309.65 0.000732662920728
 2310.24 0.00131193784883
 2310.84 0.0013930452673
 2311.44 0.000403042310607
 2312.04 0.000293047755752
 2312.65 0.000876017034227
 2313.24 0.000309833713803
 2313.84 0.000753380667017
 2314.44 0.000681577628959
 2315.04 0.00101927812066
 2315.65 0.00130686178044
 2316.24 0.00170649234043
 2316.84 0.000593009379432
 2317.44 0.000726855765983
 2318.04 0.000593410408488
 2318.65 0.00151510339061
 2319.24 0.000745126574231
 2319.84 0.000387333565688
 2320.44 0.00045564482754
 2321.04 0.000258172194857
