# lk ukf_m0iii uks_m0iii fh fk fm
# iRMS=0.01722689532 0
# 
4251.20 0.262014 0.022617 0.241897 0.000000 0.309085
4256.20 0.224392 0.021453 0.223744 0.000000 0.248124
4261.20 0.273235 0.024128 0.227978 0.000000 0.346601
4266.20 0.341848 0.020389 0.248230 0.000000 0.470632
4271.20 0.265782 0.026119 0.242165 0.000000 0.316740
4276.20 0.218234 0.025064 0.236123 0.000000 0.222797
4281.20 0.291770 0.009972 0.238645 0.000000 0.374909
4286.21 0.287247 0.017685 0.227759 0.000000 0.376285
4291.21 0.241711 0.022117 0.223115 0.000000 0.285173
4296.21 0.265709 0.003610 0.234544 0.000000 0.324209
4301.21 0.258681 0.007789 0.228879 0.000000 0.315094
4306.21 0.238157 0.022039 0.221912 0.000000 0.278902
4311.21 0.320103 0.031245 0.248083 0.000000 0.425052
4316.21 0.384376 0.022376 0.309682 0.000000 0.498611
4321.21 0.306792 0.011433 0.338175 0.000000 0.306970
4326.22 0.298482 0.020479 0.331094 0.000000 0.296576
4331.22 0.409493 0.027503 0.343764 0.000000 0.517349
4336.22 0.450742 0.029646 0.353702 0.000000 0.594151
4341.22 0.470130 0.016259 0.354280 0.000000 0.634344
4346.22 0.525744 0.004146 0.374424 0.000000 0.731150
4351.22 0.509999 0.006081 0.376185 0.000000 0.696279
4356.22 0.486674 0.008016 0.384013 0.000000 0.639401
4361.23 0.536171 0.017282 0.396998 0.000000 0.730501
4366.23 0.554248 0.015121 0.409294 0.000000 0.756219
4371.23 0.510238 0.009286 0.398568 0.000000 0.674398
4376.23 0.482384 0.013981 0.378153 0.000000 0.636239
4381.23 0.412729 0.021049 0.338102 0.000000 0.529814
4386.23 0.324851 0.027194 0.312010 0.000000 0.371110
4391.23 0.388583 0.034843 0.326205 0.000000 0.490935
4396.23 0.479044 0.023805 0.367570 0.000000 0.639800
4401.24 0.403392 0.010763 0.381366 0.000000 0.466916
4406.24 0.349652 0.027631 0.347541 0.000000 0.387734
4411.24 0.454193 0.029931 0.352681 0.000000 0.602430
4416.24 0.581519 0.023626 0.374032 0.000000 0.848829
4421.24 0.612798 0.008803 0.406739 0.000000 0.881899
4426.24 0.493406 0.002840 0.408602 0.000000 0.628968
4431.24 0.398973 0.004303 0.405281 0.000000 0.433709
4436.25 0.410639 0.011717 0.411345 0.000000 0.452176
4441.25 0.479931 0.014612 0.439388 0.000000 0.569846
4446.25 0.524053 0.015115 0.461724 0.000000 0.640294
4451.25 0.493394 0.021118 0.462674 0.000000 0.574870
4456.25 0.391691 0.007036 0.419060 0.000000 0.404617
4461.25 0.315910 0.023966 0.393094 0.000000 0.271224
4466.25 0.349098 0.030483 0.416448 0.000000 0.317660
4471.25 0.460649 0.021743 0.453339 0.000000 0.515347
4476.26 0.600487 0.016349 0.492886 0.000000 0.769863
4481.26 0.692807 0.001738 0.511296 0.000000 0.945591
4486.26 0.709320 0.012401 0.524555 0.000000 0.967054
4491.26 0.646617 0.016745 0.508722 0.000000 0.851031
4496.26 0.602582 0.017484 0.496364 0.000000 0.770789
4501.26 0.619049 0.032424 0.525005 0.000000 0.776778
4506.26 0.636638 0.016498 0.559372 0.000000 0.779397
4511.27 0.631274 0.022810 0.575618 0.000000 0.751871
4516.27 0.599988 0.031712 0.567134 0.000000 0.694566
4521.27 0.551954 0.018416 0.543037 0.000000 0.617653
4526.27 0.479749 0.013964 0.489682 0.000000 0.519170
4531.27 0.413525 0.032015 0.454484 0.000000 0.415106
4536.27 0.458084 0.020021 0.473178 0.000000 0.490114
4541.27 0.593676 0.017972 0.503449 0.000000 0.744976
4546.27 0.637065 0.008262 0.525688 0.000000 0.813978
4551.28 0.610002 0.009269 0.542280 0.000000 0.740477
4556.28 0.626995 0.006388 0.570854 0.000000 0.747636
4561.28 0.668235 0.023588 0.596565 0.000000 0.808649
4566.28 0.685224 0.030367 0.610565 0.000000 0.830374
4571.28 0.641877 0.025552 0.612123 0.000000 0.737663
4576.28 0.601417 0.019006 0.607907 0.000000 0.656796
4581.28 0.609090 0.006487 0.597049 0.000000 0.683790
4586.28 0.639327 0.012215 0.599184 0.000000 0.745240
4591.29 0.629168 0.011084 0.592594 0.000000 0.730466
4596.29 0.565176 0.001162 0.578740 0.000000 0.609753
4601.29 0.570039 0.011122 0.580309 0.000000 0.618411
4606.29 0.651401 0.017675 0.612380 0.000000 0.757435
4611.29 0.695316 0.034706 0.664342 0.000000 0.797819
4616.29 0.713621 0.040747 0.701856 0.000000 0.798799
4621.29 0.737140 0.027245 0.706024 0.000000 0.844087
4626.30 0.723133 0.023456 0.682085 0.000000 0.838571
4631.30 0.676397 0.024117 0.648342 0.000000 0.774035
4636.30 0.639839 0.021776 0.604480 0.000000 0.741019
4641.30 0.629956 0.013125 0.571836 0.000000 0.752882
4646.30 0.620002 0.023818 0.553891 0.000000 0.749895
4651.30 0.572097 0.019567 0.575231 0.000000 0.627817
4656.30 0.588123 0.011813 0.622735 0.000000 0.614014
4661.30 0.738759 0.030328 0.654647 0.000000 0.898870
4666.31 0.766817 0.018340 0.617364 0.000000 0.995155
4671.31 0.684138 0.014445 0.591581 0.000000 0.847074
4676.31 0.689673 0.008595 0.595236 0.000000 0.855059
4681.31 0.705585 0.008537 0.607233 0.000000 0.876523
4686.31 0.683277 0.009232 0.619431 0.000000 0.817414
4691.31 0.746620 0.012577 0.629348 0.000000 0.940699
4696.31 0.793999 0.020058 0.642855 0.000000 1.026826
4701.32 0.678696 0.021844 0.643731 0.000000 0.783480
4706.32 0.588845 0.015210 0.639611 0.000000 0.598656
4711.32 0.611785 0.008968 0.639373 0.000000 0.647134
4716.32 0.681832 0.016329 0.660085 0.000000 0.773722
4721.32 0.739723 0.026421 0.679315 0.000000 0.876230
4726.32 0.737315 0.005481 0.656896 0.000000 0.893583
4731.32 0.686740 0.012781 0.637354 0.000000 0.806773
4736.32 0.653509 0.014399 0.661414 0.000000 0.712834
4741.33 0.667168 0.014828 0.680227 0.000000 0.722742
4746.33 0.695802 0.017831 0.695453 0.000000 0.767731
4751.33 0.722103 0.021634 0.698694 0.000000 0.819797
4756.33 0.778116 0.021154 0.677183 0.000000 0.959096
4761.33 0.775100 0.026246 0.631504 0.000000 0.998434
4766.33 0.646861 0.035698 0.588732 0.000000 0.771536
4771.33 0.584971 0.024688 0.583139 0.000000 0.646981
4776.34 0.618956 0.014759 0.597898 0.000000 0.703688
4781.34 0.614628 0.034318 0.598516 0.000000 0.693970
4786.34 0.618474 0.030748 0.594484 0.000000 0.706088
4791.34 0.685113 0.029540 0.612544 0.000000 0.828161
4796.34 0.753278 0.020034 0.649855 0.000000 0.934193
4801.34 0.762374 0.003036 0.675066 0.000000 0.928111
4806.34 0.686829 0.027672 0.650917 0.000000 0.793398
4811.34 0.616677 0.032469 0.636608 0.000000 0.660185
4816.35 0.631646 0.019179 0.656039 0.000000 0.672232
4821.35 0.745166 0.016055 0.670196 0.000000 0.896794
4826.35 0.829872 0.017211 0.663138 0.000000 1.081978
4831.35 0.717827 0.023041 0.649702 0.000000 0.859798
4836.35 0.647482 0.018474 0.655269 0.000000 0.706303
4841.35 0.743252 0.015635 0.664044 0.000000 0.898921
4846.35 0.765506 0.017335 0.664211 0.000000 0.945551
4851.36 0.723766 0.015889 0.656059 0.000000 0.865930
4856.36 0.733991 0.017246 0.639688 0.000000 0.903803
4861.36 0.742796 0.025351 0.621563 0.000000 0.940443
4866.36 0.728650 0.022387 0.623869 0.000000 0.908390
4871.36 0.713790 0.015980 0.637025 0.000000 0.863985
4876.36 0.735581 0.006023 0.659634 0.000000 0.887199
4881.36 0.761876 0.003686 0.669522 0.000000 0.932607
4886.36 0.680608 0.016319 0.652461 0.000000 0.778772
4891.37 0.636429 0.026098 0.660225 0.000000 0.678104
4896.37 0.784761 0.019089 0.716978 0.000000 0.933276
4901.37 0.905413 0.020973 0.757153 0.000000 1.146816
4906.37 0.909209 0.026212 0.762163 0.000000 1.149789
4911.37 0.881061 0.013576 0.751888 0.000000 1.100872
4916.37 0.824070 0.022930 0.740683 0.000000 0.992231
4921.37 0.760294 0.008377 0.728036 0.000000 0.870766
4926.37 0.816043 0.026345 0.772634 0.000000 0.943402
4931.38 0.878517 0.040429 0.798408 0.000000 1.049001
4936.38 0.829756 0.006569 0.770351 0.000000 0.974520
4941.38 0.841850 0.017980 0.760130 0.000000 1.010174
4946.38 0.918437 0.033144 0.814439 0.000000 1.116919
4951.38 0.844035 0.056370 0.830812 0.000000 0.944087
4956.38 0.700382 0.042104 0.733325 0.000000 0.739489
4961.38 0.650798 0.041703 0.652342 0.000000 0.716204
4966.39 0.636205 0.041087 0.640932 0.000000 0.696927
4971.39 0.646867 0.023473 0.667687 0.000000 0.692592
4976.39 0.692071 0.012412 0.681611 0.000000 0.773727
4981.39 0.692418 0.041447 0.663054 0.000000 0.793014
4986.39 0.658536 0.035612 0.665777 0.000000 0.719042
4991.39 0.662146 0.017241 0.676123 0.000000 0.716286
4996.39 0.669961 0.016348 0.672416 0.000000 0.736428
5001.39 0.620547 0.035390 0.649614 0.000000 0.655317
5006.40 0.546718 0.043910 0.625669 0.000000 0.524010
5011.40 0.503114 0.039469 0.608042 0.000000 0.449944
5016.40 0.538445 0.034722 0.600207 0.000000 0.532074
5021.40 0.625558 0.022140 0.619936 0.000000 0.695534
5026.40 0.701390 0.024197 0.653990 0.000000 0.820944
5031.40 0.720360 0.020151 0.688836 0.000000 0.825989
5036.40 0.675399 0.020033 0.671066 0.000000 0.749213
5041.41 0.647040 0.034215 0.651350 0.000000 0.709293
5046.41 0.629947 0.017460 0.688950 0.000000 0.635750
5051.41 0.620355 0.024310 0.709361 0.000000 0.595168
