# lk ukf_m5iii uks_m5iii fh fl fk fm
# lRMS=0.1901770234 iRMS=0.147836566 0
# 
3961.12 0.079858 0.032559 0.128619 0.000000 0.000000 0.069560
3966.12 0.057782 0.020345 0.102829 0.000000 0.000000 0.040565
3971.12 0.088429 0.021763 0.112416 0.000000 0.000000 0.107032
3976.12 0.161983 0.042809 0.162018 0.000000 0.000000 0.239964
3981.13 0.241959 0.057414 0.210942 0.000000 0.000000 0.389510
3986.13 0.274443 0.071445 0.243021 0.000000 0.000000 0.438045
3991.13 0.272633 0.079389 0.260628 0.000000 0.000000 0.415947
3996.13 0.325017 0.084881 0.276121 0.000000 0.000000 0.530450
4001.13 0.385157 0.087372 0.290428 0.000000 0.000000 0.665389
4006.13 0.376224 0.087259 0.301391 0.000000 0.000000 0.632256
4011.13 0.370732 0.085798 0.309986 0.000000 0.000000 0.610034
4016.13 0.412615 0.105149 0.328152 0.000000 0.000000 0.695805
4021.14 0.454579 0.095509 0.320702 0.000000 0.000000 0.807395
4026.14 0.410269 0.089323 0.307937 0.000000 0.000000 0.710199
4031.14 0.294921 0.078136 0.296322 0.000000 0.000000 0.435562
4036.14 0.322959 0.091101 0.314217 0.000000 0.000000 0.487249
4041.14 0.443756 0.110990 0.339564 0.000000 0.000000 0.761674
4046.14 0.488402 0.083000 0.328708 0.000000 0.000000 0.883324
4051.14 0.468617 0.098196 0.341770 0.000000 0.000000 0.821164
4056.15 0.396721 0.097783 0.338824 0.000000 0.000000 0.645690
4061.15 0.329229 0.086437 0.329506 0.000000 0.000000 0.487518
4066.15 0.376725 0.088656 0.336988 0.000000 0.000000 0.597904
4071.15 0.501143 0.100011 0.349596 0.000000 0.000000 0.894054
4076.15 0.444227 0.088854 0.343125 0.000000 0.000000 0.759282
4081.15 0.376235 0.089876 0.355513 0.000000 0.000000 0.578164
4086.15 0.546964 0.108102 0.396947 0.000000 0.000000 0.960414
4091.15 0.668588 0.104440 0.414097 0.000000 0.000000 1.245090
4096.16 0.580924 0.081749 0.388797 0.000000 0.000000 1.052840
4101.16 0.498294 0.066833 0.362025 0.000000 0.000000 0.874556
4106.16 0.495868 0.083469 0.372872 0.000000 0.000000 0.857688
4111.16 0.510065 0.083720 0.378007 0.000000 0.000000 0.887785
4116.16 0.486746 0.078689 0.372021 0.000000 0.000000 0.835902
4121.16 0.473392 0.083836 0.372750 0.000000 0.000000 0.802034
4126.16 0.554959 0.084906 0.370958 0.000000 0.000000 1.006244
4131.17 0.575896 0.065234 0.355754 0.000000 0.000000 1.073407
4136.17 0.465285 0.066727 0.357595 0.000000 0.000000 0.797070
4141.17 0.377663 0.069879 0.361868 0.000000 0.000000 0.575352
4146.17 0.375414 0.070727 0.365966 0.000000 0.000000 0.565673
