# lk ukf_k3iii uks_k3iii fh fse fl fd fc
# iRMS=0.0007893881411 0
# 
3155.91 0.035675 0.000000 0.035675 0.000000 0.000000 0.000000 0.000000
3160.91 0.036178 0.000000 0.036178 0.000000 0.000000 0.000000 0.000000
3165.92 0.036718 0.000000 0.036718 0.000000 0.000000 0.000000 0.000000
3170.92 0.037265 0.000000 0.037265 0.000000 0.000000 0.000000 0.000000
3175.92 0.037793 0.000000 0.037793 0.000000 0.000000 0.000000 0.000000
3180.92 0.038272 0.000000 0.038272 0.000000 0.000000 0.000000 0.000000
3185.92 0.038676 0.000000 0.038676 0.000000 0.000000 0.000000 0.000000
3190.92 0.050724 0.013566 0.050724 0.000000 0.000000 0.000000 0.000000
3195.92 0.050436 0.013039 0.050436 0.000000 0.000000 0.000000 0.000000
3200.92 0.060768 0.000000 0.060768 0.000000 0.000000 0.000000 0.000000
3205.93 0.059791 0.000000 0.059791 0.000000 0.000000 0.000000 0.000000
3210.93 0.058460 0.000000 0.058460 0.000000 0.000000 0.000000 0.000000
3215.93 0.056495 0.000000 0.056495 0.000000 0.000000 0.000000 0.000000
3220.93 0.054401 0.000000 0.054401 0.000000 0.000000 0.000000 0.000000
3225.93 0.052914 0.000000 0.052914 0.000000 0.000000 0.000000 0.000000
3230.93 0.052943 0.000000 0.052943 0.000000 0.000000 0.000000 0.000000
3235.93 0.054859 0.000000 0.054859 0.000000 0.000000 0.000000 0.000000
3240.94 0.056741 0.000000 0.056741 0.000000 0.000000 0.000000 0.000000
3245.94 0.056964 0.000000 0.056964 0.000000 0.000000 0.000000 0.000000
3250.94 0.057389 0.000000 0.057389 0.000000 0.000000 0.000000 0.000000
3255.94 0.059957 0.000000 0.059957 0.000000 0.000000 0.000000 0.000000
3260.94 0.063424 0.000000 0.063424 0.000000 0.000000 0.000000 0.000000
3265.94 0.066346 0.000000 0.066346 0.000000 0.000000 0.000000 0.000000
3270.94 0.069658 0.000000 0.069658 0.000000 0.000000 0.000000 0.000000
3275.94 0.074151 0.000000 0.074151 0.000000 0.000000 0.000000 0.000000
3280.95 0.077664 0.000000 0.077664 0.000000 0.000000 0.000000 0.000000
3285.95 0.078382 0.000000 0.078382 0.000000 0.000000 0.000000 0.000000
3290.95 0.078841 0.000000 0.078841 0.000000 0.000000 0.000000 0.000000
3295.95 0.081430 0.000000 0.081430 0.000000 0.000000 0.000000 0.000000
3300.95 0.083603 0.000000 0.083603 0.000000 0.000000 0.000000 0.000000
3305.95 0.082652 0.000000 0.082652 0.000000 0.000000 0.000000 0.000000
3310.95 0.080161 0.000000 0.080161 0.000000 0.000000 0.000000 0.000000
3315.95 0.078487 0.000000 0.078487 0.000000 0.000000 0.000000 0.000000
3320.96 0.078777 0.000000 0.078777 0.000000 0.000000 0.000000 0.000000
3325.96 0.081172 0.000000 0.081172 0.000000 0.000000 0.000000 0.000000
3330.96 0.083000 0.000000 0.083000 0.000000 0.000000 0.000000 0.000000
