# lk ukf_m4v uks_m4v fh fse fl
# iRMS=0.001250443514 0
# 
3921.11 0.143328 0.067440 0.143328 0.000000 0.000000
3926.11 0.147180 0.070658 0.147180 0.000000 0.000000
3931.11 0.138940 0.048868 0.138940 0.000000 0.000000
3936.11 0.127823 0.018052 0.127823 0.000000 0.000000
3941.12 0.116910 0.000850 0.116910 0.000000 0.000000
3946.12 0.103729 0.000330 0.103729 0.000000 0.000000
3951.12 0.094330 0.003823 0.094330 0.000000 0.000000
3956.12 0.095211 0.006479 0.095211 0.000000 0.000000
3961.12 0.102432 0.018660 0.102432 0.000000 0.000000
3966.12 0.114733 0.015738 0.114733 0.000000 0.000000
3971.12 0.140268 0.002901 0.140268 0.000000 0.000000
3976.12 0.178929 0.005324 0.178929 0.000000 0.000000
3981.13 0.211300 0.007605 0.211300 0.000000 0.000000
3986.13 0.221424 0.007643 0.221424 0.000000 0.000000
3991.13 0.216460 0.003821 0.216460 0.000000 0.000000
3996.13 0.212422 0.000725 0.212422 0.000000 0.000000
4001.13 0.224349 0.000000 0.224349 0.000000 0.000000
4006.13 0.252656 0.000000 0.252656 0.000000 0.000000
4011.13 0.279782 0.000000 0.279782 0.000000 0.000000
4016.13 0.284051 0.000000 0.284051 0.000000 0.000000
4021.14 0.257451 0.000000 0.257451 0.000000 0.000000
4026.14 0.213729 0.000000 0.213729 0.000000 0.000000
4031.14 0.179748 0.000000 0.179748 0.000000 0.000000
4036.14 0.179079 0.000000 0.179079 0.000000 0.000000
4041.14 0.217315 0.000000 0.217315 0.000000 0.000000
4046.14 0.277419 0.000000 0.277419 0.000000 0.000000
4051.14 0.329250 0.000000 0.329250 0.000000 0.000000
4056.15 0.346768 0.000000 0.346768 0.000000 0.000000
4061.15 0.322661 0.000000 0.322661 0.000000 0.000000
4066.15 0.271418 0.000000 0.271418 0.000000 0.000000
4071.15 0.220483 0.000000 0.220483 0.000000 0.000000
4076.15 0.194386 0.000000 0.194386 0.000000 0.000000
4081.15 0.200204 0.000000 0.200204 0.000000 0.000000
4086.15 0.224923 0.000000 0.224923 0.000000 0.000000
4091.15 0.246416 0.000000 0.246416 0.000000 0.000000
4096.16 0.248452 0.000000 0.248452 0.000000 0.000000
4101.16 0.230280 0.000000 0.230280 0.000000 0.000000
4106.16 0.205694 0.000000 0.205694 0.000000 0.000000
4111.16 0.192292 0.000000 0.192292 0.000000 0.000000
4116.16 0.197822 0.000000 0.197822 0.000000 0.000000
4121.16 0.216328 0.000000 0.216328 0.000000 0.000000
4126.16 0.233909 0.000000 0.233909 0.000000 0.000000
4131.17 0.238825 0.000000 0.238825 0.000000 0.000000
4136.17 0.229245 0.000000 0.229245 0.000000 0.000000
4141.17 0.213189 0.000000 0.213189 0.000000 0.000000
4146.17 0.201183 0.000000 0.201183 0.000000 0.000000
4151.17 0.198862 0.000000 0.198862 0.000000 0.000000
4156.17 0.204793 0.000000 0.204793 0.000000 0.000000
4161.17 0.213424 0.000000 0.213424 0.000000 0.000000
4166.17 0.219975 0.000000 0.219975 0.000000 0.000000
4171.18 0.223157 0.000000 0.223157 0.000000 0.000000
4176.18 0.223921 0.000000 0.223921 0.000000 0.000000
4181.18 0.223093 0.000000 0.223093 0.000000 0.000000
4186.18 0.220694 0.000000 0.220694 0.000000 0.000000
4191.18 0.217433 0.000000 0.217433 0.000000 0.000000
4196.18 0.215821 0.000000 0.215821 0.000000 0.000000
4201.18 0.217835 0.000000 0.217835 0.000000 0.000000
4206.18 0.222362 0.000000 0.222362 0.000000 0.000000
4211.19 0.222891 0.000000 0.222891 0.000000 0.000000
4216.19 0.211354 0.000000 0.211354 0.000000 0.000000
4221.19 0.184952 0.000000 0.184952 0.000000 0.000000
4226.19 0.150994 0.000000 0.150994 0.000000 0.000000
4231.19 0.125758 0.000000 0.125758 0.000000 0.000000
4236.19 0.124027 0.000000 0.124027 0.000000 0.000000
4241.19 0.148236 0.000000 0.148236 0.000000 0.000000
4246.20 0.185333 0.000000 0.185333 0.000000 0.000000
4251.20 0.213577 0.000000 0.213577 0.000000 0.000000
4256.20 0.215694 0.000000 0.215694 0.000000 0.000000
4261.20 0.190453 0.000000 0.190453 0.000000 0.000000
4266.20 0.153807 0.000000 0.153807 0.000000 0.000000
4271.20 0.128311 0.000000 0.128311 0.000000 0.000000
4276.20 0.129964 0.000000 0.129964 0.000000 0.000000
4281.20 0.159243 0.000000 0.159243 0.000000 0.000000
4286.21 0.201044 0.000000 0.201044 0.000000 0.000000
4291.21 0.234449 0.000000 0.234449 0.000000 0.000000
4296.21 0.245155 0.000000 0.245155 0.000000 0.000000
4301.21 0.234210 0.000000 0.234210 0.000000 0.000000
4306.21 0.216488 0.000000 0.216488 0.000000 0.000000
4311.21 0.211086 0.000000 0.211086 0.000000 0.000000
4316.21 0.229133 0.000000 0.229133 0.000000 0.000000
4321.21 0.265354 0.000000 0.265354 0.000000 0.000000
4326.22 0.300246 0.000000 0.300246 0.000000 0.000000
4331.22 0.313356 0.000000 0.313356 0.000000 0.000000
4336.22 0.297730 0.000000 0.297730 0.000000 0.000000
4341.22 0.265574 0.000000 0.265574 0.000000 0.000000
4346.22 0.240954 0.000000 0.240954 0.000000 0.000000
4351.22 0.243112 0.000000 0.243112 0.000000 0.000000
4356.22 0.271743 0.000000 0.271743 0.000000 0.000000
4361.23 0.307479 0.000000 0.307479 0.000000 0.000000
4366.23 0.326283 0.000000 0.326283 0.000000 0.000000
4371.23 0.316957 0.000000 0.316957 0.000000 0.000000
4376.23 0.289309 0.000000 0.289309 0.000000 0.000000
4381.23 0.265815 0.000000 0.265815 0.000000 0.000000
4386.23 0.264468 0.000000 0.264468 0.000000 0.000000
4391.23 0.285823 0.000000 0.285823 0.000000 0.000000
4396.23 0.315263 0.000000 0.315263 0.000000 0.000000
4401.24 0.335564 0.000000 0.335564 0.000000 0.000000
4406.24 0.339271 0.000000 0.339271 0.000000 0.000000
4411.24 0.332034 0.000000 0.332034 0.000000 0.000000
