# lk ukf_g8i uks_g8i fh fse fl fk
# iRMS=0.0002441611141 0
# 
3966.12 0.120592 0.021231 0.120592 0.000000 0.000000 0.000000
3971.12 0.106193 0.018780 0.106193 0.000000 0.000000 0.000000
3976.12 0.150990 0.017318 0.150990 0.000000 0.000000 0.000000
3981.13 0.212342 0.022402 0.212342 0.000000 0.000000 0.000000
3986.13 0.258563 0.015484 0.258563 0.000000 0.000000 0.000000
3991.13 0.286528 0.007200 0.286528 0.000000 0.000000 0.000000
3996.13 0.301088 0.005968 0.301088 0.000000 0.000000 0.000000
4001.13 0.315199 0.015684 0.315199 0.000000 0.000000 0.000000
4006.13 0.321467 0.019291 0.321467 0.000000 0.000000 0.000000
4011.13 0.335462 0.025321 0.335462 0.000000 0.000000 0.000000
4016.13 0.355487 0.031210 0.355487 0.000000 0.000000 0.000000
4021.14 0.357257 0.025690 0.357257 0.000000 0.000000 0.000000
4026.14 0.349360 0.022393 0.349360 0.000000 0.000000 0.000000
4031.14 0.333644 0.015044 0.333644 0.000000 0.000000 0.000000
4036.14 0.329835 0.012424 0.329835 0.000000 0.000000 0.000000
4041.14 0.338401 0.016770 0.338401 0.000000 0.000000 0.000000
4046.14 0.321903 0.012415 0.321903 0.000000 0.000000 0.000000
4051.14 0.331991 0.020067 0.331991 0.000000 0.000000 0.000000
4056.15 0.327324 0.023652 0.327324 0.000000 0.000000 0.000000
4061.15 0.312777 0.014764 0.312777 0.000000 0.000000 0.000000
4066.15 0.311531 0.008578 0.311531 0.000000 0.000000 0.000000
4071.15 0.319621 0.010774 0.319621 0.000000 0.000000 0.000000
4076.15 0.315692 0.012043 0.315692 0.000000 0.000000 0.000000
4081.15 0.330344 0.024064 0.330344 0.000000 0.000000 0.000000
4086.15 0.369569 0.039002 0.369569 0.000000 0.000000 0.000000
4091.15 0.387950 0.040340 0.387950 0.000000 0.000000 0.000000
4096.16 0.364743 0.029302 0.364743 0.000000 0.000000 0.000000
4101.16 0.335552 0.021020 0.335552 0.000000 0.000000 0.000000
4106.16 0.341508 0.022548 0.341508 0.000000 0.000000 0.000000
4111.16 0.349313 0.019033 0.349313 0.000000 0.000000 0.000000
4116.16 0.345877 0.010986 0.345877 0.000000 0.000000 0.000000
4121.16 0.337350 0.008826 0.337350 0.000000 0.000000 0.000000
4126.16 0.329707 0.013898 0.329707 0.000000 0.000000 0.000000
4131.17 0.317335 0.015455 0.317335 0.000000 0.000000 0.000000
4136.17 0.315411 0.014227 0.315411 0.000000 0.000000 0.000000
4141.17 0.314488 0.009355 0.314488 0.000000 0.000000 0.000000
4146.17 0.302627 0.015062 0.302627 0.000000 0.000000 0.000000
4151.17 0.301617 0.018197 0.301617 0.000000 0.000000 0.000000
4156.17 0.310087 0.023364 0.310087 0.000000 0.000000 0.000000
4161.17 0.327652 0.022788 0.327652 0.000000 0.000000 0.000000
4166.17 0.329846 0.018787 0.329846 0.000000 0.000000 0.000000
4171.18 0.316573 0.012438 0.316573 0.000000 0.000000 0.000000
4176.18 0.301143 0.017258 0.301143 0.000000 0.000000 0.000000
4181.18 0.309036 0.018402 0.309036 0.000000 0.000000 0.000000
4186.18 0.331634 0.015271 0.331634 0.000000 0.000000 0.000000
4191.18 0.340457 0.011150 0.340457 0.000000 0.000000 0.000000
4196.18 0.328575 0.011386 0.328575 0.000000 0.000000 0.000000
4201.18 0.318685 0.012016 0.318685 0.000000 0.000000 0.000000
4206.18 0.336619 0.008977 0.336619 0.000000 0.000000 0.000000
4211.19 0.364653 0.013538 0.364653 0.000000 0.000000 0.000000
4216.19 0.384790 0.019914 0.384790 0.000000 0.000000 0.000000
4221.19 0.402354 0.014051 0.402354 0.000000 0.000000 0.000000
4226.19 0.363662 0.017653 0.363662 0.000000 0.000000 0.000000
4231.19 0.370942 0.008447 0.370942 0.000000 0.000000 0.000000
4236.19 0.401911 0.014038 0.401911 0.000000 0.000000 0.000000
4241.19 0.428980 0.029757 0.428980 0.000000 0.000000 0.000000
4246.20 0.449743 0.035173 0.449743 0.000000 0.000000 0.000000
4251.20 0.425422 0.014321 0.425422 0.000000 0.000000 0.000000
4256.20 0.414535 0.013984 0.414535 0.000000 0.000000 0.000000
4261.20 0.432640 0.028327 0.432640 0.000000 0.000000 0.000000
4266.20 0.451810 0.036293 0.451810 0.000000 0.000000 0.000000
4271.20 0.421284 0.014441 0.421284 0.000000 0.000000 0.000000
4276.20 0.412745 0.016760 0.412745 0.000000 0.000000 0.000000
4281.20 0.435534 0.014350 0.435534 0.000000 0.000000 0.000000
4286.21 0.422922 0.007912 0.422922 0.000000 0.000000 0.000000
4291.21 0.399339 0.002154 0.399339 0.000000 0.000000 0.000000
4296.21 0.383376 0.007322 0.383376 0.000000 0.000000 0.000000
4301.21 0.345523 0.010565 0.345523 0.000000 0.000000 0.000000
4306.21 0.324558 0.027736 0.324558 0.000000 0.000000 0.000000
4311.21 0.360259 0.056166 0.360259 0.000000 0.000000 0.000000
4316.21 0.467690 0.068978 0.467690 0.000000 0.000000 0.000000
4321.21 0.527566 0.053002 0.527566 0.000000 0.000000 0.000000
4326.22 0.514900 0.034114 0.514900 0.000000 0.000000 0.000000
4331.22 0.552785 0.033547 0.552785 0.000000 0.000000 0.000000
4336.22 0.560845 0.041425 0.560845 0.000000 0.000000 0.000000
4341.22 0.527897 0.031003 0.527897 0.000000 0.000000 0.000000
4346.22 0.552445 0.045491 0.552445 0.000000 0.000000 0.000000
4351.22 0.569974 0.052596 0.569974 0.000000 0.000000 0.000000
4356.22 0.584565 0.052128 0.584565 0.000000 0.000000 0.000000
4361.23 0.610172 0.052627 0.610172 0.000000 0.000000 0.000000
4366.23 0.622017 0.045803 0.622017 0.000000 0.000000 0.000000
4371.23 0.592662 0.031107 0.592662 0.000000 0.000000 0.000000
4376.23 0.558891 0.018469 0.558891 0.000000 0.000000 0.000000
4381.23 0.520726 0.003585 0.520726 0.000000 0.000000 0.000000
4386.23 0.479540 0.024658 0.479540 0.000000 0.000000 0.000000
4391.23 0.507709 0.010430 0.507709 0.000000 0.000000 0.000000
4396.23 0.547811 0.019572 0.547811 0.000000 0.000000 0.000000
4401.24 0.555570 0.007599 0.555570 0.000000 0.000000 0.000000
4406.24 0.527332 0.022617 0.527332 0.000000 0.000000 0.000000
4411.24 0.547403 0.008995 0.547403 0.000000 0.000000 0.000000
4416.24 0.570078 0.007633 0.570078 0.000000 0.000000 0.000000
4421.24 0.584483 0.008122 0.584483 0.000000 0.000000 0.000000
4426.24 0.591990 0.008586 0.591990 0.000000 0.000000 0.000000
4431.24 0.588586 0.009497 0.588586 0.000000 0.000000 0.000000
4436.25 0.585326 0.004848 0.585326 0.000000 0.000000 0.000000
4441.25 0.606360 0.012318 0.606360 0.000000 0.000000 0.000000
4446.25 0.625550 0.009057 0.625550 0.000000 0.000000 0.000000
4451.25 0.633255 0.022040 0.633255 0.000000 0.000000 0.000000
4456.25 0.587602 0.019458 0.587602 0.000000 0.000000 0.000000
4461.25 0.555248 0.014592 0.555248 0.000000 0.000000 0.000000
4466.25 0.581496 0.011912 0.581496 0.000000 0.000000 0.000000
4471.25 0.628205 0.020639 0.628205 0.000000 0.000000 0.000000
4476.26 0.684020 0.037672 0.684020 0.000000 0.000000 0.000000
4481.26 0.693885 0.028755 0.693885 0.000000 0.000000 0.000000
4486.26 0.694522 0.022659 0.694522 0.000000 0.000000 0.000000
4491.26 0.673270 0.013208 0.673270 0.000000 0.000000 0.000000
4496.26 0.669857 0.019832 0.669857 0.000000 0.000000 0.000000
4501.26 0.725200 0.049469 0.725200 0.000000 0.000000 0.000000
4506.26 0.774153 0.058348 0.774153 0.000000 0.000000 0.000000
4511.27 0.769325 0.031172 0.769325 0.000000 0.000000 0.000000
4516.27 0.740245 0.018842 0.740245 0.000000 0.000000 0.000000
4521.27 0.723458 0.019443 0.723458 0.000000 0.000000 0.000000
4526.27 0.663575 0.008781 0.663575 0.000000 0.000000 0.000000
4531.27 0.626152 0.011906 0.626152 0.000000 0.000000 0.000000
4536.27 0.655585 0.008649 0.655585 0.000000 0.000000 0.000000
4541.27 0.683849 0.017750 0.683849 0.000000 0.000000 0.000000
4546.27 0.686797 0.017519 0.686797 0.000000 0.000000 0.000000
4551.28 0.680801 0.012956 0.680801 0.000000 0.000000 0.000000
4556.28 0.704418 0.024566 0.704418 0.000000 0.000000 0.000000
4561.28 0.734125 0.035357 0.734125 0.000000 0.000000 0.000000
4566.28 0.738230 0.025807 0.738230 0.000000 0.000000 0.000000
4571.28 0.751540 0.029481 0.751540 0.000000 0.000000 0.000000
4576.28 0.743357 0.020874 0.743357 0.000000 0.000000 0.000000
4581.28 0.724856 0.010011 0.724856 0.000000 0.000000 0.000000
4586.28 0.739937 0.024504 0.739937 0.000000 0.000000 0.000000
4591.29 0.744488 0.025609 0.744488 0.000000 0.000000 0.000000
4596.29 0.719256 0.010715 0.719256 0.000000 0.000000 0.000000
4601.29 0.718701 0.008606 0.718701 0.000000 0.000000 0.000000
4606.29 0.767170 0.032878 0.767170 0.000000 0.000000 0.000000
4611.29 0.831148 0.061411 0.831148 0.000000 0.000000 0.000000
4616.29 0.849765 0.059371 0.849765 0.000000 0.000000 0.000000
4621.29 0.858324 0.059086 0.858324 0.000000 0.000000 0.000000
4626.30 0.851242 0.047969 0.851242 0.000000 0.000000 0.000000
4631.30 0.835200 0.036027 0.835200 0.000000 0.000000 0.000000
4636.30 0.797501 0.009868 0.797501 0.000000 0.000000 0.000000
4641.30 0.764274 0.011409 0.764274 0.000000 0.000000 0.000000
4646.30 0.736738 0.011705 0.736738 0.000000 0.000000 0.000000
4651.30 0.749062 0.007139 0.749062 0.000000 0.000000 0.000000
4656.30 0.795677 0.034807 0.795677 0.000000 0.000000 0.000000
4661.30 0.816001 0.039491 0.816001 0.000000 0.000000 0.000000
4666.31 0.747370 0.006366 0.747370 0.000000 0.000000 0.000000
4671.31 0.748135 0.012437 0.748135 0.000000 0.000000 0.000000
4676.31 0.786542 0.039518 0.786542 0.000000 0.000000 0.000000
4681.31 0.784798 0.020166 0.784798 0.000000 0.000000 0.000000
4686.31 0.787250 0.010736 0.787250 0.000000 0.000000 0.000000
4691.31 0.794963 0.013621 0.794963 0.000000 0.000000 0.000000
4696.31 0.807366 0.025151 0.807366 0.000000 0.000000 0.000000
4701.32 0.771834 0.002902 0.771834 0.000000 0.000000 0.000000
4706.32 0.757360 0.003743 0.757360 0.000000 0.000000 0.000000
4711.32 0.766652 0.006769 0.766652 0.000000 0.000000 0.000000
4716.32 0.812769 0.023879 0.812769 0.000000 0.000000 0.000000
