# lk ukf_f5iv uks_f5iv fh fse fl
# iRMS=7.111436571e-05 0
# 
4121.16 1.297556 0.000000 1.297556 0.000000 0.000000
4126.16 1.278057 0.000000 1.278057 0.000000 0.000000
4131.17 1.269188 0.000000 1.269188 0.000000 0.000000
4136.17 1.310802 0.000000 1.310802 0.000000 0.000000
4141.17 1.359960 0.000000 1.359960 0.000000 0.000000
4146.17 1.369726 0.000000 1.369726 0.000000 0.000000
4151.17 1.359960 0.000000 1.359960 0.000000 0.000000
4156.17 1.357770 0.000000 1.357770 0.000000 0.000000
4161.17 1.352465 0.000000 1.352465 0.000000 0.000000
4166.17 1.330055 0.000000 1.330055 0.000000 0.000000
4171.18 1.301146 0.000000 1.301146 0.000000 0.000000
4176.18 1.282588 0.000000 1.282588 0.000000 0.000000
4181.18 1.291594 0.000000 1.291594 0.000000 0.000000
4186.18 1.331993 0.000000 1.331993 0.000000 0.000000
4191.18 1.353711 0.000000 1.353711 0.000000 0.000000
4196.18 1.318636 0.000000 1.318636 0.000000 0.000000
4201.18 1.290405 0.000000 1.290405 0.000000 0.000000
4206.18 1.329106 0.000000 1.329106 0.000000 0.000000
4211.19 1.378879 0.000000 1.378879 0.000000 0.000000
4216.19 1.375237 0.000000 1.375237 0.000000 0.000000
4221.19 1.335138 0.000000 1.335138 0.000000 0.000000
4226.19 1.292837 0.000000 1.292837 0.000000 0.000000
4231.19 1.270358 0.000000 1.270358 0.000000 0.000000
4236.19 1.278918 0.000000 1.278918 0.000000 0.000000
4241.19 1.298751 0.000000 1.298751 0.000000 0.000000
4246.20 1.308117 0.000000 1.308117 0.000000 0.000000
4251.20 1.308356 0.000000 1.308356 0.000000 0.000000
4256.20 1.305188 0.000000 1.305188 0.000000 0.000000
4261.20 1.298751 0.000000 1.298751 0.000000 0.000000
4266.20 1.290658 0.000000 1.290658 0.000000 0.000000
4271.20 1.293975 0.000000 1.293975 0.000000 0.000000
4276.20 1.315178 0.000000 1.315178 0.000000 0.000000
4281.20 1.322897 0.000000 1.322897 0.000000 0.000000
4286.21 1.288806 0.000000 1.288806 0.000000 0.000000
4291.21 1.234599 0.000000 1.234599 0.000000 0.000000
4296.21 1.188568 0.000000 1.188568 0.000000 0.000000
4301.21 1.155383 0.000000 1.155383 0.000000 0.000000
