# lk ukf_m6iii uks_m6iii fh fm
# iRMS=0.1550584733 0
# 
4171.18 0.405576 0.106448 0.447282 0.582086
4176.18 0.445594 0.101384 0.430169 0.700765
4181.18 0.565089 0.102898 0.448038 0.986180
4186.18 0.640652 0.105982 0.456999 1.169000
4191.18 0.618797 0.107445 0.459099 1.111430
4196.18 0.531289 0.101015 0.450044 0.898389
4201.18 0.447726 0.099129 0.435543 0.700802
4206.18 0.447802 0.100017 0.437905 0.698634
4211.19 0.446633 0.090259 0.425494 0.708077
4216.19 0.334806 0.067975 0.367567 0.482183
4221.19 0.205653 0.052696 0.297875 0.224080
4226.19 0.135639 0.056097 0.236532 0.107726
4231.19 0.166908 0.051819 0.247570 0.176050
4236.19 0.276050 0.063646 0.326712 0.373913
4241.19 0.401843 0.095063 0.408113 0.611781
4246.20 0.484761 0.091009 0.438213 0.792129
4251.20 0.476224 0.081012 0.420230 0.788445
4256.20 0.397288 0.087815 0.404326 0.604006
4261.20 0.420197 0.080618 0.414404 0.652073
4266.20 0.496757 0.069065 0.422806 0.837982
4271.20 0.417693 0.063375 0.404144 0.655977
4276.20 0.362274 0.070907 0.390963 0.528503
4281.20 0.455687 0.070158 0.398498 0.758053
4286.21 0.520808 0.068197 0.392035 0.929795
4291.21 0.504691 0.070111 0.382596 0.898330
4296.21 0.456606 0.068483 0.393731 0.765153
4301.21 0.453797 0.066426 0.393407 0.758348
4306.21 0.510195 0.065633 0.392254 0.902641
4311.21 0.553108 0.057206 0.398333 1.005476
4316.21 0.525330 0.046547 0.410208 0.923099
4321.21 0.436279 0.047901 0.429553 0.677741
4326.22 0.456012 0.059697 0.454596 0.702781
4331.22 0.575766 0.068691 0.488966 0.972351
4336.22 0.606377 0.065555 0.501842 1.037167
4341.22 0.602404 0.067071 0.479009 1.049916
4346.22 0.637203 0.062790 0.472241 1.145004
4351.22 0.617360 0.055476 0.460299 1.106584
4356.22 0.603851 0.051150 0.448359 1.084238
4361.23 0.681591 0.048343 0.453345 1.276559
4366.23 0.714134 0.047265 0.471228 1.341270
4371.23 0.676540 0.052435 0.485212 1.231874
4376.23 0.668570 0.058027 0.491532 1.205325
4381.23 0.596840 0.064027 0.492881 1.021923
4386.23 0.472121 0.068121 0.485894 0.712368
4391.23 0.559299 0.061507 0.482309 0.937214
4396.23 0.635373 0.046392 0.471232 1.141370
4401.24 0.417265 0.043468 0.461035 0.597999
4406.24 0.299113 0.053244 0.459180 0.299981
4411.24 0.500756 0.058389 0.486351 0.784588
4416.24 0.810485 0.057978 0.505292 1.551750
4421.24 0.888912 0.049575 0.482913 1.773181
4426.24 0.566412 0.048041 0.429678 1.007897
4431.24 0.308053 0.046472 0.400773 0.381078
4436.25 0.308045 0.042809 0.390614 0.391215
4441.25 0.417049 0.032737 0.407932 0.650555
4446.25 0.542936 0.022876 0.442636 0.935356
4451.25 0.604615 0.028847 0.465134 1.069402
4456.25 0.520196 0.037089 0.446089 0.874189
4461.25 0.360490 0.047066 0.398965 0.515972
4466.25 0.270128 0.050788 0.358336 0.327258
4471.25 0.342986 0.044062 0.349958 0.520554
4476.26 0.544797 0.034512 0.373073 1.009643
4481.26 0.695465 0.030932 0.407828 1.357288
4486.26 0.742242 0.033519 0.439222 1.444616
4491.26 0.705764 0.038723 0.457023 1.334234
4496.26 0.588949 0.037797 0.463270 1.031506
4501.26 0.466811 0.034563 0.457191 0.727592
4506.26 0.451243 0.047839 0.430747 0.714525
4511.27 0.463469 0.058606 0.410937 0.765366
4516.27 0.422046 0.045637 0.426272 0.644896
4521.27 0.400276 0.030649 0.445654 0.570262
4526.27 0.367666 0.031653 0.448832 0.484317
4531.27 0.255493 0.036793 0.450538 0.197914
4536.27 0.456278 0.032134 0.467775 0.690275
4541.27 0.924332 0.019636 0.485797 1.860192
4546.27 0.746833 0.027239 0.468437 1.427053
4551.28 0.314078 0.050735 0.442665 0.354478
4556.28 0.403028 0.042350 0.461928 0.560973
4561.28 0.509248 0.022896 0.514521 0.777970
4566.28 0.468843 0.019067 0.565854 0.624089
4571.28 0.606932 0.026782 0.605248 0.935167
4576.28 0.683711 0.044343 0.608823 1.126462
4581.28 0.503449 0.057887 0.549655 0.728118
4586.28 0.285538 0.085575 0.425249 0.299459
4591.29 0.258775 0.092098 0.333257 0.323525
4596.29 0.459656 0.069467 0.319178 0.847446
4601.29 0.521502 0.047879 0.349048 0.974543
4606.29 0.386474 0.038478 0.393584 0.587301
4611.29 0.348314 0.035997 0.465558 0.418476
4616.29 0.459309 0.040305 0.523404 0.642340
4621.29 0.615376 0.047803 0.513818 1.048030
4626.30 0.568839 0.073346 0.428493 1.015243
4631.30 0.347582 0.087334 0.342332 0.539845
4636.30 0.212161 0.064454 0.318822 0.219650
4641.30 0.227166 0.041048 0.322122 0.254434
4646.30 0.323009 0.037381 0.343269 0.476540
4651.30 0.319274 0.041975 0.376044 0.434285
4656.30 0.415371 0.041310 0.418201 0.636027
4661.30 0.766984 0.033195 0.455936 1.490698
4666.31 0.749064 0.041041 0.442151 1.459003
4671.31 0.408628 0.053317 0.388741 0.648373
4676.31 0.435357 0.047297 0.373596 0.731357
4681.31 0.545586 0.037042 0.389008 0.995711
