# lk ukf_rf8v uks_rf8v fh fse
# iRMS=8.888132288e-05 0
# 
4871.36 0.982527 0.004475 0.982527 0.000000
4876.36 1.043728 0.014632 1.043728 0.000000
4881.36 1.083923 0.000977 1.083923 0.000000
4886.36 1.065154 0.015187 1.065154 0.000000
4891.37 1.045639 0.012046 1.045639 0.000000
4896.37 1.107576 0.018143 1.107576 0.000000
4901.37 1.150011 0.003430 1.150011 0.000000
4906.37 1.142906 0.001261 1.142906 0.000000
4911.37 1.107662 0.013420 1.107662 0.000000
4916.37 1.083899 0.028166 1.083899 0.000000
4921.37 1.055118 0.000000 1.055118 0.000000
4926.37 1.090351 0.004367 1.090351 0.000000
4931.38 1.119423 0.008219 1.119423 0.000000
4936.38 1.094681 0.005304 1.094681 0.000000
4941.38 1.086610 0.000399 1.086610 0.000000
4946.38 1.120518 0.007606 1.120518 0.000000
4951.38 1.144070 0.003164 1.144070 0.000000
4956.38 1.120567 0.009717 1.120567 0.000000
4961.38 1.114585 0.008541 1.114585 0.000000
4966.39 1.128569 0.020434 1.128569 0.000000
4971.39 1.131415 0.011375 1.131415 0.000000
4976.39 1.122511 0.007893 1.122511 0.000000
4981.39 1.084384 0.020469 1.084384 0.000000
4986.39 1.071703 0.026382 1.071703 0.000000
4991.39 1.093501 0.000564 1.093501 0.000000
4996.39 1.093932 0.000691 1.093932 0.000000
5001.39 1.074057 0.017250 1.074057 0.000000
5006.40 1.054975 0.022255 1.054975 0.000000
5011.40 1.052529 0.001128 1.052529 0.000000
5016.40 1.026204 0.003288 1.026204 0.000000
5021.40 1.028790 0.001993 1.028790 0.000000
5026.40 1.059733 0.009434 1.059733 0.000000
5031.40 1.086313 0.006575 1.086313 0.000000
5036.40 1.067456 0.007143 1.067456 0.000000
5041.41 1.023596 0.004632 1.023596 0.000000
5046.41 1.062395 0.018482 1.062395 0.000000
5051.41 1.092126 0.002184 1.092126 0.000000
5056.41 1.115206 0.019548 1.115206 0.000000
5061.41 1.126676 0.018183 1.126676 0.000000
5066.41 1.103537 0.016477 1.103537 0.000000
5071.41 1.070166 0.006778 1.070166 0.000000
5076.41 1.049286 0.009493 1.049286 0.000000
5081.42 1.039114 0.002255 1.039114 0.000000
5086.42 1.078302 0.004817 1.078302 0.000000
5091.42 1.107945 0.003214 1.107945 0.000000
5096.42 1.084226 0.004046 1.084226 0.000000
5101.42 1.048671 0.006683 1.048671 0.000000
5106.42 1.054974 0.010242 1.054974 0.000000
5111.42 1.067827 0.007585 1.067827 0.000000
5116.43 1.097097 0.013654 1.097097 0.000000
5121.43 1.092497 0.000564 1.092497 0.000000
5126.43 1.063944 0.004026 1.063944 0.000000
5131.43 1.046195 0.013788 1.046195 0.000000
5136.43 1.035490 0.016754 1.035490 0.000000
5141.43 1.027421 0.008513 1.027421 0.000000
5146.43 1.031179 0.011589 1.031179 0.000000
5151.43 1.042047 0.004598 1.042047 0.000000
5156.44 1.061345 0.013590 1.061345 0.000000
5161.44 1.052512 0.006730 1.052512 0.000000
5166.44 0.949316 0.000564 0.949316 0.000000
5171.44 0.883614 0.016865 0.883614 0.000000
5176.44 0.947354 0.025631 0.947354 0.000000
5181.44 0.991567 0.019956 0.991567 0.000000
5186.44 0.971699 0.035154 0.971699 0.000000
5191.45 0.982693 0.014002 0.982693 0.000000
5196.45 1.000170 0.006539 1.000170 0.000000
5201.45 1.030393 0.000399 1.030393 0.000000
5206.45 1.025099 0.000691 1.025099 0.000000
5211.45 1.021475 0.007031 1.021475 0.000000
5216.45 1.033356 0.003927 1.033356 0.000000
5221.45 1.044708 0.005652 1.044708 0.000000
5226.45 1.004183 0.014140 1.004183 0.000000
5231.46 0.999916 0.013053 0.999916 0.000000
5236.46 1.026861 0.012119 1.026861 0.000000
5241.46 1.058431 0.002325 1.058431 0.000000
5246.46 1.052836 0.008716 1.052836 0.000000
5251.46 1.045696 0.008986 1.045696 0.000000
5256.46 1.056301 0.007330 1.056301 0.000000
5261.46 1.032678 0.018426 1.032678 0.000000
5266.47 0.963522 0.019699 0.963522 0.000000
5271.47 0.937669 0.012458 0.937669 0.000000
5276.47 0.971504 0.020241 0.971504 0.000000
5281.47 1.022027 0.001196 1.022027 0.000000
5286.47 1.056399 0.015431 1.056399 0.000000
5291.47 1.077964 0.002359 1.077964 0.000000
5296.47 1.047265 0.005750 1.047265 0.000000
5301.47 1.029595 0.003164 1.029595 0.000000
5306.48 1.053936 0.004964 1.053936 0.000000
5311.48 1.082942 0.009307 1.082942 0.000000
5316.48 1.077645 0.009434 1.077645 0.000000
5321.48 1.045141 0.006266 1.045141 0.000000
5326.48 0.997387 0.012362 0.997387 0.000000
5331.48 0.989648 0.002255 0.989648 0.000000
5336.48 1.018903 0.013144 1.018903 0.000000
5341.49 1.027576 0.007700 1.027576 0.000000
5346.49 1.028604 0.008852 1.028604 0.000000
5351.49 1.040718 0.000797 1.040718 0.000000
5356.49 1.070669 0.001595 1.070669 0.000000
5361.49 1.060617 0.022379 1.060617 0.000000
5366.49 1.022476 0.014180 1.022476 0.000000
5371.49 1.002109 0.011375 1.002109 0.000000
5376.49 1.026573 0.019012 1.026573 0.000000
5381.50 1.041097 0.005378 1.041097 0.000000
5386.50 1.041990 0.006789 1.041990 0.000000
5391.50 1.031421 0.001055 1.031421 0.000000
5396.50 1.011649 0.005859 1.011649 0.000000
5401.50 0.992372 0.010472 0.992372 0.000000
5406.50 0.973780 0.006316 0.973780 0.000000
