# lk ukf_rk0iii uks_rk0iii fh fse fl
# iRMS=7.165817078e-05 0
# 
3671.05 0.280340 0.021874 0.280340 0.000000 0.000000
3676.05 0.277789 0.034021 0.277789 0.000000 0.000000
3681.05 0.259421 0.021466 0.259421 0.000000 0.000000
3686.05 0.255203 0.012257 0.255203 0.000000 0.000000
3691.05 0.270134 0.019540 0.270134 0.000000 0.000000
3696.05 0.286493 0.032671 0.286493 0.000000 0.000000
3701.05 0.298742 0.050917 0.298742 0.000000 0.000000
3706.05 0.254203 0.015070 0.254203 0.000000 0.000000
3711.06 0.252466 0.029741 0.252466 0.000000 0.000000
3716.06 0.257641 0.044739 0.257641 0.000000 0.000000
3721.06 0.213348 0.004767 0.213348 0.000000 0.000000
3726.06 0.209228 0.023446 0.209228 0.000000 0.000000
3731.06 0.190196 0.029955 0.190196 0.000000 0.000000
3736.06 0.155156 0.011854 0.155156 0.000000 0.000000
3741.06 0.164943 0.029698 0.164943 0.000000 0.000000
3746.06 0.160930 0.011195 0.160930 0.000000 0.000000
3751.07 0.184018 0.017856 0.184018 0.000000 0.000000
3756.07 0.212554 0.038759 0.212554 0.000000 0.000000
3761.07 0.201866 0.016682 0.201866 0.000000 0.000000
3766.07 0.216645 0.017795 0.216645 0.000000 0.000000
3771.07 0.251572 0.035582 0.251572 0.000000 0.000000
3776.07 0.274126 0.037447 0.274126 0.000000 0.000000
3781.07 0.278357 0.034653 0.278357 0.000000 0.000000
3786.08 0.251825 0.025550 0.251825 0.000000 0.000000
3791.08 0.211566 0.007691 0.211566 0.000000 0.000000
3796.08 0.204032 0.011188 0.204032 0.000000 0.000000
3801.08 0.214447 0.024678 0.214447 0.000000 0.000000
3806.08 0.225847 0.040583 0.225847 0.000000 0.000000
3811.08 0.210375 0.034796 0.210375 0.000000 0.000000
3816.08 0.175282 0.019515 0.175282 0.000000 0.000000
3821.08 0.138737 0.006545 0.138737 0.000000 0.000000
3826.09 0.116628 0.002960 0.116628 0.000000 0.000000
3831.09 0.119600 0.014330 0.119600 0.000000 0.000000
3836.09 0.130299 0.018410 0.130299 0.000000 0.000000
3841.09 0.140133 0.016553 0.140133 0.000000 0.000000
3846.09 0.152761 0.024706 0.152761 0.000000 0.000000
3851.09 0.148125 0.019751 0.148125 0.000000 0.000000
3856.09 0.133679 0.007058 0.133679 0.000000 0.000000
3861.09 0.131153 0.007045 0.131153 0.000000 0.000000
3866.10 0.139691 0.014914 0.139691 0.000000 0.000000
3871.10 0.145190 0.015462 0.145190 0.000000 0.000000
3876.10 0.156188 0.018912 0.156188 0.000000 0.000000
3881.10 0.164586 0.008492 0.164586 0.000000 0.000000
3886.10 0.203637 0.017333 0.203637 0.000000 0.000000
3891.10 0.257743 0.038585 0.257743 0.000000 0.000000
3896.10 0.288493 0.041072 0.288493 0.000000 0.000000
3901.10 0.288977 0.021641 0.288977 0.000000 0.000000
3906.11 0.290225 0.017377 0.290225 0.000000 0.000000
3911.11 0.305204 0.038554 0.305204 0.000000 0.000000
3916.11 0.291336 0.033283 0.291336 0.000000 0.000000
3921.11 0.244357 0.007757 0.244357 0.000000 0.000000
3926.11 0.196098 0.004346 0.196098 0.000000 0.000000
3931.11 0.137250 0.017959 0.137250 0.000000 0.000000
3936.11 0.130592 0.018902 0.130592 0.000000 0.000000
3941.12 0.186109 0.008779 0.186109 0.000000 0.000000
3946.12 0.250931 0.015871 0.250931 0.000000 0.000000
3951.12 0.303917 0.026261 0.303917 0.000000 0.000000
3956.12 0.306964 0.037336 0.306964 0.000000 0.000000
3961.12 0.248802 0.013335 0.248802 0.000000 0.000000
3966.12 0.177332 0.029730 0.177332 0.000000 0.000000
3971.12 0.181775 0.030228 0.181775 0.000000 0.000000
3976.12 0.277224 0.005028 0.277224 0.000000 0.000000
3981.13 0.372135 0.016777 0.372135 0.000000 0.000000
3986.13 0.428922 0.012911 0.428922 0.000000 0.000000
3991.13 0.464430 0.012916 0.464430 0.000000 0.000000
3996.13 0.479604 0.005733 0.479604 0.000000 0.000000
4001.13 0.493102 0.003333 0.493102 0.000000 0.000000
4006.13 0.503101 0.003787 0.503101 0.000000 0.000000
4011.13 0.525423 0.001424 0.525423 0.000000 0.000000
4016.13 0.548089 0.007509 0.548089 0.000000 0.000000
4021.14 0.552226 0.003120 0.552226 0.000000 0.000000
4026.14 0.546685 0.007340 0.546685 0.000000 0.000000
4031.14 0.517274 0.002013 0.517274 0.000000 0.000000
4036.14 0.513332 0.021731 0.513332 0.000000 0.000000
4041.14 0.505798 0.031437 0.505798 0.000000 0.000000
4046.14 0.471942 0.008375 0.471942 0.000000 0.000000
4051.14 0.500434 0.016217 0.500434 0.000000 0.000000
4056.15 0.489941 0.002384 0.489941 0.000000 0.000000
4061.15 0.465922 0.016512 0.465922 0.000000 0.000000
4066.15 0.466954 0.000997 0.466954 0.000000 0.000000
4071.15 0.480383 0.019290 0.480383 0.000000 0.000000
4076.15 0.491468 0.004768 0.491468 0.000000 0.000000
4081.15 0.530003 0.010951 0.530003 0.000000 0.000000
4086.15 0.568684 0.030069 0.568684 0.000000 0.000000
4091.15 0.577989 0.034718 0.577989 0.000000 0.000000
4096.16 0.547287 0.011751 0.547287 0.000000 0.000000
4101.16 0.519792 0.002970 0.519792 0.000000 0.000000
4106.16 0.531838 0.019286 0.531838 0.000000 0.000000
4111.16 0.545590 0.038150 0.545590 0.000000 0.000000
4116.16 0.538609 0.034095 0.538609 0.000000 0.000000
4121.16 0.519511 0.019290 0.519511 0.000000 0.000000
4126.16 0.510868 0.020786 0.510868 0.000000 0.000000
4131.17 0.491197 0.013994 0.491197 0.000000 0.000000
4136.17 0.486965 0.028667 0.486965 0.000000 0.000000
4141.17 0.471568 0.029929 0.471568 0.000000 0.000000
4146.17 0.454697 0.023712 0.454697 0.000000 0.000000
4151.17 0.453938 0.024010 0.453938 0.000000 0.000000
4156.17 0.462513 0.020823 0.462513 0.000000 0.000000
4161.17 0.485271 0.035202 0.485271 0.000000 0.000000
