# lk ukf_m3iii uks_m3iii fh fl fd fm fsv
# lRMS=0.06043180451 iRMS=0.04044797271 0
# 
3661.04 0.162438 0.015865 0.073307 0.000000 0.000000 0.273886 0.000000
3666.04 0.116045 0.013976 0.073830 0.000000 0.000000 0.174202 0.000000
3671.05 0.093625 0.010905 0.071000 0.000000 0.000000 0.129114 0.000000
3676.05 0.108136 0.010897 0.066407 0.000000 0.000000 0.164721 0.000000
3681.05 0.076489 0.011158 0.064221 0.000000 0.000000 0.099266 0.000000
3686.05 0.054193 0.011664 0.062198 0.000000 0.000000 0.053633 0.000000
3691.05 0.092867 0.010605 0.065412 0.000000 0.000000 0.133081 0.000000
3696.05 0.143596 0.010901 0.069144 0.000000 0.000000 0.237776 0.000000
3701.05 0.154247 0.012307 0.066698 0.000000 0.000000 0.262987 0.000000
3706.05 0.101549 0.015598 0.058262 0.000000 0.000000 0.158787 0.000000
3711.06 0.061587 0.011155 0.059961 0.000000 0.000000 0.071674 0.000000
3716.06 0.068252 0.008833 0.059953 0.000000 0.000000 0.085927 0.000000
3721.06 0.071009 0.008850 0.053208 0.000000 0.000000 0.098565 0.000000
3726.06 0.059433 0.008088 0.050963 0.000000 0.000000 0.076069 0.000000
3731.06 0.042507 0.008788 0.046719 0.000000 0.000000 0.044136 0.000000
3736.06 0.042348 0.008143 0.043190 0.000000 0.000000 0.047324 0.000000
3741.06 0.054234 0.005857 0.045391 0.000000 0.000000 0.070528 0.000000
3746.06 0.047506 0.005945 0.045973 0.000000 0.000000 0.055565 0.000000
3751.07 0.046151 0.007336 0.047276 0.000000 0.000000 0.051367 0.000000
3756.07 0.063374 0.008254 0.053477 0.000000 0.000000 0.081978 0.000000
3761.07 0.061440 0.012040 0.052947 0.000000 0.000000 0.078374 0.000000
3766.07 0.069444 0.011010 0.060830 0.000000 0.000000 0.087600 0.000000
3771.07 0.119730 0.010892 0.071596 0.000000 0.000000 0.184313 0.000000
3776.07 0.179550 0.012078 0.079428 0.000000 0.000000 0.304340 0.000000
3781.07 0.201069 0.012893 0.082421 0.000000 0.000000 0.347340 0.000000
3786.08 0.148874 0.011299 0.075889 0.000000 0.000000 0.242312 0.000000
3791.08 0.091850 0.009522 0.064893 0.000000 0.000000 0.131427 0.000000
3796.08 0.088831 0.008740 0.063417 0.000000 0.000000 0.126450 0.000000
3801.08 0.110084 0.009239 0.068827 0.000000 0.000000 0.166465 0.000000
3806.08 0.124089 0.013337 0.076681 0.000000 0.000000 0.188546 0.000000
3811.08 0.108622 0.011757 0.073558 0.000000 0.000000 0.158610 0.000000
3816.08 0.078408 0.007420 0.060796 0.000000 0.000000 0.106793 0.000000
3821.08 0.054677 0.005389 0.050771 0.000000 0.000000 0.066094 0.000000
3826.09 0.047152 0.007192 0.050000 0.000000 0.000000 0.050781 0.000000
3831.09 0.051351 0.010248 0.055614 0.000000 0.000000 0.054143 0.000000
3836.09 0.058699 0.008964 0.056677 0.000000 0.000000 0.068785 0.000000
3841.09 0.081917 0.008732 0.058724 0.000000 0.000000 0.116363 0.000000
3846.09 0.105648 0.011224 0.063218 0.000000 0.000000 0.162594 0.000000
3851.09 0.094359 0.012080 0.065704 0.000000 0.000000 0.135977 0.000000
3856.09 0.074124 0.008454 0.063571 0.000000 0.000000 0.094860 0.000000
3861.09 0.071443 0.005309 0.062190 0.000000 0.000000 0.090512 0.000000
3866.10 0.072728 0.007954 0.065242 0.000000 0.000000 0.090207 0.000000
3871.10 0.075208 0.011765 0.067318 0.000000 0.000000 0.093430 0.000000
3876.10 0.079909 0.011481 0.067089 0.000000 0.000000 0.103708 0.000000
3881.10 0.064719 0.010061 0.068004 0.000000 0.000000 0.070325 0.000000
3886.10 0.052750 0.009709 0.068781 0.000000 0.000000 0.043967 0.000000
3891.10 0.099844 0.011492 0.074035 0.000000 0.000000 0.139370 0.000000
3896.10 0.135931 0.010675 0.075749 0.000000 0.000000 0.214789 0.000000
3901.10 0.106248 0.010544 0.078208 0.000000 0.000000 0.148885 0.000000
3906.11 0.099006 0.011330 0.078888 0.000000 0.000000 0.132727 0.000000
3911.11 0.130119 0.011390 0.082450 0.000000 0.000000 0.195665 0.000000
3916.11 0.122822 0.010063 0.081056 0.000000 0.000000 0.181461 0.000000
3921.11 0.087115 0.007670 0.069024 0.000000 0.000000 0.117175 0.000000
3926.11 0.057312 0.004562 0.054014 0.000000 0.000000 0.068484 0.000000
3931.11 0.037064 0.002787 0.040757 0.000000 0.000000 0.038462 0.000000
3936.11 0.029081 0.004400 0.037046 0.000000 0.000000 0.025111 0.000000
3941.12 0.038795 0.005391 0.047211 0.000000 0.000000 0.035708 0.000000
3946.12 0.073608 0.008442 0.062899 0.000000 0.000000 0.094430 0.000000
3951.12 0.106396 0.010453 0.076774 0.000000 0.000000 0.150635 0.000000
3956.12 0.086441 0.010806 0.077146 0.000000 0.000000 0.107613 0.000000
3961.12 0.047733 0.005281 0.061754 0.000000 0.000000 0.040269 0.000000
3966.12 0.034915 0.003928 0.047535 0.000000 0.000000 0.027091 0.000000
3971.12 0.047797 0.005760 0.048146 0.000000 0.000000 0.054015 0.000000
3976.12 0.086472 0.006105 0.070473 0.000000 0.000000 0.114352 0.000000
3981.13 0.135106 0.009889 0.096512 0.000000 0.000000 0.192261 0.000000
