# lk ukf_k5iii uks_k5iii fh fse fl fd fk fc
# lRMS=0.0193966832 iRMS=0.002092176583 0
# 
4136.17 0.230513 0.012445 0.230513 0.000000 0.000000 0.000000 0.000000 0.000000
4141.17 0.225291 0.011317 0.225291 0.000000 0.000000 0.000000 0.000000 0.000000
4146.17 0.224570 0.007674 0.224570 0.000000 0.000000 0.000000 0.000000 0.000000
4151.17 0.228441 0.002852 0.228441 0.000000 0.000000 0.000000 0.000000 0.000000
4156.17 0.234811 0.002019 0.234811 0.000000 0.000000 0.000000 0.000000 0.000000
4161.17 0.239442 0.004012 0.239442 0.000000 0.000000 0.000000 0.000000 0.000000
4166.17 0.239774 0.000581 0.239774 0.000000 0.000000 0.000000 0.000000 0.000000
4171.18 0.239898 0.004775 0.239898 0.000000 0.000000 0.000000 0.000000 0.000000
4176.18 0.243850 0.007970 0.243850 0.000000 0.000000 0.000000 0.000000 0.000000
4181.18 0.249557 0.009252 0.249557 0.000000 0.000000 0.000000 0.000000 0.000000
4186.18 0.253145 0.009077 0.253145 0.000000 0.000000 0.000000 0.000000 0.000000
4191.18 0.252304 0.007367 0.252304 0.000000 0.000000 0.000000 0.000000 0.000000
4196.18 0.247838 0.004875 0.247838 0.000000 0.000000 0.000000 0.000000 0.000000
4201.18 0.246313 0.000223 0.246313 0.000000 0.000000 0.000000 0.000000 0.000000
4206.18 0.252771 0.006295 0.252771 0.000000 0.000000 0.000000 0.000000 0.000000
4211.19 0.260202 0.005726 0.260202 0.000000 0.000000 0.000000 0.000000 0.000000
4216.19 0.259404 0.007067 0.259404 0.000000 0.000000 0.000000 0.000000 0.000000
4221.19 0.252084 0.022185 0.252084 0.000000 0.000000 0.000000 0.000000 0.000000
4226.19 0.244505 0.028436 0.244505 0.000000 0.000000 0.000000 0.000000 0.000000
4231.19 0.245856 0.019451 0.245856 0.000000 0.000000 0.000000 0.000000 0.000000
4236.19 0.263076 0.003275 0.263076 0.000000 0.000000 0.000000 0.000000 0.000000
4241.19 0.284634 0.019163 0.284634 0.000000 0.000000 0.000000 0.000000 0.000000
4246.20 0.296483 0.012745 0.296483 0.000000 0.000000 0.000000 0.000000 0.000000
4251.20 0.302459 0.002863 0.302459 0.000000 0.000000 0.000000 0.000000 0.000000
4256.20 0.307984 0.010720 0.307984 0.000000 0.000000 0.000000 0.000000 0.000000
4261.20 0.309461 0.010050 0.309461 0.000000 0.000000 0.000000 0.000000 0.000000
4266.20 0.305135 0.007004 0.305135 0.000000 0.000000 0.000000 0.000000 0.000000
4271.20 0.298469 0.006357 0.298469 0.000000 0.000000 0.000000 0.000000 0.000000
4276.20 0.293283 0.010028 0.293283 0.000000 0.000000 0.000000 0.000000 0.000000
4281.20 0.292738 0.013511 0.292738 0.000000 0.000000 0.000000 0.000000 0.000000
4286.21 0.295326 0.011341 0.295326 0.000000 0.000000 0.000000 0.000000 0.000000
4291.21 0.289401 0.009709 0.289401 0.000000 0.000000 0.000000 0.000000 0.000000
4296.21 0.268814 0.015080 0.268814 0.000000 0.000000 0.000000 0.000000 0.000000
4301.21 0.251856 0.014486 0.251856 0.000000 0.000000 0.000000 0.000000 0.000000
4306.21 0.258492 0.002443 0.258492 0.000000 0.000000 0.000000 0.000000 0.000000
4311.21 0.285686 0.022355 0.285686 0.000000 0.000000 0.000000 0.000000 0.000000
4316.21 0.322222 0.031418 0.322222 0.000000 0.000000 0.000000 0.000000 0.000000
4321.21 0.356921 0.026412 0.356921 0.000000 0.000000 0.000000 0.000000 0.000000
4326.22 0.380445 0.011545 0.380445 0.000000 0.000000 0.000000 0.000000 0.000000
4331.22 0.396740 0.003233 0.396740 0.000000 0.000000 0.000000 0.000000 0.000000
4336.22 0.412558 0.011741 0.412558 0.000000 0.000000 0.000000 0.000000 0.000000
4341.22 0.422038 0.022744 0.422038 0.000000 0.000000 0.000000 0.000000 0.000000
4346.22 0.421573 0.019905 0.421573 0.000000 0.000000 0.000000 0.000000 0.000000
4351.22 0.423809 0.009636 0.423809 0.000000 0.000000 0.000000 0.000000 0.000000
4356.22 0.437919 0.004243 0.437919 0.000000 0.000000 0.000000 0.000000 0.000000
4361.23 0.454776 0.003186 0.454776 0.000000 0.000000 0.000000 0.000000 0.000000
4366.23 0.461722 0.003245 0.461722 0.000000 0.000000 0.000000 0.000000 0.000000
4371.23 0.451693 0.001744 0.451693 0.000000 0.000000 0.000000 0.000000 0.000000
4376.23 0.425435 0.004189 0.425435 0.000000 0.000000 0.000000 0.000000 0.000000
4381.23 0.398705 0.006732 0.398705 0.000000 0.000000 0.000000 0.000000 0.000000
4386.23 0.386560 0.001307 0.386560 0.000000 0.000000 0.000000 0.000000 0.000000
4391.23 0.387250 0.012518 0.387250 0.000000 0.000000 0.000000 0.000000 0.000000
4396.23 0.393960 0.018901 0.393960 0.000000 0.000000 0.000000 0.000000 0.000000
4401.24 0.402065 0.018225 0.402065 0.000000 0.000000 0.000000 0.000000 0.000000
4406.24 0.409000 0.011644 0.409000 0.000000 0.000000 0.000000 0.000000 0.000000
4411.24 0.418624 0.007660 0.418624 0.000000 0.000000 0.000000 0.000000 0.000000
4416.24 0.433479 0.012758 0.433479 0.000000 0.000000 0.000000 0.000000 0.000000
4421.24 0.444480 0.017942 0.444480 0.000000 0.000000 0.000000 0.000000 0.000000
4426.24 0.445198 0.013365 0.445198 0.000000 0.000000 0.000000 0.000000 0.000000
4431.24 0.446979 0.006432 0.446979 0.000000 0.000000 0.000000 0.000000 0.000000
4436.25 0.461035 0.005283 0.461035 0.000000 0.000000 0.000000 0.000000 0.000000
4441.25 0.480404 0.003635 0.480404 0.000000 0.000000 0.000000 0.000000 0.000000
4446.25 0.492644 0.002868 0.492644 0.000000 0.000000 0.000000 0.000000 0.000000
4451.25 0.492204 0.008656 0.492204 0.000000 0.000000 0.000000 0.000000 0.000000
4456.25 0.480266 0.008470 0.480266 0.000000 0.000000 0.000000 0.000000 0.000000
4461.25 0.469143 0.002028 0.469143 0.000000 0.000000 0.000000 0.000000 0.000000
4466.25 0.473929 0.020739 0.473929 0.000000 0.000000 0.000000 0.000000 0.000000
4471.25 0.497362 0.034929 0.497362 0.000000 0.000000 0.000000 0.000000 0.000000
4476.26 0.531862 0.036690 0.531862 0.000000 0.000000 0.000000 0.000000 0.000000
4481.26 0.561046 0.024808 0.561046 0.000000 0.000000 0.000000 0.000000 0.000000
4486.26 0.570681 0.004511 0.570681 0.000000 0.000000 0.000000 0.000000 0.000000
4491.26 0.568617 0.005267 0.568617 0.000000 0.000000 0.000000 0.000000 0.000000
4496.26 0.571325 0.005148 0.571325 0.000000 0.000000 0.000000 0.000000 0.000000
4501.26 0.584471 0.021457 0.584471 0.000000 0.000000 0.000000 0.000000 0.000000
