# lk ukf_m8iii uks_m8iii fh fl fm
# lRMS=43.84253693 iRMS=4.07691431 0
# 
3701.05 1.204682 0.000000 0.321539 0.000000 8.023614
3706.05 0.714912 0.000000 0.335057 0.000000 4.617331
3711.06 0.297332 0.000000 0.343799 0.000000 1.715899
3716.06 0.331861 0.000000 0.342787 0.000000 1.956106
3721.06 0.367228 0.000000 0.343006 0.000000 2.200880
3726.06 0.278478 0.000000 0.353696 0.000000 1.575398
3731.06 0.179469 0.000000 0.361161 0.000000 0.882067
3736.06 0.179085 0.000000 0.354133 0.000000 0.886440
3741.06 0.226806 0.000000 0.353986 0.000000 1.217163
3746.06 0.172242 0.000000 0.379805 0.000000 0.813365
3751.07 0.196903 0.000000 0.408862 0.000000 0.955136
3756.07 0.372794 0.000000 0.419401 0.000000 2.163043
3761.07 0.434487 0.000000 0.435360 0.000000 2.574448
3766.07 0.494484 0.000000 0.478756 0.000000 2.946669
3771.07 0.813478 0.000000 0.518202 0.000000 5.116979
3776.07 1.373603 0.000000 0.521154 0.000000 8.994163
3781.07 1.737176 0.000000 0.503846 0.000000 11.530035
3786.08 1.326926 0.000000 0.490009 0.000000 8.701966
3791.08 0.822345 0.000000 0.484600 0.000000 5.212001
3796.08 0.799016 0.000000 0.488628 0.000000 5.046372
3801.08 0.942809 0.000000 0.506077 0.000000 6.025015
3806.08 1.020367 0.000000 0.529993 0.000000 6.538359
3811.08 0.918862 0.000000 0.506666 0.000000 5.858540
3816.08 0.617782 0.000000 0.406027 0.000000 3.873511
3821.08 0.262673 0.000000 0.339301 0.000000 1.480304
3826.09 0.177986 0.000000 0.407155 0.000000 0.825803
3831.09 0.296419 0.000000 0.526714 0.000000 1.526661
3836.09 0.432681 0.000000 0.594904 0.000000 2.402395
3841.09 0.731448 0.000000 0.611397 0.000000 4.455537
3846.09 1.001921 0.000000 0.597258 0.000000 6.343318
3851.09 0.798865 0.000000 0.556396 0.000000 4.977553
3856.09 0.460726 0.000000 0.494942 0.000000 2.696628
3861.09 0.359705 0.000000 0.445073 0.000000 2.046703
3866.10 0.453135 0.000000 0.433329 0.000000 2.705659
3871.10 0.584661 0.000000 0.437659 0.000000 3.612443
3876.10 0.579128 0.000000 0.435977 0.000000 3.575798
3881.10 0.346914 0.000000 0.454663 0.000000 1.948506
3886.10 0.203122 0.000000 0.517084 0.000000 0.889994
3891.10 0.635433 0.000000 0.586094 0.000000 3.815722
3896.10 0.999667 0.000000 0.620761 0.000000 6.304203
3901.10 0.732619 0.000000 0.625516 0.000000 4.449529
3906.11 0.605131 0.000000 0.615144 0.000000 3.576758
3911.11 0.787772 0.000000 0.600483 0.000000 4.856626
3916.11 0.718719 0.000000 0.584643 0.000000 4.394116
3921.11 0.453302 0.000000 0.543776 0.000000 2.596371
3926.11 0.221295 0.000000 0.461620 0.000000 1.071350
3931.11 0.131366 0.000000 0.379184 0.000000 0.530826
3936.11 0.130216 0.000000 0.343791 0.000000 0.558248
3941.12 0.149868 0.000000 0.370720 0.000000 0.667458
3946.12 0.329917 0.000000 0.451135 0.000000 1.834285
3951.12 0.521248 0.000000 0.511772 0.000000 3.099050
3956.12 0.370330 0.000000 0.490441 0.000000 2.074932
3961.12 0.145792 0.000000 0.433666 0.000000 0.576275
3966.12 0.125341 0.000000 0.404845 0.000000 0.463425
3971.12 0.242674 0.000000 0.426160 0.000000 1.254911
3976.12 0.456738 0.000000 0.499461 0.000000 2.664484
3981.13 0.702649 0.000000 0.586477 0.000000 4.280962
3986.13 0.762349 0.000000 0.649099 0.000000 4.631898
3991.13 0.698079 0.000000 0.689994 0.000000 4.145783
3996.13 0.908084 0.000000 0.721472 0.000000 5.569066
4001.13 1.190754 0.000000 0.753659 0.000000 7.495010
4006.13 1.194750 0.000000 0.789673 0.000000 7.486680
4011.13 1.203084 0.000000 0.806779 0.000000 7.527308
4016.13 1.326681 0.000000 0.791201 0.000000 8.399076
4021.14 1.382580 0.000000 0.790846 0.000000 8.786654
4026.14 1.134469 0.000000 0.845193 0.000000 7.013575
4031.14 0.700743 0.000000 0.898325 0.000000 3.955907
4036.14 0.754460 0.000000 0.891239 0.000000 4.335108
4041.14 1.065795 0.000000 0.848001 0.000000 6.535044
4046.14 1.083632 0.000000 0.807322 0.000000 6.699284
4051.14 0.990580 0.000000 0.783436 0.000000 6.078578
4056.15 0.906175 0.000000 0.781574 0.000000 5.495741
4061.15 0.794277 0.000000 0.795415 0.000000 4.706756
4066.15 0.860037 0.000000 0.816278 0.000000 5.141428
4071.15 1.066825 0.000000 0.837569 0.000000 6.552613
4076.15 0.911032 0.000000 0.849561 0.000000 5.461399
4081.15 0.751721 0.000000 0.827878 0.000000 4.379495
4086.15 1.120073 0.000000 0.767017 0.000000 6.992030
4091.15 1.381871 0.000000 0.751603 0.000000 8.820989
4096.16 1.143927 0.000000 0.852250 0.000000 7.072037
4101.16 0.797245 0.000000 0.993385 0.000000 4.529345
4106.16 0.708658 0.000000 1.074749 0.000000 3.834314
4111.16 0.959454 0.000000 1.043518 0.000000 5.602878
4116.16 0.972819 0.000000 0.888959 0.000000 5.850018
4121.16 0.778177 0.000000 0.721279 0.000000 4.669364
4126.16 0.923961 0.000000 0.645967 0.000000 5.754560
4131.17 0.908863 0.000000 0.628700 0.000000 5.667234
4136.17 0.455919 0.000000 0.614736 0.000000 2.543537
4141.17 0.236793 0.000000 0.607467 0.000000 1.032863
4146.17 0.461464 0.000000 0.622304 0.000000 2.574379
4151.17 0.953219 0.000000 0.664591 0.000000 5.938615
4156.17 1.367501 0.000000 0.726959 0.000000 8.746089
4161.17 1.363988 0.000000 0.761256 0.000000 8.687454
4166.17 0.793315 0.000000 0.725937 0.000000 4.769567
4171.18 0.320956 0.000000 0.646656 0.000000 1.576693
4176.18 0.419084 0.000000 0.562722 0.000000 2.340382
4181.18 0.767558 0.000000 0.500845 0.000000 4.816232
4186.18 0.990069 0.000000 0.483380 0.000000 6.375096
4191.18 0.843439 0.000000 0.527843 0.000000 5.314883
4196.18 0.602561 0.000000 0.632577 0.000000 3.541528
