# lk ukf_k2iii uks_k2iii fh fse fl fk fc
# lRMS=0.002399086021 iRMS=0.0006689172587 0
# 
4141.17 0.383016 0.000000 0.383016 0.000000 0.000000 0.000000 0.000000
4146.17 0.366835 0.000000 0.366835 0.000000 0.000000 0.000000 0.000000
4151.17 0.359941 0.000000 0.359941 0.000000 0.000000 0.000000 0.000000
4156.17 0.368884 0.000000 0.368884 0.000000 0.000000 0.000000 0.000000
4161.17 0.390870 0.000000 0.390870 0.000000 0.000000 0.000000 0.000000
4166.17 0.401539 0.000000 0.401539 0.000000 0.000000 0.000000 0.000000
4171.18 0.385479 0.000000 0.385479 0.000000 0.000000 0.000000 0.000000
4176.18 0.367279 0.000000 0.367279 0.000000 0.000000 0.000000 0.000000
4181.18 0.375839 0.000000 0.375839 0.000000 0.000000 0.000000 0.000000
4186.18 0.398450 0.000000 0.398450 0.000000 0.000000 0.000000 0.000000
4191.18 0.408716 0.000000 0.408716 0.000000 0.000000 0.000000 0.000000
4196.18 0.399480 0.000000 0.399480 0.000000 0.000000 0.000000 0.000000
4201.18 0.390476 0.000000 0.390476 0.000000 0.000000 0.000000 0.000000
4206.18 0.407899 0.000000 0.407899 0.000000 0.000000 0.000000 0.000000
4211.19 0.437364 0.000000 0.437364 0.000000 0.000000 0.000000 0.000000
4216.19 0.465123 0.000000 0.465123 0.000000 0.000000 0.000000 0.000000
4221.19 0.475106 0.000000 0.475106 0.000000 0.000000 0.000000 0.000000
4226.19 0.444298 0.000000 0.444298 0.000000 0.000000 0.000000 0.000000
4231.19 0.439766 0.000000 0.439766 0.000000 0.000000 0.000000 0.000000
4236.19 0.476640 0.000000 0.476640 0.000000 0.000000 0.000000 0.000000
4241.19 0.517411 0.000000 0.517411 0.000000 0.000000 0.000000 0.000000
4246.20 0.534995 0.000000 0.534995 0.000000 0.000000 0.000000 0.000000
4251.20 0.510224 0.000000 0.510224 0.000000 0.000000 0.000000 0.000000
4256.20 0.493861 0.000000 0.493861 0.000000 0.000000 0.000000 0.000000
4261.20 0.512576 0.000000 0.512576 0.000000 0.000000 0.000000 0.000000
4266.20 0.526607 0.000000 0.526607 0.000000 0.000000 0.000000 0.000000
4271.20 0.495608 0.000000 0.495608 0.000000 0.000000 0.000000 0.000000
4276.20 0.480698 0.000000 0.480698 0.000000 0.000000 0.000000 0.000000
4281.20 0.504591 0.000000 0.504591 0.000000 0.000000 0.000000 0.000000
4286.21 0.503703 0.000000 0.503703 0.000000 0.000000 0.000000 0.000000
4291.21 0.479467 0.000000 0.479467 0.000000 0.000000 0.000000 0.000000
4296.21 0.454827 0.000000 0.454827 0.000000 0.000000 0.000000 0.000000
4301.21 0.418487 0.000000 0.418487 0.000000 0.000000 0.000000 0.000000
4306.21 0.394998 0.000000 0.394998 0.000000 0.000000 0.000000 0.000000
4311.21 0.439019 0.000000 0.439019 0.000000 0.000000 0.000000 0.000000
4316.21 0.541153 0.000000 0.541153 0.000000 0.000000 0.000000 0.000000
4321.21 0.596378 0.000000 0.596378 0.000000 0.000000 0.000000 0.000000
4326.22 0.592583 0.000000 0.592583 0.000000 0.000000 0.000000 0.000000
4331.22 0.618697 0.000000 0.618697 0.000000 0.000000 0.000000 0.000000
4336.22 0.636866 0.000000 0.636866 0.000000 0.000000 0.000000 0.000000
4341.22 0.619726 0.000000 0.619726 0.000000 0.000000 0.000000 0.000000
4346.22 0.633121 0.000000 0.633121 0.000000 0.000000 0.000000 0.000000
4351.22 0.653552 0.000000 0.653552 0.000000 0.000000 0.000000 0.000000
4356.22 0.664878 0.000000 0.664878 0.000000 0.000000 0.000000 0.000000
4361.23 0.691194 0.000000 0.691194 0.000000 0.000000 0.000000 0.000000
4366.23 0.705114 0.000000 0.705114 0.000000 0.000000 0.000000 0.000000
4371.23 0.680302 0.000000 0.680302 0.000000 0.000000 0.000000 0.000000
4376.23 0.636634 0.000000 0.636634 0.000000 0.000000 0.000000 0.000000
4381.23 0.581550 0.000000 0.581550 0.000000 0.000000 0.000000 0.000000
4386.23 0.538700 0.000000 0.538700 0.000000 0.000000 0.000000 0.000000
4391.23 0.559585 0.000000 0.559585 0.000000 0.000000 0.000000 0.000000
4396.23 0.605049 0.000000 0.605049 0.000000 0.000000 0.000000 0.000000
4401.24 0.612156 0.000000 0.612156 0.000000 0.000000 0.000000 0.000000
4406.24 0.591382 0.000000 0.591382 0.000000 0.000000 0.000000 0.000000
4411.24 0.606866 0.000000 0.606866 0.000000 0.000000 0.000000 0.000000
4416.24 0.638966 0.000000 0.638966 0.000000 0.000000 0.000000 0.000000
4421.24 0.655379 0.000000 0.655379 0.000000 0.000000 0.000000 0.000000
4426.24 0.660447 0.000000 0.660447 0.000000 0.000000 0.000000 0.000000
4431.24 0.656480 0.000000 0.656480 0.000000 0.000000 0.000000 0.000000
4436.25 0.659780 0.000000 0.659780 0.000000 0.000000 0.000000 0.000000
4441.25 0.681160 0.000000 0.681160 0.000000 0.000000 0.000000 0.000000
4446.25 0.704659 0.000000 0.704659 0.000000 0.000000 0.000000 0.000000
4451.25 0.705649 0.000000 0.705649 0.000000 0.000000 0.000000 0.000000
4456.25 0.667624 0.000000 0.667624 0.000000 0.000000 0.000000 0.000000
4461.25 0.640722 0.000000 0.640722 0.000000 0.000000 0.000000 0.000000
4466.25 0.662506 0.000000 0.662506 0.000000 0.000000 0.000000 0.000000
4471.25 0.709908 0.000000 0.709908 0.000000 0.000000 0.000000 0.000000
4476.26 0.754495 0.000000 0.754495 0.000000 0.000000 0.000000 0.000000
4481.26 0.771029 0.000000 0.771029 0.000000 0.000000 0.000000 0.000000
4486.26 0.769172 0.000000 0.769172 0.000000 0.000000 0.000000 0.000000
4491.26 0.753909 0.000000 0.753909 0.000000 0.000000 0.000000 0.000000
4496.26 0.750921 0.000000 0.750921 0.000000 0.000000 0.000000 0.000000
4501.26 0.786695 0.000000 0.786695 0.000000 0.000000 0.000000 0.000000
4506.26 0.838893 0.000000 0.838893 0.000000 0.000000 0.000000 0.000000
4511.27 0.838651 0.000000 0.838651 0.000000 0.000000 0.000000 0.000000
4516.27 0.812658 0.000000 0.812658 0.000000 0.000000 0.000000 0.000000
4521.27 0.792601 0.000000 0.792601 0.000000 0.000000 0.000000 0.000000
4526.27 0.737597 0.000000 0.737597 0.000000 0.000000 0.000000 0.000000
4531.27 0.698441 0.000000 0.698441 0.000000 0.000000 0.000000 0.000000
4536.27 0.722516 0.000000 0.722516 0.000000 0.000000 0.000000 0.000000
4541.27 0.752940 0.000000 0.752940 0.000000 0.000000 0.000000 0.000000
4546.27 0.758997 0.000000 0.758997 0.000000 0.000000 0.000000 0.000000
4551.28 0.756726 0.000000 0.756726 0.000000 0.000000 0.000000 0.000000
4556.28 0.781416 0.000000 0.781416 0.000000 0.000000 0.000000 0.000000
4561.28 0.809529 0.000000 0.809529 0.000000 0.000000 0.000000 0.000000
4566.28 0.815555 0.000000 0.815555 0.000000 0.000000 0.000000 0.000000
4571.28 0.819805 0.000000 0.819805 0.000000 0.000000 0.000000 0.000000
4576.28 0.816675 0.000000 0.816675 0.000000 0.000000 0.000000 0.000000
4581.28 0.788502 0.000000 0.788502 0.000000 0.000000 0.000000 0.000000
4586.28 0.787705 0.000000 0.787705 0.000000 0.000000 0.000000 0.000000
4591.29 0.794145 0.000000 0.794145 0.000000 0.000000 0.000000 0.000000
4596.29 0.781981 0.000000 0.781981 0.000000 0.000000 0.000000 0.000000
4601.29 0.768637 0.000000 0.768637 0.000000 0.000000 0.000000 0.000000
4606.29 0.809064 0.000000 0.809064 0.000000 0.000000 0.000000 0.000000
4611.29 0.857123 0.000000 0.857123 0.000000 0.000000 0.000000 0.000000
4616.29 0.880946 0.000000 0.880946 0.000000 0.000000 0.000000 0.000000
4621.29 0.882702 0.000000 0.882702 0.000000 0.000000 0.000000 0.000000
4626.30 0.878876 0.000000 0.878876 0.000000 0.000000 0.000000 0.000000
4631.30 0.870023 0.000000 0.870023 0.000000 0.000000 0.000000 0.000000
4636.30 0.833533 0.000000 0.833533 0.000000 0.000000 0.000000 0.000000
4641.30 0.788977 0.000000 0.788977 0.000000 0.000000 0.000000 0.000000
4646.30 0.751012 0.000000 0.751012 0.000000 0.000000 0.000000 0.000000
4651.30 0.773280 0.000000 0.773280 0.000000 0.000000 0.000000 0.000000
4656.30 0.815716 0.000000 0.815716 0.000000 0.000000 0.000000 0.000000
4661.30 0.837177 0.000000 0.837177 0.000000 0.000000 0.000000 0.000000
4666.31 0.780175 0.000000 0.780175 0.000000 0.000000 0.000000 0.000000
4671.31 0.775087 0.000000 0.775087 0.000000 0.000000 0.000000 0.000000
4676.31 0.810336 0.000000 0.810336 0.000000 0.000000 0.000000 0.000000
4681.31 0.811507 0.000000 0.811507 0.000000 0.000000 0.000000 0.000000
