# lk ukf_m9iii uks_m9iii
# iRMS=0
# 
4421.24 0.733694 0.000000
4426.24 0.362064 0.000000
4431.24 0.115494 0.000000
4436.25 0.167938 0.000000
4441.25 0.189127 0.000000
4446.25 0.292117 0.000000
4451.25 0.515108 0.000000
4456.25 0.534598 0.000000
4461.25 0.343518 0.000000
4466.25 0.149370 0.000000
4471.25 0.173198 0.000000
4476.26 0.421919 0.000000
4481.26 0.618567 0.000000
4486.26 0.641984 0.000000
4491.26 0.512566 0.000000
4496.26 0.357729 0.000000
4501.26 0.256047 0.000000
4506.26 0.213079 0.000000
4511.27 0.209357 0.000000
4516.27 0.226522 0.000000
4521.27 0.265708 0.000000
4526.27 0.238744 0.000000
4531.27 0.079700 0.000000
4536.27 0.333273 0.000000
4541.27 0.948388 0.000000
4546.27 0.690375 0.000000
4551.28 0.078150 0.000000
4556.28 0.160997 0.000000
4561.28 0.302314 0.000000
4566.28 0.247603 0.000000
4571.28 0.342916 0.000000
4576.28 0.417856 0.000000
4581.28 0.293737 0.000000
4586.28 0.101426 0.000000
4591.29 0.108097 0.000000
4596.29 0.412302 0.000000
4601.29 0.452366 0.000000
4606.29 0.193039 0.000000
4611.29 0.151885 0.000000
4616.29 0.328127 0.000000
4621.29 0.515324 0.000000
4626.30 0.467923 0.000000
4631.30 0.229483 0.000000
4636.30 0.087366 0.000000
4641.30 0.056476 0.000000
4646.30 0.122085 0.000000
4651.30 0.363322 0.000000
4656.30 0.672824 0.000000
4661.30 0.825260 0.000000
4666.31 0.607504 0.000000
4671.31 0.223062 0.000000
4676.31 0.166632 0.000000
4681.31 0.270291 0.000000
4686.31 0.302006 0.000000
4691.31 0.322753 0.000000
4696.31 0.547118 0.000000
4701.32 0.988304 0.000000
4706.32 0.882098 0.000000
4711.32 0.277656 0.000000
4716.32 0.027723 0.000000
4721.32 0.152430 0.000000
4726.32 0.274353 0.000000
4731.32 -0.020694 0.000000
4736.32 0.273064 0.000000
4741.33 2.144099 0.000000
4746.33 3.627274 0.000000
4751.33 3.277366 0.000000
4756.33 1.676833 0.000000
4761.33 0.216184 0.000000
4766.33 -0.023516 0.000000
4771.33 0.076573 0.000000
4776.34 0.087615 0.000000
4781.34 0.305928 0.000000
4786.34 0.538183 0.000000
4791.34 0.568117 0.000000
4796.34 0.459649 0.000000
4801.34 0.310446 0.000000
4806.34 0.190919 0.000000
4811.34 0.005708 0.000000
4816.35 -0.087492 0.000000
4821.35 0.525164 0.000000
4826.35 1.227229 0.000000
4831.35 0.753484 0.000000
4836.35 0.356220 0.000000
4841.35 0.828256 0.000000
4846.35 0.854195 0.000000
4851.36 0.322456 0.000000
4856.36 -0.003197 0.000000
4861.36 0.688843 0.000000
4866.36 1.566677 0.000000
4871.36 0.870699 0.000000
4876.36 0.718000 0.000000
4881.36 2.096717 0.000000
4886.36 2.147476 0.000000
4891.37 1.075343 0.000000
4896.37 0.590348 0.000000
4901.37 0.799549 0.000000
4906.37 1.094372 0.000000
4911.37 0.729247 0.000000
4916.37 0.449191 0.000000
4921.37 0.759484 0.000000
4926.37 0.966676 0.000000
4931.38 1.012524 0.000000
4936.38 1.070516 0.000000
4941.38 0.722199 0.000000
4946.38 0.432403 0.000000
4951.38 1.179225 0.000000
4956.38 1.364628 0.000000
4961.38 0.277291 0.000000
4966.39 -0.021211 0.000000
4971.39 0.375728 0.000000
4976.39 0.454246 0.000000
4981.39 0.719827 0.000000
4986.39 1.223409 0.000000
4991.39 1.096364 0.000000
4996.39 0.528751 0.000000
5001.39 0.183807 0.000000
5006.40 0.142502 0.000000
5011.40 0.196264 0.000000
5016.40 0.104356 0.000000
5021.40 0.424001 0.000000
5026.40 1.297105 0.000000
5031.40 1.396468 0.000000
5036.40 0.678994 0.000000
5041.41 0.341137 0.000000
5046.41 0.284057 0.000000
5051.41 0.228907 0.000000
5056.41 0.349705 0.000000
5061.41 0.663457 0.000000
5066.41 1.002363 0.000000
5071.41 1.019453 0.000000
5076.41 0.701489 0.000000
5081.42 0.447076 0.000000
5086.42 0.887090 0.000000
5091.42 1.754318 0.000000
5096.42 1.391855 0.000000
5101.42 0.698257 0.000000
5106.42 1.272395 0.000000
5111.42 2.082350 0.000000
5116.43 2.268746 0.000000
5121.43 1.776492 0.000000
5126.43 1.310846 0.000000
5131.43 1.330562 0.000000
5136.43 1.415241 0.000000
5141.43 1.449242 0.000000
5146.43 1.596216 0.000000
5151.43 1.398975 0.000000
5156.44 1.083755 0.000000
5161.44 2.092907 0.000000
5166.44 2.787874 0.000000
5171.44 1.224185 0.000000
5176.44 0.069911 0.000000
5181.44 0.197531 0.000000
5186.44 0.171082 0.000000
5191.45 0.406084 0.000000
5196.45 1.068864 0.000000
5201.45 0.895389 0.000000
5206.45 0.471112 0.000000
5211.45 1.398368 0.000000
5216.45 1.960290 0.000000
5221.45 1.108588 0.000000
5226.45 0.676164 0.000000
5231.46 0.873884 0.000000
5236.46 0.944779 0.000000
5241.46 0.880348 0.000000
5246.46 0.810349 0.000000
5251.46 0.750158 0.000000
5256.46 0.983346 0.000000
5261.46 1.591726 0.000000
5266.47 1.622845 0.000000
5271.47 1.250749 0.000000
5276.47 1.500875 0.000000
5281.47 1.414717 0.000000
5286.47 0.771937 0.000000
5291.47 1.291628 0.000000
5296.47 2.304228 0.000000
5301.47 2.280408 0.000000
5306.48 1.660659 0.000000
5311.48 0.891953 0.000000
5316.48 0.273082 0.000000
5321.48 1.226106 0.000000
5326.48 3.253972 0.000000
5331.48 2.493573 0.000000
5336.48 0.415500 0.000000
5341.49 0.246925 0.000000
5346.49 0.528364 0.000000
5351.49 0.471409 0.000000
5356.49 0.670349 0.000000
5361.49 0.842315 0.000000
5366.49 0.701396 0.000000
5371.49 0.491445 0.000000
5376.49 0.444128 0.000000
5381.50 0.686175 0.000000
5386.50 1.141611 0.000000
5391.50 1.550606 0.000000
5396.50 1.500305 0.000000
5401.50 1.230033 0.000000
5406.50 1.184960 0.000000
5411.50 1.253980 0.000000
5416.51 1.253679 0.000000
5421.51 1.099003 0.000000
5426.51 1.064196 0.000000
5431.51 1.314348 0.000000
5436.51 1.600561 0.000000
5441.51 1.719105 0.000000
5446.51 1.554944 0.000000
5451.51 0.998153 0.000000
5456.52 0.288414 0.000000
5461.52 0.162845 0.000000
5466.52 0.414372 0.000000
5471.52 0.557600 0.000000
5476.52 0.995785 0.000000
5481.52 1.540920 0.000000
5486.52 1.467698 0.000000
5491.53 1.238381 0.000000
5496.53 1.281054 0.000000
5501.53 0.851525 0.000000
5506.53 0.316354 0.000000
5511.53 0.949161 0.000000
5516.53 1.847984 0.000000
5521.53 1.973517 0.000000
5526.53 1.364700 0.000000
5531.54 0.711139 0.000000
5536.54 0.894237 0.000000
5541.54 1.407153 0.000000
5546.54 1.550447 0.000000
5551.54 1.153181 0.000000
5556.54 0.644333 0.000000
5561.54 0.533986 0.000000
5566.55 0.613929 0.000000
5571.55 0.718862 0.000000
5576.55 0.855218 0.000000
5581.55 1.002959 0.000000
5586.55 1.072122 0.000000
