# lk ukf_m4iii uks_m4iii fh fl fm fsv
# lRMS=0.06283461303 iRMS=0.08481960744 0
# 
3736.06 0.047010 0.015373 0.044553 0.000000 0.069164 0.000000
3741.06 0.061560 0.015861 0.046142 0.000000 0.102773 0.000000
3746.06 0.053848 0.014616 0.050466 0.000000 0.079793 0.000000
3751.07 0.054493 0.019227 0.058864 0.000000 0.072954 0.000000
3756.07 0.078061 0.019319 0.069941 0.000000 0.118890 0.000000
3761.07 0.078231 0.019819 0.071689 0.000000 0.117552 0.000000
3766.07 0.085456 0.023081 0.075820 0.000000 0.130899 0.000000
3771.07 0.144258 0.027730 0.085275 0.000000 0.263686 0.000000
3776.07 0.218968 0.029250 0.092153 0.000000 0.437532 0.000000
3781.07 0.248719 0.027180 0.095032 0.000000 0.506620 0.000000
3786.08 0.182030 0.024283 0.086939 0.000000 0.353393 0.000000
3791.08 0.110386 0.020786 0.075650 0.000000 0.191374 0.000000
3796.08 0.108542 0.018561 0.074615 0.000000 0.187949 0.000000
3801.08 0.134057 0.021031 0.079319 0.000000 0.244964 0.000000
3806.08 0.149274 0.024397 0.087135 0.000000 0.273960 0.000000
3811.08 0.131118 0.025119 0.084701 0.000000 0.232475 0.000000
3816.08 0.095676 0.020787 0.073559 0.000000 0.157882 0.000000
3821.08 0.065749 0.015866 0.063721 0.000000 0.095326 0.000000
3826.09 0.055464 0.016362 0.061468 0.000000 0.072701 0.000000
3831.09 0.060176 0.019603 0.065079 0.000000 0.080487 0.000000
3836.09 0.071914 0.019894 0.068934 0.000000 0.105027 0.000000
3841.09 0.104131 0.020014 0.072665 0.000000 0.179229 0.000000
3846.09 0.136302 0.022150 0.078966 0.000000 0.250749 0.000000
3851.09 0.119947 0.023567 0.080140 0.000000 0.210011 0.000000
3856.09 0.090980 0.021075 0.075203 0.000000 0.144877 0.000000
3861.09 0.085458 0.019315 0.071463 0.000000 0.135260 0.000000
3866.10 0.089898 0.020796 0.080347 0.000000 0.137115 0.000000
3871.10 0.095581 0.022109 0.085726 0.000000 0.145485 0.000000
3876.10 0.100464 0.022112 0.083584 0.000000 0.159438 0.000000
3881.10 0.078537 0.022777 0.082959 0.000000 0.107022 0.000000
3886.10 0.061178 0.022215 0.083348 0.000000 0.064642 0.000000
3891.10 0.119275 0.022383 0.087324 0.000000 0.201202 0.000000
3896.10 0.165921 0.023853 0.089174 0.000000 0.312190 0.000000
3901.10 0.128076 0.024942 0.089491 0.000000 0.220325 0.000000
3906.11 0.119456 0.026646 0.092760 0.000000 0.196204 0.000000
3911.11 0.157639 0.028149 0.097360 0.000000 0.283970 0.000000
3916.11 0.148170 0.026536 0.093327 0.000000 0.265096 0.000000
3921.11 0.104994 0.021968 0.080919 0.000000 0.173063 0.000000
3926.11 0.067206 0.017173 0.064443 0.000000 0.098128 0.000000
3931.11 0.041811 0.012396 0.048918 0.000000 0.052223 0.000000
3936.11 0.032598 0.009718 0.045779 0.000000 0.033076 0.000000
3941.12 0.043921 0.010922 0.058200 0.000000 0.048044 0.000000
3946.12 0.086065 0.016554 0.075264 0.000000 0.132927 0.000000
3951.12 0.126585 0.022806 0.091376 0.000000 0.214834 0.000000
3956.12 0.100579 0.024721 0.090323 0.000000 0.152979 0.000000
3961.12 0.052068 0.018256 0.071297 0.000000 0.054656 0.000000
3966.12 0.037724 0.011265 0.056501 0.000000 0.034753 0.000000
3971.12 0.056464 0.011770 0.059117 0.000000 0.077470 0.000000
3976.12 0.104575 0.017269 0.085166 0.000000 0.167801 0.000000
3981.13 0.161397 0.024559 0.113765 0.000000 0.276654 0.000000
3986.13 0.184844 0.029614 0.134639 0.000000 0.312500 0.000000
3991.13 0.181603 0.032948 0.145894 0.000000 0.293404 0.000000
3996.13 0.216748 0.035335 0.152540 0.000000 0.371775 0.000000
4001.13 0.257989 0.037893 0.159111 0.000000 0.464966 0.000000
4006.13 0.250932 0.037388 0.170329 0.000000 0.436675 0.000000
4011.13 0.245543 0.037992 0.178508 0.000000 0.415461 0.000000
4016.13 0.274660 0.042731 0.188476 0.000000 0.475927 0.000000
4021.14 0.310384 0.043847 0.185910 0.000000 0.564909 0.000000
4026.14 0.281627 0.040975 0.181410 0.000000 0.499848 0.000000
4031.14 0.195759 0.037957 0.178010 0.000000 0.295531 0.000000
4036.14 0.211960 0.041259 0.185553 0.000000 0.327178 0.000000
4041.14 0.297634 0.047227 0.196337 0.000000 0.523641 0.000000
4046.14 0.333243 0.046982 0.193779 0.000000 0.612338 0.000000
4051.14 0.319791 0.047887 0.202299 0.000000 0.571276 0.000000
4056.15 0.270091 0.048287 0.203616 0.000000 0.449735 0.000000
4061.15 0.222620 0.044562 0.200497 0.000000 0.338022 0.000000
4066.15 0.254974 0.044313 0.203063 0.000000 0.413720 0.000000
4071.15 0.342191 0.045938 0.207570 0.000000 0.620190 0.000000
4076.15 0.301432 0.042503 0.204076 0.000000 0.525088 0.000000
