# lk ukf_g5iii uks_g5iii fh fse fl fd fk
# lRMS=0.004043848254 iRMS=0.0002053742355 0
# 
3671.05 0.391418 0.007278 0.391418 0.000000 0.000000 0.000000 0.000000
3676.05 0.378927 0.006597 0.378927 0.000000 0.000000 0.000000 0.000000
3681.05 0.352543 0.031775 0.352543 0.000000 0.000000 0.000000 0.000000
3686.05 0.357672 0.016160 0.357672 0.000000 0.000000 0.000000 0.000000
3691.05 0.366308 0.010961 0.366308 0.000000 0.000000 0.000000 0.000000
3696.05 0.395366 0.012954 0.395366 0.000000 0.000000 0.000000 0.000000
3701.05 0.413132 0.013818 0.413132 0.000000 0.000000 0.000000 0.000000
3706.05 0.385142 0.036500 0.385142 0.000000 0.000000 0.000000 0.000000
3711.06 0.380801 0.029638 0.380801 0.000000 0.000000 0.000000 0.000000
3716.06 0.389275 0.037838 0.389275 0.000000 0.000000 0.000000 0.000000
3721.06 0.349027 0.036379 0.349027 0.000000 0.000000 0.000000 0.000000
3726.06 0.342421 0.026897 0.342421 0.000000 0.000000 0.000000 0.000000
3731.06 0.324818 0.028620 0.324818 0.000000 0.000000 0.000000 0.000000
3736.06 0.296154 0.038092 0.296154 0.000000 0.000000 0.000000 0.000000
3741.06 0.292595 0.017072 0.292595 0.000000 0.000000 0.000000 0.000000
3746.06 0.276034 0.028749 0.276034 0.000000 0.000000 0.000000 0.000000
3751.07 0.281170 0.029211 0.281170 0.000000 0.000000 0.000000 0.000000
3756.07 0.315936 0.019603 0.315936 0.000000 0.000000 0.000000 0.000000
3761.07 0.322982 0.023483 0.322982 0.000000 0.000000 0.000000 0.000000
3766.07 0.342670 0.023934 0.342670 0.000000 0.000000 0.000000 0.000000
3771.07 0.369388 0.026344 0.369388 0.000000 0.000000 0.000000 0.000000
3776.07 0.405543 0.018715 0.405543 0.000000 0.000000 0.000000 0.000000
3781.07 0.419075 0.013952 0.419075 0.000000 0.000000 0.000000 0.000000
3786.08 0.383807 0.011035 0.383807 0.000000 0.000000 0.000000 0.000000
3791.08 0.334551 0.026290 0.334551 0.000000 0.000000 0.000000 0.000000
3796.08 0.306964 0.031103 0.306964 0.000000 0.000000 0.000000 0.000000
3801.08 0.315221 0.030849 0.315221 0.000000 0.000000 0.000000 0.000000
3806.08 0.335598 0.032127 0.335598 0.000000 0.000000 0.000000 0.000000
3811.08 0.325272 0.015663 0.325272 0.000000 0.000000 0.000000 0.000000
3816.08 0.275391 0.009596 0.275391 0.000000 0.000000 0.000000 0.000000
3821.08 0.224419 0.023164 0.224419 0.000000 0.000000 0.000000 0.000000
3826.09 0.195517 0.021932 0.195517 0.000000 0.000000 0.000000 0.000000
3831.09 0.193469 0.013495 0.193469 0.000000 0.000000 0.000000 0.000000
3836.09 0.201727 0.019706 0.201727 0.000000 0.000000 0.000000 0.000000
3841.09 0.210615 0.021109 0.210615 0.000000 0.000000 0.000000 0.000000
3846.09 0.233861 0.022699 0.233861 0.000000 0.000000 0.000000 0.000000
3851.09 0.235949 0.019483 0.235949 0.000000 0.000000 0.000000 0.000000
3856.09 0.225579 0.024683 0.225579 0.000000 0.000000 0.000000 0.000000
3861.09 0.204508 0.030855 0.204508 0.000000 0.000000 0.000000 0.000000
3866.10 0.200379 0.022677 0.200379 0.000000 0.000000 0.000000 0.000000
3871.10 0.201534 0.021128 0.201534 0.000000 0.000000 0.000000 0.000000
3876.10 0.219617 0.015827 0.219617 0.000000 0.000000 0.000000 0.000000
3881.10 0.247802 0.020190 0.247802 0.000000 0.000000 0.000000 0.000000
