# lk ukf_wg8iii uks_wg8iii fh fse fl
# iRMS=3.438999192e-05 0
# 
3931.11 0.278909 0.009125 0.278909 0.000000 0.000000
3936.11 0.262759 0.035018 0.262759 0.000000 0.000000
3941.12 0.241031 0.005685 0.241031 0.000000 0.000000
3946.12 0.248054 0.042980 0.248054 0.000000 0.000000
3951.12 0.298620 0.063628 0.298620 0.000000 0.000000
3956.12 0.351064 0.055236 0.351064 0.000000 0.000000
3961.12 0.389985 0.006118 0.389985 0.000000 0.000000
3966.12 0.408324 0.062700 0.408324 0.000000 0.000000
3971.12 0.342035 0.034496 0.342035 0.000000 0.000000
3976.12 0.296793 0.022499 0.296793 0.000000 0.000000
3981.13 0.359041 0.029533 0.359041 0.000000 0.000000
3986.13 0.452252 0.043722 0.452252 0.000000 0.000000
3991.13 0.495359 0.104249 0.495359 0.000000 0.000000
3996.13 0.588573 0.064810 0.588573 0.000000 0.000000
4001.13 0.685147 0.025731 0.685147 0.000000 0.000000
4006.13 0.672770 0.018721 0.672770 0.000000 0.000000
4011.13 0.621532 0.038733 0.621532 0.000000 0.000000
4016.13 0.643141 0.034806 0.643141 0.000000 0.000000
4021.14 0.688037 0.010370 0.688037 0.000000 0.000000
4026.14 0.683188 0.024813 0.683188 0.000000 0.000000
4031.14 0.658198 0.037799 0.658198 0.000000 0.000000
4036.14 0.661169 0.007339 0.661169 0.000000 0.000000
4041.14 0.672444 0.025697 0.672444 0.000000 0.000000
4046.14 0.661172 0.016493 0.661172 0.000000 0.000000
4051.14 0.649318 0.004122 0.649318 0.000000 0.000000
4056.15 0.655988 0.001536 0.655988 0.000000 0.000000
4061.15 0.663357 0.024071 0.663357 0.000000 0.000000
4066.15 0.675322 0.061244 0.675322 0.000000 0.000000
4071.15 0.645822 0.043764 0.645822 0.000000 0.000000
4076.15 0.603681 0.012622 0.603681 0.000000 0.000000
4081.15 0.655790 0.011356 0.655790 0.000000 0.000000
4086.15 0.719558 0.045314 0.719558 0.000000 0.000000
4091.15 0.693998 0.001135 0.693998 0.000000 0.000000
4096.16 0.665111 0.019116 0.665111 0.000000 0.000000
4101.16 0.667747 0.010173 0.667747 0.000000 0.000000
4106.16 0.656894 0.016322 0.656894 0.000000 0.000000
4111.16 0.636707 0.011116 0.636707 0.000000 0.000000
4116.16 0.638715 0.031777 0.638715 0.000000 0.000000
4121.16 0.665581 0.021751 0.665581 0.000000 0.000000
4126.16 0.692028 0.010708 0.692028 0.000000 0.000000
4131.17 0.689857 0.038070 0.689857 0.000000 0.000000
4136.17 0.656681 0.042818 0.656681 0.000000 0.000000
4141.17 0.621206 0.035385 0.621206 0.000000 0.000000
4146.17 0.613956 0.038243 0.613956 0.000000 0.000000
4151.17 0.630972 0.051498 0.630972 0.000000 0.000000
4156.17 0.632485 0.044467 0.632485 0.000000 0.000000
4161.17 0.627461 0.036777 0.627461 0.000000 0.000000
4166.17 0.647947 0.063341 0.647947 0.000000 0.000000
4171.18 0.670650 0.091480 0.670650 0.000000 0.000000
4176.18 0.649973 0.066200 0.649973 0.000000 0.000000
4181.18 0.643010 0.051689 0.643010 0.000000 0.000000
4186.18 0.640734 0.043347 0.640734 0.000000 0.000000
4191.18 0.633820 0.033525 0.633820 0.000000 0.000000
4196.18 0.636861 0.034534 0.636861 0.000000 0.000000
4201.18 0.651535 0.041652 0.651535 0.000000 0.000000
4206.18 0.672633 0.047195 0.672633 0.000000 0.000000
4211.19 0.679482 0.034168 0.679482 0.000000 0.000000
4216.19 0.686642 0.027481 0.686642 0.000000 0.000000
4221.19 0.686628 0.023491 0.686628 0.000000 0.000000
4226.19 0.683021 0.021406 0.683021 0.000000 0.000000
4231.19 0.686831 0.022104 0.686831 0.000000 0.000000
4236.19 0.648651 0.036893 0.648651 0.000000 0.000000
4241.19 0.661029 0.052517 0.661029 0.000000 0.000000
4246.20 0.698748 0.041289 0.698748 0.000000 0.000000
4251.20 0.714037 0.042388 0.714037 0.000000 0.000000
4256.20 0.707990 0.048506 0.707990 0.000000 0.000000
4261.20 0.698044 0.045714 0.698044 0.000000 0.000000
4266.20 0.701910 0.026448 0.701910 0.000000 0.000000
4271.20 0.710337 0.010268 0.710337 0.000000 0.000000
4276.20 0.711400 0.010637 0.711400 0.000000 0.000000
4281.20 0.695328 0.029416 0.695328 0.000000 0.000000
4286.21 0.676829 0.038486 0.676829 0.000000 0.000000
4291.21 0.661988 0.024771 0.661988 0.000000 0.000000
4296.21 0.605887 0.042154 0.605887 0.000000 0.000000
4301.21 0.585281 0.020935 0.585281 0.000000 0.000000
4306.21 0.566839 0.015360 0.566839 0.000000 0.000000
4311.21 0.538144 0.052198 0.538144 0.000000 0.000000
4316.21 0.547987 0.080546 0.547987 0.000000 0.000000
4321.21 0.613900 0.071571 0.613900 0.000000 0.000000
4326.22 0.701170 0.045481 0.701170 0.000000 0.000000
4331.22 0.762731 0.035046 0.762731 0.000000 0.000000
4336.22 0.754571 0.076346 0.754571 0.000000 0.000000
4341.22 0.752899 0.085406 0.752899 0.000000 0.000000
4346.22 0.785148 0.043164 0.785148 0.000000 0.000000
4351.22 0.776741 0.047678 0.776741 0.000000 0.000000
4356.22 0.793232 0.038773 0.793232 0.000000 0.000000
4361.23 0.792315 0.062192 0.792315 0.000000 0.000000
4366.23 0.800369 0.075998 0.800369 0.000000 0.000000
4371.23 0.812685 0.067549 0.812685 0.000000 0.000000
4376.23 0.796789 0.061681 0.796789 0.000000 0.000000
4381.23 0.763874 0.051323 0.763874 0.000000 0.000000
4386.23 0.730422 0.038255 0.730422 0.000000 0.000000
4391.23 0.720669 0.018896 0.720669 0.000000 0.000000
