# lk ukf_g5iv uks_g5iv fh fse fl
# iRMS=2.234972999e-05 0
# 
3696.05 0.535407 0.029084 0.535407 0.000000 0.000000
3701.05 0.535054 0.039219 0.535054 0.000000 0.000000
3706.05 0.474124 0.052343 0.474124 0.000000 0.000000
3711.06 0.474875 0.028733 0.474875 0.000000 0.000000
3716.06 0.485615 0.027263 0.485615 0.000000 0.000000
3721.06 0.444933 0.050960 0.444933 0.000000 0.000000
3726.06 0.447379 0.045036 0.447379 0.000000 0.000000
3731.06 0.421272 0.044538 0.421272 0.000000 0.000000
3736.06 0.361904 0.053985 0.361904 0.000000 0.000000
3741.06 0.357611 0.011908 0.357611 0.000000 0.000000
3746.06 0.336244 0.017897 0.336244 0.000000 0.000000
3751.07 0.371723 0.008042 0.371723 0.000000 0.000000
3756.07 0.432406 0.005112 0.432406 0.000000 0.000000
3761.07 0.436483 0.038558 0.436483 0.000000 0.000000
3766.07 0.441785 0.030177 0.441785 0.000000 0.000000
3771.07 0.481390 0.006646 0.481390 0.000000 0.000000
3776.07 0.534043 0.009925 0.534043 0.000000 0.000000
3781.07 0.560926 0.003098 0.560926 0.000000 0.000000
3786.08 0.517610 0.018492 0.517610 0.000000 0.000000
3791.08 0.453826 0.014504 0.453826 0.000000 0.000000
3796.08 0.418400 0.009054 0.418400 0.000000 0.000000
3801.08 0.436660 0.032402 0.436660 0.000000 0.000000
3806.08 0.474991 0.029589 0.474991 0.000000 0.000000
3811.08 0.469196 0.030838 0.469196 0.000000 0.000000
3816.08 0.390735 0.026371 0.390735 0.000000 0.000000
3821.08 0.324217 0.027715 0.324217 0.000000 0.000000
3826.09 0.280111 0.025107 0.280111 0.000000 0.000000
3831.09 0.264075 0.021788 0.264075 0.000000 0.000000
3836.09 0.270829 0.031320 0.270829 0.000000 0.000000
3841.09 0.296955 0.042298 0.296955 0.000000 0.000000
3846.09 0.346745 0.059266 0.346745 0.000000 0.000000
3851.09 0.364170 0.060107 0.364170 0.000000 0.000000
3856.09 0.341087 0.051386 0.341087 0.000000 0.000000
3861.09 0.330290 0.052960 0.330290 0.000000 0.000000
3866.10 0.348179 0.066224 0.348179 0.000000 0.000000
3871.10 0.349713 0.048597 0.349713 0.000000 0.000000
3876.10 0.362665 0.043148 0.362665 0.000000 0.000000
3881.10 0.375480 0.037972 0.375480 0.000000 0.000000
3886.10 0.395534 0.021231 0.395534 0.000000 0.000000
3891.10 0.454211 0.028591 0.454211 0.000000 0.000000
3896.10 0.501382 0.019031 0.501382 0.000000 0.000000
3901.10 0.512893 0.018973 0.512893 0.000000 0.000000
3906.11 0.496238 0.052219 0.496238 0.000000 0.000000
3911.11 0.530325 0.051622 0.530325 0.000000 0.000000
3916.11 0.535905 0.040120 0.535905 0.000000 0.000000
3921.11 0.496875 0.039576 0.496875 0.000000 0.000000
3926.11 0.420071 0.038025 0.420071 0.000000 0.000000
3931.11 0.327412 0.032623 0.327412 0.000000 0.000000
3936.11 0.288570 0.011836 0.288570 0.000000 0.000000
3941.12 0.329654 0.050238 0.329654 0.000000 0.000000
3946.12 0.420143 0.064056 0.420143 0.000000 0.000000
3951.12 0.513823 0.061106 0.513823 0.000000 0.000000
3956.12 0.548676 0.054244 0.548676 0.000000 0.000000
3961.12 0.484893 0.055862 0.484893 0.000000 0.000000
3966.12 0.374222 0.036766 0.374222 0.000000 0.000000
3971.12 0.337126 0.051014 0.337126 0.000000 0.000000
3976.12 0.428986 0.071884 0.428986 0.000000 0.000000
3981.13 0.555739 0.091380 0.555739 0.000000 0.000000
3986.13 0.638924 0.076743 0.638924 0.000000 0.000000
3991.13 0.694736 0.048433 0.694736 0.000000 0.000000
3996.13 0.724631 0.039401 0.724631 0.000000 0.000000
4001.13 0.744536 0.039870 0.744536 0.000000 0.000000
4006.13 0.753342 0.041400 0.753342 0.000000 0.000000
4011.13 0.773227 0.041767 0.773227 0.000000 0.000000
4016.13 0.791735 0.045053 0.791735 0.000000 0.000000
4021.14 0.807552 0.038310 0.807552 0.000000 0.000000
4026.14 0.802520 0.033404 0.802520 0.000000 0.000000
4031.14 0.773737 0.051628 0.773737 0.000000 0.000000
4036.14 0.781875 0.033027 0.781875 0.000000 0.000000
4041.14 0.777317 0.038564 0.777317 0.000000 0.000000
4046.14 0.748317 0.048768 0.748317 0.000000 0.000000
4051.14 0.757758 0.013976 0.757758 0.000000 0.000000
4056.15 0.746743 0.025522 0.746743 0.000000 0.000000
4061.15 0.722609 0.039580 0.722609 0.000000 0.000000
4066.15 0.712330 0.020501 0.712330 0.000000 0.000000
4071.15 0.711412 0.013214 0.711412 0.000000 0.000000
4076.15 0.724842 0.024479 0.724842 0.000000 0.000000
