# lk ukf_o5v uks_o5v fh fse fl
# lRMS=0.0004083506647 iRMS=0.0004083506938 0
# 
4346.22 2.442607 0.071421 2.442607 0.000000 0.000000
4351.22 2.589814 0.051761 2.589814 0.000000 0.000000
4356.22 2.653373 0.053063 2.653373 0.000000 0.000000
4361.23 2.662863 0.053047 2.662863 0.000000 0.000000
4366.23 2.652761 0.051985 2.652761 0.000000 0.000000
4371.23 2.638364 0.054777 2.638364 0.000000 0.000000
4376.23 2.623167 0.056174 2.623167 0.000000 0.000000
4381.23 2.597995 0.060486 2.597995 0.000000 0.000000
4386.23 2.577212 0.067446 2.577212 0.000000 0.000000
4391.23 2.584989 0.055194 2.584989 0.000000 0.000000
4396.23 2.582220 0.044444 2.582220 0.000000 0.000000
4401.24 2.561121 0.040998 2.561121 0.000000 0.000000
4406.24 2.538024 0.044013 2.538024 0.000000 0.000000
4411.24 2.510464 0.044938 2.510464 0.000000 0.000000
4416.24 2.463937 0.048895 2.463937 0.000000 0.000000
4421.24 2.417243 0.046592 2.417243 0.000000 0.000000
4426.24 2.375760 0.045248 2.375760 0.000000 0.000000
4431.24 2.340586 0.057422 2.340586 0.000000 0.000000
4436.25 2.350785 0.050301 2.350785 0.000000 0.000000
4441.25 2.384998 0.032130 2.384998 0.000000 0.000000
4446.25 2.410148 0.027197 2.410148 0.000000 0.000000
4451.25 2.432351 0.029981 2.432351 0.000000 0.000000
4456.25 2.438818 0.033359 2.438818 0.000000 0.000000
4461.25 2.413490 0.036711 2.413490 0.000000 0.000000
4466.25 2.376311 0.032991 2.376311 0.000000 0.000000
4471.25 2.324116 0.051478 2.324116 0.000000 0.000000
4476.26 2.333668 0.028866 2.333668 0.000000 0.000000
4481.26 2.348763 0.018139 2.348763 0.000000 0.000000
4486.26 2.346370 0.019316 2.346370 0.000000 0.000000
4491.26 2.340014 0.016755 2.340014 0.000000 0.000000
4496.26 2.334521 0.013659 2.334521 0.000000 0.000000
4501.26 2.328965 0.016158 2.328965 0.000000 0.000000
4506.26 2.309363 0.025791 2.309363 0.000000 0.000000
4511.27 2.297810 0.021617 2.297810 0.000000 0.000000
4516.27 2.285011 0.022548 2.285011 0.000000 0.000000
