# lk ukf_rk0v uks_rk0v fh fse fl fd fk fh_1
# lRMS=0.004504811484 iRMS=0.0003877604031 0
4151.17 0.658134 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4156.17 0.677122 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4161.17 0.705501 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4166.17 0.708273 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4171.18 0.680212 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4176.18 0.656117 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4181.18 0.655619 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4186.18 0.659270 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4191.18 0.662409 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4196.18 0.634196 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4201.18 0.620295 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4206.18 0.674907 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4211.19 0.735912 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4216.19 0.744647 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4221.19 0.703804 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4226.19 0.641003 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4231.19 0.624122 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4236.19 0.677900 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4241.19 0.722889 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4246.20 0.718676 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4251.20 0.679126 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4256.20 0.676101 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4261.20 0.694979 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
