# lk ukf_k4iii uks_k4iii fh fse fl fd
# iRMS=0.0005858743098 0
# 
4181.18 0.223509 0.000000 0.223509 0.000000 0.000000 0.000000
4186.18 0.242887 0.000000 0.242887 0.000000 0.000000 0.000000
4191.18 0.239316 0.000000 0.239316 0.000000 0.000000 0.000000
4196.18 0.219192 0.000000 0.219192 0.000000 0.000000 0.000000
4201.18 0.209291 0.000000 0.209291 0.000000 0.000000 0.000000
4206.18 0.237302 0.000000 0.237302 0.000000 0.000000 0.000000
4211.19 0.255854 0.000000 0.255854 0.000000 0.000000 0.000000
4216.19 0.264297 0.000000 0.264297 0.000000 0.000000 0.000000
4221.19 0.272367 0.000000 0.272367 0.000000 0.000000 0.000000
4226.19 0.194099 0.000000 0.194099 0.000000 0.000000 0.000000
4231.19 0.226175 0.000000 0.226175 0.000000 0.000000 0.000000
4236.19 0.260216 0.000000 0.260216 0.000000 0.000000 0.000000
4241.19 0.299321 0.000000 0.299321 0.000000 0.000000 0.000000
4246.20 0.322960 0.000000 0.322960 0.000000 0.000000 0.000000
4251.20 0.273145 0.000000 0.273145 0.000000 0.000000 0.000000
4256.20 0.266734 0.000000 0.266734 0.000000 0.000000 0.000000
4261.20 0.290529 0.000000 0.290529 0.000000 0.000000 0.000000
4266.20 0.317484 0.000000 0.317484 0.000000 0.000000 0.000000
4271.20 0.258964 0.000000 0.258964 0.000000 0.000000 0.000000
4276.20 0.255467 0.000000 0.255467 0.000000 0.000000 0.000000
4281.20 0.298761 0.000000 0.298761 0.000000 0.000000 0.000000
4286.21 0.288802 0.000000 0.288802 0.000000 0.000000 0.000000
4291.21 0.264029 0.000000 0.264029 0.000000 0.000000 0.000000
4296.21 0.262321 0.000000 0.262321 0.000000 0.000000 0.000000
4301.21 0.234350 0.000000 0.234350 0.000000 0.000000 0.000000
4306.21 0.213863 0.000000 0.213863 0.000000 0.000000 0.000000
4311.21 0.250699 0.000000 0.250699 0.000000 0.000000 0.000000
4316.21 0.369678 0.000000 0.369678 0.000000 0.000000 0.000000
4321.21 0.391331 0.000000 0.391331 0.000000 0.000000 0.000000
4326.22 0.337517 0.000000 0.337517 0.000000 0.000000 0.000000
4331.22 0.400689 0.000000 0.400689 0.000000 0.000000 0.000000
4336.22 0.427004 0.000000 0.427004 0.000000 0.000000 0.000000
4341.22 0.384834 0.000000 0.384834 0.000000 0.000000 0.000000
4346.22 0.429609 0.000000 0.429609 0.000000 0.000000 0.000000
4351.22 0.420342 0.000000 0.420342 0.000000 0.000000 0.000000
4356.22 0.423446 0.000000 0.423446 0.000000 0.000000 0.000000
4361.23 0.445511 0.000000 0.445511 0.000000 0.000000 0.000000
4366.23 0.468049 0.000000 0.468049 0.000000 0.000000 0.000000
4371.23 0.433391 0.000000 0.433391 0.000000 0.000000 0.000000
4376.23 0.413670 0.000000 0.413670 0.000000 0.000000 0.000000
4381.23 0.363334 0.000000 0.363334 0.000000 0.000000 0.000000
4386.23 0.319312 0.000000 0.319312 0.000000 0.000000 0.000000
4391.23 0.375742 0.000000 0.375742 0.000000 0.000000 0.000000
4396.23 0.416651 0.000000 0.416651 0.000000 0.000000 0.000000
4401.24 0.410508 0.000000 0.410508 0.000000 0.000000 0.000000
4406.24 0.348474 0.000000 0.348474 0.000000 0.000000 0.000000
4411.24 0.396348 0.000000 0.396348 0.000000 0.000000 0.000000
4416.24 0.415108 0.000000 0.415108 0.000000 0.000000 0.000000
4421.24 0.442535 0.000000 0.442535 0.000000 0.000000 0.000000
4426.24 0.436805 0.000000 0.436805 0.000000 0.000000 0.000000
4431.24 0.430029 0.000000 0.430029 0.000000 0.000000 0.000000
4436.25 0.435783 0.000000 0.435783 0.000000 0.000000 0.000000
