# lk ukf_k1iv uks_k1iv fh fse fl
# iRMS=0.0001062268711 0
# 
3506.00 0.226169 0.000000 0.226169 0.000000 0.000000
3511.00 0.229588 0.000000 0.229588 0.000000 0.000000
3516.01 0.219305 0.000000 0.219305 0.000000 0.000000
3521.01 0.207643 0.000000 0.207643 0.000000 0.000000
3526.01 0.207460 0.000000 0.207460 0.000000 0.000000
3531.01 0.215475 0.000000 0.215475 0.000000 0.000000
3536.01 0.224847 0.000000 0.224847 0.000000 0.000000
3541.01 0.230635 0.000000 0.230635 0.000000 0.000000
3546.01 0.229290 0.000000 0.229290 0.000000 0.000000
3551.01 0.220918 0.000000 0.220918 0.000000 0.000000
3556.02 0.207413 0.000000 0.207413 0.000000 0.000000
3561.02 0.194171 0.000000 0.194171 0.000000 0.000000
3566.02 0.185301 0.000000 0.185301 0.000000 0.000000
3571.02 0.176260 0.000000 0.176260 0.000000 0.000000
3576.02 0.163922 0.000000 0.163922 0.000000 0.000000
3581.02 0.159474 0.000000 0.159474 0.000000 0.000000
3586.02 0.173233 0.000000 0.173233 0.000000 0.000000
3591.02 0.197713 0.000000 0.197713 0.000000 0.000000
3596.03 0.221488 0.000000 0.221488 0.000000 0.000000
3601.03 0.235165 0.000000 0.235165 0.000000 0.000000
3606.03 0.233998 0.000000 0.233998 0.000000 0.000000
3611.03 0.229782 0.000000 0.229782 0.000000 0.000000
3616.03 0.234511 0.000000 0.234511 0.000000 0.000000
3621.03 0.244419 0.000000 0.244419 0.000000 0.000000
3626.03 0.252314 0.000000 0.252314 0.000000 0.000000
3631.03 0.253052 0.000000 0.253052 0.000000 0.000000
3636.04 0.245725 0.000000 0.245725 0.000000 0.000000
3641.04 0.244334 0.000000 0.244334 0.000000 0.000000
3646.04 0.260615 0.000000 0.260615 0.000000 0.000000
3651.04 0.282367 0.000000 0.282367 0.000000 0.000000
3656.04 0.295308 0.000000 0.295308 0.000000 0.000000
3661.04 0.300798 0.000000 0.300798 0.000000 0.000000
3666.04 0.302977 0.000000 0.302977 0.000000 0.000000
3671.05 0.301475 0.000000 0.301475 0.000000 0.000000
3676.05 0.296334 0.000000 0.296334 0.000000 0.000000
3681.05 0.293765 0.000000 0.293765 0.000000 0.000000
3686.05 0.298328 0.000000 0.298328 0.000000 0.000000
3691.05 0.301835 0.000000 0.301835 0.000000 0.000000
3696.05 0.296193 0.000000 0.296193 0.000000 0.000000
3701.05 0.286455 0.000000 0.286455 0.000000 0.000000
3706.05 0.279295 0.000000 0.279295 0.000000 0.000000
3711.06 0.274719 0.000000 0.274719 0.000000 0.000000
3716.06 0.270376 0.000000 0.270376 0.000000 0.000000
3721.06 0.261146 0.000000 0.261146 0.000000 0.000000
3726.06 0.243900 0.000000 0.243900 0.000000 0.000000
3731.06 0.226246 0.000000 0.226246 0.000000 0.000000
3736.06 0.216583 0.000000 0.216583 0.000000 0.000000
3741.06 0.215749 0.000000 0.215749 0.000000 0.000000
3746.06 0.222466 0.000000 0.222466 0.000000 0.000000
3751.07 0.234556 0.000000 0.234556 0.000000 0.000000
3756.07 0.249389 0.000000 0.249389 0.000000 0.000000
3761.07 0.263427 0.000000 0.263427 0.000000 0.000000
3766.07 0.274399 0.000000 0.274399 0.000000 0.000000
3771.07 0.285994 0.000000 0.285994 0.000000 0.000000
3776.07 0.299678 0.000000 0.299678 0.000000 0.000000
3781.07 0.302061 0.000000 0.302061 0.000000 0.000000
3786.08 0.283169 0.000000 0.283169 0.000000 0.000000
3791.08 0.261561 0.000000 0.261561 0.000000 0.000000
3796.08 0.256357 0.000000 0.256357 0.000000 0.000000
3801.08 0.260398 0.000000 0.260398 0.000000 0.000000
3806.08 0.260913 0.000000 0.260913 0.000000 0.000000
3811.08 0.248956 0.000000 0.248956 0.000000 0.000000
3816.08 0.220880 0.000000 0.220880 0.000000 0.000000
3821.08 0.190423 0.000000 0.190423 0.000000 0.000000
3826.09 0.172650 0.000000 0.172650 0.000000 0.000000
3831.09 0.170572 0.000000 0.170572 0.000000 0.000000
3836.09 0.181741 0.000000 0.181741 0.000000 0.000000
3841.09 0.193927 0.000000 0.193927 0.000000 0.000000
3846.09 0.196254 0.000000 0.196254 0.000000 0.000000
3851.09 0.193038 0.000000 0.193038 0.000000 0.000000
3856.09 0.190981 0.000000 0.190981 0.000000 0.000000
3861.09 0.191132 0.000000 0.191132 0.000000 0.000000
3866.10 0.193541 0.000000 0.193541 0.000000 0.000000
3871.10 0.199908 0.000000 0.199908 0.000000 0.000000
3876.10 0.212050 0.000000 0.212050 0.000000 0.000000
3881.10 0.230607 0.000000 0.230607 0.000000 0.000000
3886.10 0.254509 0.000000 0.254509 0.000000 0.000000
3891.10 0.277016 0.000000 0.277016 0.000000 0.000000
3896.10 0.292439 0.000000 0.292439 0.000000 0.000000
3901.10 0.304972 0.000000 0.304972 0.000000 0.000000
3906.11 0.317898 0.000000 0.317898 0.000000 0.000000
3911.11 0.321005 0.000000 0.321005 0.000000 0.000000
3916.11 0.304431 0.000000 0.304431 0.000000 0.000000
3921.11 0.273206 0.000000 0.273206 0.000000 0.000000
3926.11 0.237866 0.000000 0.237866 0.000000 0.000000
3931.11 0.216081 0.000000 0.216081 0.000000 0.000000
3936.11 0.222672 0.000000 0.222672 0.000000 0.000000
3941.12 0.253949 0.000000 0.253949 0.000000 0.000000
3946.12 0.297434 0.000000 0.297434 0.000000 0.000000
3951.12 0.324013 0.000000 0.324013 0.000000 0.000000
3956.12 0.311516 0.000000 0.311516 0.000000 0.000000
3961.12 0.282186 0.000000 0.282186 0.000000 0.000000
3966.12 0.266871 0.000000 0.266871 0.000000 0.000000
3971.12 0.286442 0.000000 0.286442 0.000000 0.000000
3976.12 0.348976 0.000000 0.348976 0.000000 0.000000
3981.13 0.421350 0.000000 0.421350 0.000000 0.000000
3986.13 0.469966 0.000000 0.469966 0.000000 0.000000
3991.13 0.500518 0.000000 0.500518 0.000000 0.000000
3996.13 0.524851 0.000000 0.524851 0.000000 0.000000
4001.13 0.540130 0.000000 0.540130 0.000000 0.000000
4006.13 0.543424 0.000000 0.543424 0.000000 0.000000
4011.13 0.546095 0.000000 0.546095 0.000000 0.000000
4016.13 0.558155 0.000000 0.558155 0.000000 0.000000
4021.14 0.569899 0.000000 0.569899 0.000000 0.000000
4026.14 0.570519 0.000000 0.570519 0.000000 0.000000
4031.14 0.564507 0.000000 0.564507 0.000000 0.000000
4036.14 0.558505 0.000000 0.558505 0.000000 0.000000
4041.14 0.552472 0.000000 0.552472 0.000000 0.000000
4046.14 0.545306 0.000000 0.545306 0.000000 0.000000
4051.14 0.538364 0.000000 0.538364 0.000000 0.000000
4056.15 0.533282 0.000000 0.533282 0.000000 0.000000
4061.15 0.530380 0.000000 0.530380 0.000000 0.000000
4066.15 0.531191 0.000000 0.531191 0.000000 0.000000
4071.15 0.543449 0.000000 0.543449 0.000000 0.000000
4076.15 0.570602 0.000000 0.570602 0.000000 0.000000
4081.15 0.592762 0.000000 0.592762 0.000000 0.000000
4086.15 0.592224 0.000000 0.592224 0.000000 0.000000
4091.15 0.583350 0.000000 0.583350 0.000000 0.000000
4096.16 0.582996 0.000000 0.582996 0.000000 0.000000
4101.16 0.585927 0.000000 0.585927 0.000000 0.000000
4106.16 0.583910 0.000000 0.583910 0.000000 0.000000
4111.16 0.578823 0.000000 0.578823 0.000000 0.000000
4116.16 0.574382 0.000000 0.574382 0.000000 0.000000
4121.16 0.571543 0.000000 0.571543 0.000000 0.000000
4126.16 0.569755 0.000000 0.569755 0.000000 0.000000
4131.17 0.565175 0.000000 0.565175 0.000000 0.000000
4136.17 0.555109 0.000000 0.555109 0.000000 0.000000
4141.17 0.544743 0.000000 0.544743 0.000000 0.000000
4146.17 0.539934 0.000000 0.539934 0.000000 0.000000
4151.17 0.541343 0.000000 0.541343 0.000000 0.000000
4156.17 0.546970 0.000000 0.546970 0.000000 0.000000
4161.17 0.549365 0.000000 0.549365 0.000000 0.000000
4166.17 0.543249 0.000000 0.543249 0.000000 0.000000
4171.18 0.537464 0.000000 0.537464 0.000000 0.000000
4176.18 0.540543 0.000000 0.540543 0.000000 0.000000
4181.18 0.545659 0.000000 0.545659 0.000000 0.000000
4186.18 0.544952 0.000000 0.544952 0.000000 0.000000
4191.18 0.541792 0.000000 0.541792 0.000000 0.000000
4196.18 0.542265 0.000000 0.542265 0.000000 0.000000
4201.18 0.552081 0.000000 0.552081 0.000000 0.000000
4206.18 0.572536 0.000000 0.572536 0.000000 0.000000
4211.19 0.587654 0.000000 0.587654 0.000000 0.000000
4216.19 0.583692 0.000000 0.583692 0.000000 0.000000
4221.19 0.573129 0.000000 0.573129 0.000000 0.000000
4226.19 0.571340 0.000000 0.571340 0.000000 0.000000
4231.19 0.579082 0.000000 0.579082 0.000000 0.000000
4236.19 0.592295 0.000000 0.592295 0.000000 0.000000
4241.19 0.602287 0.000000 0.602287 0.000000 0.000000
4246.20 0.602259 0.000000 0.602259 0.000000 0.000000
4251.20 0.597640 0.000000 0.597640 0.000000 0.000000
4256.20 0.595167 0.000000 0.595167 0.000000 0.000000
4261.20 0.594604 0.000000 0.594604 0.000000 0.000000
4266.20 0.593924 0.000000 0.593924 0.000000 0.000000
4271.20 0.590916 0.000000 0.590916 0.000000 0.000000
4276.20 0.583815 0.000000 0.583815 0.000000 0.000000
4281.20 0.572828 0.000000 0.572828 0.000000 0.000000
4286.21 0.557672 0.000000 0.557672 0.000000 0.000000
4291.21 0.534129 0.000000 0.534129 0.000000 0.000000
4296.21 0.503247 0.000000 0.503247 0.000000 0.000000
4301.21 0.491078 0.000000 0.491078 0.000000 0.000000
