# lk ukf_k4v uks_k4v fh fse fl
# iRMS=7.326521882e-05 0
# 
3696.05 0.303055 0.000000 0.303055 0.000000 0.000000
3701.05 0.282817 0.000000 0.282817 0.000000 0.000000
3706.05 0.225743 0.032094 0.225743 0.000000 0.000000
3711.06 0.205576 0.014458 0.205576 0.000000 0.000000
3716.06 0.187912 0.014460 0.187912 0.000000 0.000000
3721.06 0.161727 0.023551 0.161727 0.000000 0.000000
3726.06 0.164380 0.015217 0.164380 0.000000 0.000000
3731.06 0.143297 0.020428 0.143297 0.000000 0.000000
3736.06 0.117941 0.028556 0.117941 0.000000 0.000000
3741.06 0.121159 0.010425 0.121159 0.000000 0.000000
3746.06 0.113717 0.015586 0.113717 0.000000 0.000000
3751.07 0.135670 0.001077 0.135670 0.000000 0.000000
3756.07 0.163126 0.008695 0.163126 0.000000 0.000000
3761.07 0.162703 0.008644 0.162703 0.000000 0.000000
3766.07 0.182604 0.010612 0.182604 0.000000 0.000000
3771.07 0.226204 0.046835 0.226204 0.000000 0.000000
3776.07 0.258309 0.042865 0.258309 0.000000 0.000000
3781.07 0.270619 0.027131 0.270619 0.000000 0.000000
3786.08 0.235735 0.005087 0.235735 0.000000 0.000000
3791.08 0.205357 0.008588 0.205357 0.000000 0.000000
3796.08 0.195315 0.019317 0.195315 0.000000 0.000000
3801.08 0.211284 0.029394 0.211284 0.000000 0.000000
3806.08 0.236345 0.022970 0.236345 0.000000 0.000000
3811.08 0.224115 0.001321 0.224115 0.000000 0.000000
3816.08 0.167254 0.012109 0.167254 0.000000 0.000000
3821.08 0.122148 0.002162 0.122148 0.000000 0.000000
3826.09 0.103491 0.001757 0.103491 0.000000 0.000000
3831.09 0.107833 0.001005 0.107833 0.000000 0.000000
3836.09 0.119835 0.002705 0.119835 0.000000 0.000000
3841.09 0.141524 0.007980 0.141524 0.000000 0.000000
3846.09 0.185718 0.023504 0.185718 0.000000 0.000000
3851.09 0.188106 0.010962 0.188106 0.000000 0.000000
3856.09 0.152217 0.000301 0.152217 0.000000 0.000000
3861.09 0.142097 0.014720 0.142097 0.000000 0.000000
3866.10 0.168221 0.023691 0.168221 0.000000 0.000000
3871.10 0.184214 0.012934 0.184214 0.000000 0.000000
3876.10 0.176167 0.009195 0.176167 0.000000 0.000000
3881.10 0.166851 0.014512 0.166851 0.000000 0.000000
3886.10 0.167664 0.011744 0.167664 0.000000 0.000000
3891.10 0.194447 0.028595 0.194447 0.000000 0.000000
3896.10 0.194505 0.021592 0.194505 0.000000 0.000000
3901.10 0.190472 0.013423 0.190472 0.000000 0.000000
3906.11 0.192801 0.024405 0.192801 0.000000 0.000000
