# lk ukf_a0v uks_a0v fh fl fc
# iRMS=4.188829189e-05 0
# 
4011.13 2.392617 0.088630 2.392617 0.000000 0.000000
4016.13 2.402697 0.094821 2.402697 0.000000 0.000000
4021.14 2.406213 0.104720 2.406213 0.000000 0.000000
4026.14 2.385914 0.099253 2.385914 0.000000 0.000000
4031.14 2.363976 0.100826 2.363976 0.000000 0.000000
4036.14 2.362967 0.119841 2.362967 0.000000 0.000000
4041.14 2.357623 0.119683 2.357623 0.000000 0.000000
4046.14 2.349137 0.099790 2.349137 0.000000 0.000000
4051.14 2.356597 0.088697 2.356597 0.000000 0.000000
4056.15 2.337830 0.059907 2.337830 0.000000 0.000000
4061.15 2.307925 0.056069 2.307925 0.000000 0.000000
4066.15 2.256997 0.055298 2.256997 0.000000 0.000000
4071.15 2.182526 0.035148 2.182526 0.000000 0.000000
4076.15 2.097172 0.015335 2.097172 0.000000 0.000000
4081.15 2.005089 0.021031 2.005089 0.000000 0.000000
4086.15 1.871567 0.029820 1.871567 0.000000 0.000000
4091.15 1.642101 0.044777 1.642101 0.000000 0.000000
4096.16 1.327834 0.097320 1.327834 0.000000 0.000000
4101.16 1.073181 0.140718 1.073181 0.000000 0.000000
4106.16 1.113944 0.032936 1.113944 0.000000 0.000000
4111.16 1.364009 0.122877 1.364009 0.000000 0.000000
4116.16 1.621284 0.176463 1.621284 0.000000 0.000000
4121.16 1.831318 0.151982 1.831318 0.000000 0.000000
4126.16 1.968552 0.084405 1.968552 0.000000 0.000000
4131.17 2.060154 0.029550 2.060154 0.000000 0.000000
4136.17 2.151280 0.030634 2.151280 0.000000 0.000000
4141.17 2.214909 0.032589 2.214909 0.000000 0.000000
4146.17 2.249613 0.037404 2.249613 0.000000 0.000000
4151.17 2.268199 0.051260 2.268199 0.000000 0.000000
4156.17 2.269451 0.066339 2.269451 0.000000 0.000000
4161.17 2.269143 0.069027 2.269143 0.000000 0.000000
4166.17 2.263573 0.063775 2.263573 0.000000 0.000000
4171.18 2.225933 0.061108 2.225933 0.000000 0.000000
4176.18 2.195532 0.053204 2.195532 0.000000 0.000000
4181.18 2.181200 0.033301 2.181200 0.000000 0.000000
4186.18 2.181560 0.016382 2.181560 0.000000 0.000000
4191.18 2.199191 0.018312 2.199191 0.000000 0.000000
4196.18 2.208719 0.026605 2.208719 0.000000 0.000000
4201.18 2.211377 0.057886 2.211377 0.000000 0.000000
4206.18 2.247003 0.068836 2.247003 0.000000 0.000000
4211.19 2.257165 0.069407 2.257165 0.000000 0.000000
4216.19 2.229093 0.069060 2.229093 0.000000 0.000000
4221.19 2.201925 0.057867 2.201925 0.000000 0.000000
4226.19 2.167549 0.047131 2.167549 0.000000 0.000000
4231.19 2.153373 0.036802 2.153373 0.000000 0.000000
4236.19 2.153649 0.036222 2.153649 0.000000 0.000000
4241.19 2.150010 0.062199 2.150010 0.000000 0.000000
4246.20 2.124971 0.058594 2.124971 0.000000 0.000000
4251.20 2.114018 0.068315 2.114018 0.000000 0.000000
4256.20 2.115392 0.064670 2.115392 0.000000 0.000000
4261.20 2.109489 0.055618 2.109489 0.000000 0.000000
4266.20 2.110130 0.049180 2.110130 0.000000 0.000000
4271.20 2.097033 0.058251 2.097033 0.000000 0.000000
4276.20 2.117196 0.063338 2.117196 0.000000 0.000000
4281.20 2.136546 0.100720 2.136546 0.000000 0.000000
4286.21 2.126377 0.121321 2.126377 0.000000 0.000000
4291.21 2.083192 0.124662 2.083192 0.000000 0.000000
4296.21 2.037815 0.094492 2.037815 0.000000 0.000000
4301.21 1.970364 0.074054 1.970364 0.000000 0.000000
4306.21 1.932392 0.061043 1.932392 0.000000 0.000000
4311.21 1.911035 0.074391 1.911035 0.000000 0.000000
4316.21 1.881848 0.108937 1.881848 0.000000 0.000000
4321.21 1.810205 0.138548 1.810205 0.000000 0.000000
4326.22 1.652199 0.155486 1.652199 0.000000 0.000000
4331.22 1.427604 0.143232 1.427604 0.000000 0.000000
4336.22 1.148925 0.143314 1.148925 0.000000 0.000000
4341.22 0.971719 0.132653 0.971719 0.000000 0.000000
4346.22 1.053994 0.034260 1.053994 0.000000 0.000000
4351.22 1.269570 0.033766 1.269570 0.000000 0.000000
4356.22 1.506908 0.040170 1.506908 0.000000 0.000000
4361.23 1.693613 0.003782 1.693613 0.000000 0.000000
4366.23 1.824733 0.035306 1.824733 0.000000 0.000000
4371.23 1.889272 0.051086 1.889272 0.000000 0.000000
4376.23 1.915232 0.047821 1.915232 0.000000 0.000000
4381.23 1.919991 0.043217 1.919991 0.000000 0.000000
4386.23 1.915014 0.043326 1.915014 0.000000 0.000000
4391.23 1.928407 0.042158 1.928407 0.000000 0.000000
4396.23 1.935735 0.039164 1.935735 0.000000 0.000000
4401.24 1.935139 0.036988 1.935139 0.000000 0.000000
4406.24 1.941841 0.038015 1.941841 0.000000 0.000000
4411.24 1.942488 0.039010 1.942488 0.000000 0.000000
4416.24 1.924015 0.038463 1.924015 0.000000 0.000000
4421.24 1.929782 0.030680 1.929782 0.000000 0.000000
4426.24 1.935769 0.034735 1.935769 0.000000 0.000000
4431.24 1.916791 0.025630 1.916791 0.000000 0.000000
4436.25 1.908540 0.029992 1.908540 0.000000 0.000000
4441.25 1.901613 0.022273 1.901613 0.000000 0.000000
4446.25 1.905883 0.026755 1.905883 0.000000 0.000000
4451.25 1.913008 0.032873 1.913008 0.000000 0.000000
4456.25 1.904084 0.032868 1.904084 0.000000 0.000000
4461.25 1.886469 0.026664 1.886469 0.000000 0.000000
4466.25 1.867539 0.015091 1.867539 0.000000 0.000000
4471.25 1.852080 0.011509 1.852080 0.000000 0.000000
4476.26 1.848929 0.030039 1.848929 0.000000 0.000000
4481.26 1.822841 0.011484 1.822841 0.000000 0.000000
4486.26 1.831402 0.018147 1.831402 0.000000 0.000000
4491.26 1.845854 0.022054 1.845854 0.000000 0.000000
4496.26 1.855295 0.025077 1.855295 0.000000 0.000000
4501.26 1.858850 0.023272 1.858850 0.000000 0.000000
4506.26 1.860867 0.020347 1.860867 0.000000 0.000000
4511.27 1.863026 0.025591 1.863026 0.000000 0.000000
4516.27 1.848286 0.029209 1.848286 0.000000 0.000000
4521.27 1.826406 0.033553 1.826406 0.000000 0.000000
4526.27 1.809914 0.029738 1.809914 0.000000 0.000000
4531.27 1.796286 0.022643 1.796286 0.000000 0.000000
4536.27 1.802478 0.025552 1.802478 0.000000 0.000000
4541.27 1.802790 0.025891 1.802790 0.000000 0.000000
4546.27 1.771593 0.014162 1.771593 0.000000 0.000000
4551.28 1.747621 0.030857 1.747621 0.000000 0.000000
4556.28 1.754564 0.038176 1.754564 0.000000 0.000000
4561.28 1.764052 0.037423 1.764052 0.000000 0.000000
4566.28 1.758464 0.028500 1.758464 0.000000 0.000000
4571.28 1.744937 0.022073 1.744937 0.000000 0.000000
4576.28 1.739346 0.030857 1.739346 0.000000 0.000000
4581.28 1.721821 0.031843 1.721821 0.000000 0.000000
4586.28 1.702466 0.022938 1.702466 0.000000 0.000000
4591.29 1.710641 0.029834 1.710641 0.000000 0.000000
4596.29 1.721394 0.028540 1.721394 0.000000 0.000000
4601.29 1.720887 0.012669 1.720887 0.000000 0.000000
4606.29 1.727435 0.006850 1.727435 0.000000 0.000000
4611.29 1.722228 0.013510 1.722228 0.000000 0.000000
4616.29 1.708244 0.022254 1.708244 0.000000 0.000000
4621.29 1.708604 0.022440 1.708604 0.000000 0.000000
4626.30 1.696159 0.016153 1.696159 0.000000 0.000000
4631.30 1.682961 0.017415 1.682961 0.000000 0.000000
4636.30 1.680371 0.020283 1.680371 0.000000 0.000000
4641.30 1.681650 0.019682 1.681650 0.000000 0.000000
4646.30 1.677869 0.018091 1.677869 0.000000 0.000000
4651.30 1.681063 0.021995 1.681063 0.000000 0.000000
4656.30 1.678982 0.018312 1.678982 0.000000 0.000000
4661.30 1.674366 0.019397 1.674366 0.000000 0.000000
4666.31 1.659065 0.028303 1.659065 0.000000 0.000000
4671.31 1.643987 0.020764 1.643987 0.000000 0.000000
4676.31 1.636964 0.020626 1.636964 0.000000 0.000000
4681.31 1.640570 0.034470 1.640570 0.000000 0.000000
4686.31 1.654559 0.042130 1.654559 0.000000 0.000000
4691.31 1.644642 0.011816 1.644642 0.000000 0.000000
4696.31 1.641658 0.026051 1.641658 0.000000 0.000000
4701.32 1.637853 0.038456 1.637853 0.000000 0.000000
4706.32 1.636871 0.040308 1.636871 0.000000 0.000000
4711.32 1.625782 0.044911 1.625782 0.000000 0.000000
4716.32 1.602599 0.031189 1.602599 0.000000 0.000000
4721.32 1.591068 0.025304 1.591068 0.000000 0.000000
4726.32 1.592402 0.035593 1.592402 0.000000 0.000000
4731.32 1.583284 0.034395 1.583284 0.000000 0.000000
4736.32 1.568989 0.017529 1.568989 0.000000 0.000000
4741.33 1.568756 0.010177 1.568756 0.000000 0.000000
4746.33 1.573964 0.018660 1.573964 0.000000 0.000000
4751.33 1.573592 0.020135 1.573592 0.000000 0.000000
4756.33 1.563951 0.016100 1.563951 0.000000 0.000000
4761.33 1.543588 0.013135 1.543588 0.000000 0.000000
4766.33 1.536354 0.013542 1.536354 0.000000 0.000000
4771.33 1.534852 0.019697 1.534852 0.000000 0.000000
4776.34 1.538411 0.025552 1.538411 0.000000 0.000000
4781.34 1.534401 0.017150 1.534401 0.000000 0.000000
4786.34 1.532353 0.016881 1.532353 0.000000 0.000000
4791.34 1.536658 0.020368 1.536658 0.000000 0.000000
4796.34 1.532649 0.023986 1.532649 0.000000 0.000000
4801.34 1.507267 0.018514 1.507267 0.000000 0.000000
4806.34 1.490010 0.020049 1.490010 0.000000 0.000000
4811.34 1.475463 0.022008 1.475463 0.000000 0.000000
4816.35 1.464820 0.013721 1.464820 0.000000 0.000000
4821.35 1.446877 0.012556 1.446877 0.000000 0.000000
4826.35 1.414371 0.014422 1.414371 0.000000 0.000000
4831.35 1.382949 0.014915 1.382949 0.000000 0.000000
4836.35 1.345409 0.035715 1.345409 0.000000 0.000000
4841.35 1.292800 0.053210 1.292800 0.000000 0.000000
4846.35 1.205864 0.058639 1.205864 0.000000 0.000000
4851.36 1.066348 0.060447 1.066348 0.000000 0.000000
4856.36 0.876355 0.079867 0.876355 0.000000 0.000000
4861.36 0.740252 0.085383 0.740252 0.000000 0.000000
4866.36 0.799844 0.023494 0.799844 0.000000 0.000000
4871.36 0.949182 0.051749 0.949182 0.000000 0.000000
