# lk ukf_b8i uks_b8i fh fl fse
# iRMS=3.217178892e-05 0
# 
4516.27 1.743842 0.000000 1.743842 0.000000 0.000000
4521.27 1.707287 0.000000 1.707287 0.000000 0.000000
4526.27 1.695772 0.000000 1.695772 0.000000 0.000000
4531.27 1.712929 0.000000 1.712929 0.000000 0.000000
4536.27 1.707592 0.000000 1.707592 0.000000 0.000000
4541.27 1.690179 0.000000 1.690179 0.000000 0.000000
4546.27 1.670049 0.000000 1.670049 0.000000 0.000000
4551.28 1.662648 0.000000 1.662648 0.000000 0.000000
4556.28 1.682971 0.000000 1.682971 0.000000 0.000000
4561.28 1.691353 0.000000 1.691353 0.000000 0.000000
4566.28 1.679933 0.000000 1.679933 0.000000 0.000000
4571.28 1.680776 0.000000 1.680776 0.000000 0.000000
4576.28 1.698427 0.000000 1.698427 0.000000 0.000000
4581.28 1.687578 0.000000 1.687578 0.000000 0.000000
4586.28 1.649159 0.000000 1.649159 0.000000 0.000000
4591.29 1.651325 0.000000 1.651325 0.000000 0.000000
4596.29 1.637048 0.000000 1.637048 0.000000 0.000000
4601.29 1.625854 0.000000 1.625854 0.000000 0.000000
4606.29 1.633796 0.000000 1.633796 0.000000 0.000000
4611.29 1.650633 0.000000 1.650633 0.000000 0.000000
4616.29 1.652445 0.000000 1.652445 0.000000 0.000000
4621.29 1.640389 0.000000 1.640389 0.000000 0.000000
4626.30 1.648180 0.000000 1.648180 0.000000 0.000000
4631.30 1.629224 0.000000 1.629224 0.000000 0.000000
4636.30 1.623142 0.000000 1.623142 0.000000 0.000000
4641.30 1.621684 0.000000 1.621684 0.000000 0.000000
4646.30 1.630733 0.000000 1.630733 0.000000 0.000000
4651.30 1.621305 0.000000 1.621305 0.000000 0.000000
4656.30 1.630188 0.000000 1.630188 0.000000 0.000000
4661.30 1.639109 0.000000 1.639109 0.000000 0.000000
4666.31 1.642888 0.000000 1.642888 0.000000 0.000000
4671.31 1.622154 0.000000 1.622154 0.000000 0.000000
4676.31 1.640974 0.000000 1.640974 0.000000 0.000000
4681.31 1.654270 0.000000 1.654270 0.000000 0.000000
4686.31 1.663013 0.000000 1.663013 0.000000 0.000000
4691.31 1.641262 0.000000 1.641262 0.000000 0.000000
4696.31 1.611040 0.000000 1.611040 0.000000 0.000000
4701.32 1.616062 0.000000 1.616062 0.000000 0.000000
4706.32 1.631865 0.000000 1.631865 0.000000 0.000000
4711.32 1.615597 0.000000 1.615597 0.000000 0.000000
4716.32 1.579408 0.000000 1.579408 0.000000 0.000000
4721.32 1.578813 0.000000 1.578813 0.000000 0.000000
4726.32 1.574148 0.000000 1.574148 0.000000 0.000000
4731.32 1.575151 0.000000 1.575151 0.000000 0.000000
4736.32 1.574302 0.000000 1.574302 0.000000 0.000000
4741.33 1.570948 0.000000 1.570948 0.000000 0.000000
4746.33 1.584731 0.000000 1.584731 0.000000 0.000000
4751.33 1.577345 0.000000 1.577345 0.000000 0.000000
4756.33 1.564030 0.000000 1.564030 0.000000 0.000000
4761.33 1.557166 0.000000 1.557166 0.000000 0.000000
4766.33 1.537281 0.000000 1.537281 0.000000 0.000000
4771.33 1.534235 0.000000 1.534235 0.000000 0.000000
4776.34 1.517917 0.000000 1.517917 0.000000 0.000000
4781.34 1.530262 0.000000 1.530262 0.000000 0.000000
4786.34 1.516726 0.000000 1.516726 0.000000 0.000000
4791.34 1.516251 0.000000 1.516251 0.000000 0.000000
4796.34 1.530341 0.000000 1.530341 0.000000 0.000000
4801.34 1.519699 0.000000 1.519699 0.000000 0.000000
4806.34 1.493824 0.000000 1.493824 0.000000 0.000000
4811.34 1.490376 0.000000 1.490376 0.000000 0.000000
4816.35 1.498627 0.000000 1.498627 0.000000 0.000000
4821.35 1.503582 0.000000 1.503582 0.000000 0.000000
4826.35 1.511421 0.000000 1.511421 0.000000 0.000000
4831.35 1.516076 0.000000 1.516076 0.000000 0.000000
4836.35 1.534156 0.000000 1.534156 0.000000 0.000000
4841.35 1.518266 0.000000 1.518266 0.000000 0.000000
4846.35 1.476652 0.000000 1.476652 0.000000 0.000000
4851.36 1.461084 0.000000 1.461084 0.000000 0.000000
4856.36 1.390513 0.000000 1.390513 0.000000 0.000000
4861.36 1.258583 0.000000 1.258583 0.000000 0.000000
4866.36 1.329920 0.000000 1.329920 0.000000 0.000000
4871.36 1.404757 0.000000 1.404757 0.000000 0.000000
4876.36 1.412769 0.000000 1.412769 0.000000 0.000000
4881.36 1.415738 0.000000 1.415738 0.000000 0.000000
4886.36 1.426938 0.000000 1.426938 0.000000 0.000000
4891.37 1.445232 0.000000 1.445232 0.000000 0.000000
4896.37 1.419553 0.000000 1.419553 0.000000 0.000000
4901.37 1.433690 0.000000 1.433690 0.000000 0.000000
4906.37 1.467216 0.000000 1.467216 0.000000 0.000000
4911.37 1.445445 0.000000 1.445445 0.000000 0.000000
4916.37 1.434726 0.000000 1.434726 0.000000 0.000000
4921.37 1.378741 0.000000 1.378741 0.000000 0.000000
4926.37 1.352691 0.000000 1.352691 0.000000 0.000000
4931.38 1.420963 0.000000 1.420963 0.000000 0.000000
4936.38 1.453830 0.000000 1.453830 0.000000 0.000000
4941.38 1.449883 0.000000 1.449883 0.000000 0.000000
4946.38 1.437340 0.000000 1.437340 0.000000 0.000000
4951.38 1.424535 0.000000 1.424535 0.000000 0.000000
4956.38 1.432116 0.000000 1.432116 0.000000 0.000000
4961.38 1.408888 0.000000 1.408888 0.000000 0.000000
4966.39 1.417136 0.000000 1.417136 0.000000 0.000000
4971.39 1.404438 0.000000 1.404438 0.000000 0.000000
4976.39 1.411975 0.000000 1.411975 0.000000 0.000000
4981.39 1.398410 0.000000 1.398410 0.000000 0.000000
