# lk ukf_m7iii uks_m7iii fh fl fk fm
# iRMS=0.8421489596 0
# 
4236.19 0.347518 0.000000 0.463423 0.000000 0.000000 0.459546
4241.19 0.499420 0.000000 0.581747 0.000000 0.000000 0.744657
4246.20 0.625494 0.000000 0.622437 0.000000 0.000000 1.038804
4251.20 0.629436 0.000000 0.607917 0.000000 0.000000 1.063793
4256.20 0.481091 0.000000 0.578172 0.000000 0.000000 0.699552
4261.20 0.456862 0.000000 0.549003 0.000000 0.000000 0.664371
4266.20 0.542787 0.000000 0.526607 0.000000 0.000000 0.914974
4271.20 0.461443 0.000000 0.502955 0.000000 0.000000 0.722585
4276.20 0.404913 0.000000 0.472723 0.000000 0.000000 0.602681
4281.20 0.524908 0.000000 0.455640 0.000000 0.000000 0.938457
4286.21 0.623876 0.000000 0.468661 0.000000 0.000000 1.188284
4291.21 0.595515 0.000000 0.492590 0.000000 0.000000 1.089031
4296.21 0.481818 0.000000 0.502898 0.000000 0.000000 0.776756
4301.21 0.518278 0.000000 0.489893 0.000000 0.000000 0.886594
4306.21 0.646329 0.000000 0.454468 0.000000 0.000000 1.262109
4311.21 0.569861 0.000000 0.425013 0.000000 0.000000 1.088474
4316.21 0.450007 0.000000 0.427929 0.000000 0.000000 0.767239
4321.21 0.480739 0.000000 0.454152 0.000000 0.000000 0.822636
4326.22 0.524065 0.000000 0.488447 0.000000 0.000000 0.903412
4331.22 0.513977 0.000000 0.526362 0.000000 0.000000 0.838702
4336.22 0.507962 0.000000 0.562335 0.000000 0.000000 0.786755
4341.22 0.530460 0.000000 0.575556 0.000000 0.000000 0.833287
4346.22 0.562195 0.000000 0.549593 0.000000 0.000000 0.943533
4351.22 0.546601 0.000000 0.500763 0.000000 0.000000 0.950948
4356.22 0.515086 0.000000 0.454506 0.000000 0.000000 0.913506
4361.23 0.526835 0.000000 0.440004 0.000000 0.000000 0.959211
4366.23 0.559647 0.000000 0.474486 0.000000 0.000000 1.011873
4371.23 0.607777 0.000000 0.523626 0.000000 0.000000 1.090562
4376.23 0.682205 0.000000 0.549641 0.000000 0.000000 1.262219
4381.23 0.636594 0.000000 0.552478 0.000000 0.000000 1.138245
4386.23 0.466857 0.000000 0.540001 0.000000 0.000000 0.699919
4391.23 0.460249 0.000000 0.514022 0.000000 0.000000 0.708348
4396.23 0.494856 0.000000 0.480851 0.000000 0.000000 0.833430
4401.24 0.355547 0.000000 0.470852 0.000000 0.000000 0.473442
4406.24 0.289409 0.000000 0.503021 0.000000 0.000000 0.265616
4411.24 0.455904 0.000000 0.526835 0.000000 0.000000 0.683994
4416.24 0.788248 0.000000 0.491935 0.000000 0.000000 1.601564
4421.24 0.895569 0.000000 0.418136 0.000000 0.000000 1.960395
4426.24 0.500536 0.000000 0.341777 0.000000 0.000000 0.987591
4431.24 0.208778 0.000000 0.295142 0.000000 0.000000 0.259348
4436.25 0.238474 0.000000 0.299103 0.000000 0.000000 0.334256
4441.25 0.303711 0.000000 0.332958 0.000000 0.000000 0.473665
4446.25 0.430678 0.000000 0.366987 0.000000 0.000000 0.776846
4451.25 0.600023 0.000000 0.376965 0.000000 0.000000 1.216629
4456.25 0.552649 0.000000 0.348705 0.000000 0.000000 1.119069
4461.25 0.345578 0.000000 0.302667 0.000000 0.000000 0.615150
4466.25 0.201895 0.000000 0.265676 0.000000 0.000000 0.270533
4471.25 0.249316 0.000000 0.255384 0.000000 0.000000 0.406771
4476.26 0.475609 0.000000 0.279622 0.000000 0.000000 0.983542
4481.26 0.696117 0.000000 0.316136 0.000000 0.000000 1.532672
4486.26 0.759143 0.000000 0.341358 0.000000 0.000000 1.674841
4491.26 0.620895 0.000000 0.356580 0.000000 0.000000 1.292448
4496.26 0.447785 0.000000 0.365940 0.000000 0.000000 0.823327
4501.26 0.346251 0.000000 0.360097 0.000000 0.000000 0.559507
4506.26 0.319086 0.000000 0.333886 0.000000 0.000000 0.513570
4511.27 0.317105 0.000000 0.312323 0.000000 0.000000 0.529873
4516.27 0.305560 0.000000 0.319719 0.000000 0.000000 0.491813
4521.27 0.327512 0.000000 0.347405 0.000000 0.000000 0.522430
4526.27 0.313571 0.000000 0.379791 0.000000 0.000000 0.453019
4531.27 0.182347 0.000000 0.406587 0.000000 0.000000 0.077707
4536.27 0.445035 0.000000 0.420058 0.000000 0.000000 0.761905
4541.27 1.045681 0.000000 0.417402 0.000000 0.000000 2.359809
4546.27 0.796518 0.000000 0.401070 0.000000 0.000000 1.714392
4551.28 0.214599 0.000000 0.389624 0.000000 0.000000 0.180328
4556.28 0.314686 0.000000 0.401911 0.000000 0.000000 0.433860
4561.28 0.431782 0.000000 0.441812 0.000000 0.000000 0.704953
4566.28 0.372578 0.000000 0.499434 0.000000 0.000000 0.490090
4571.28 0.569944 0.000000 0.524742 0.000000 0.000000 0.988965
4576.28 0.665518 0.000000 0.475105 0.000000 0.000000 1.292436
4581.28 0.408724 0.000000 0.377660 0.000000 0.000000 0.707865
4586.28 0.154743 0.000000 0.275643 0.000000 0.000000 0.135338
4591.29 0.175293 0.000000 0.206919 0.000000 0.000000 0.258638
4596.29 0.472517 0.000000 0.197907 0.000000 0.000000 1.057046
4601.29 0.517033 0.000000 0.234612 0.000000 0.000000 1.138569
4606.29 0.278749 0.000000 0.291869 0.000000 0.000000 0.448456
4611.29 0.235568 0.000000 0.340255 0.000000 0.000000 0.285387
4616.29 0.384701 0.000000 0.354699 0.000000 0.000000 0.667024
4621.29 0.540558 0.000000 0.331809 0.000000 0.000000 1.103853
4626.30 0.485768 0.000000 0.279975 0.000000 0.000000 1.010171
4631.30 0.267333 0.000000 0.233029 0.000000 0.000000 0.476977
4636.30 0.148893 0.000000 0.221200 0.000000 0.000000 0.174244
4641.30 0.153766 0.000000 0.234858 0.000000 0.000000 0.173527
4646.30 0.217454 0.000000 0.256968 0.000000 0.000000 0.320564
4651.30 0.287771 0.000000 0.280743 0.000000 0.000000 0.483543
4656.30 0.494492 0.000000 0.301471 0.000000 0.000000 1.011843
4661.30 0.849800 0.000000 0.312496 0.000000 0.000000 1.944477
4666.31 0.738930 0.000000 0.309599 0.000000 0.000000 1.652914
4671.31 0.288862 0.000000 0.300246 0.000000 0.000000 0.466938
4676.31 0.281982 0.000000 0.295366 0.000000 0.000000 0.453545
4681.31 0.426569 0.000000 0.308048 0.000000 0.000000 0.824870
4686.31 0.410358 0.000000 0.345876 0.000000 0.000000 0.743989
4691.31 0.491573 0.000000 0.392271 0.000000 0.000000 0.913292
4696.31 0.717494 0.000000 0.427787 0.000000 0.000000 1.477795
4701.32 0.918376 0.000000 0.445666 0.000000 0.000000 1.993437
4706.32 0.757410 0.000000 0.445262 0.000000 0.000000 1.566334
4711.32 0.351638 0.000000 0.437665 0.000000 0.000000 0.496246
4716.32 0.201360 0.000000 0.435149 0.000000 0.000000 0.099642
4721.32 0.276536 0.000000 0.442978 0.000000 0.000000 0.291471
4726.32 0.356564 0.000000 0.462956 0.000000 0.000000 0.484037
4731.32 0.263818 0.000000 0.490041 0.000000 0.000000 0.210630
4736.32 0.372351 0.000000 0.520104 0.000000 0.000000 0.468820
4741.33 1.131196 0.000000 0.559511 0.000000 0.000000 2.444819
4746.33 2.110826 0.000000 0.604464 0.000000 0.000000 5.001652
4751.33 2.538839 0.000000 0.600044 0.000000 0.000000 6.142825
4756.33 1.595788 0.000000 0.501805 0.000000 0.000000 3.736428
4761.33 0.309110 0.000000 0.358346 0.000000 0.000000 0.462615
4766.33 0.176684 0.000000 0.234627 0.000000 0.000000 -0.047747
4771.33 0.153852 0.000000 0.168021 0.000000 0.000000 0.240591
4776.34 0.149504 0.000000 0.175733 0.000000 0.000000 0.221333
4781.34 0.284901 0.000000 0.221880 0.000000 0.000000 0.534785
4786.34 0.473691 0.000000 0.264474 0.000000 0.000000 0.993596
4791.34 0.571292 0.000000 0.290194 0.000000 0.000000 1.227094
4796.34 0.525016 0.000000 0.295101 0.000000 0.000000 1.099282
4801.34 0.385840 0.000000 0.284118 0.000000 0.000000 0.740630
4806.34 0.265120 0.000000 0.264619 0.000000 0.000000 0.439509
4811.34 0.108857 0.000000 0.244925 0.000000 0.000000 0.044187
4816.35 0.176608 0.000000 0.234525 0.000000 0.000000 -0.101652
4821.35 0.579848 0.000000 0.246653 0.000000 0.000000 1.293358
4826.35 1.162401 0.000000 0.287996 0.000000 0.000000 2.799211
4831.35 0.722932 0.000000 0.335302 0.000000 0.000000 1.584724
4836.35 0.340731 0.000000 0.363324 0.000000 0.000000 0.541619
4841.35 0.711433 0.000000 0.368778 0.000000 0.000000 1.520708
4846.35 0.730899 0.000000 0.356572 0.000000 0.000000 1.584613
4851.36 0.316949 0.000000 0.342420 0.000000 0.000000 0.499361
4856.36 0.257049 0.000000 0.341347 0.000000 0.000000 -0.036242
4861.36 0.765561 0.000000 0.354811 0.000000 0.000000 1.678433
4866.36 1.525817 0.000000 0.381277 0.000000 0.000000 3.671122
4871.36 0.893442 0.000000 0.420809 0.000000 0.000000 1.952073
4876.36 0.701163 0.000000 0.471228 0.000000 0.000000 1.390982
4881.36 1.840136 0.000000 0.519777 0.000000 0.000000 4.367416
4886.36 1.935185 0.000000 0.555463 0.000000 0.000000 4.584172
4891.37 1.106294 0.000000 0.584935 0.000000 0.000000 2.353257
4896.37 0.726075 0.000000 0.618342 0.000000 0.000000 1.310031
4901.37 0.925372 0.000000 0.662195 0.000000 0.000000 1.795488
4906.37 1.239154 0.000000 0.721253 0.000000 0.000000 2.569799
