# lk ukf_wk2iii uks_wk2iii fh fse fl
# iRMS=4.419448305e-05 0
# 
4841.35 0.926263 0.002902 0.926263 0.000000 0.000000
4846.35 0.912536 0.001410 0.912536 0.000000 0.000000
4851.36 0.890572 0.003834 0.890572 0.000000 0.000000
4856.36 0.863073 0.000000 0.863073 0.000000 0.000000
4861.36 0.836961 0.014936 0.836961 0.000000 0.000000
4866.36 0.842121 0.013414 0.842121 0.000000 0.000000
4871.36 0.853219 0.011987 0.853219 0.000000 0.000000
4876.36 0.859856 0.009700 0.859856 0.000000 0.000000
4881.36 0.867644 0.006629 0.867644 0.000000 0.000000
4886.36 0.882730 0.004768 0.882730 0.000000 0.000000
4891.37 0.902409 0.006911 0.902409 0.000000 0.000000
4896.37 0.911715 0.024438 0.911715 0.000000 0.000000
4901.37 0.925143 0.021855 0.925143 0.000000 0.000000
4906.37 0.920462 0.011102 0.920462 0.000000 0.000000
4911.37 0.902164 0.006366 0.902164 0.000000 0.000000
4916.37 0.891247 0.004947 0.891247 0.000000 0.000000
4921.37 0.885097 0.006974 0.885097 0.000000 0.000000
4926.37 0.882792 0.007782 0.882792 0.000000 0.000000
4931.38 0.886845 0.011967 0.886845 0.000000 0.000000
4936.38 0.901949 0.020146 0.901949 0.000000 0.000000
4941.38 0.917687 0.031353 0.917687 0.000000 0.000000
4946.38 0.927361 0.038537 0.927361 0.000000 0.000000
4951.38 0.936532 0.032342 0.936532 0.000000 0.000000
4956.38 0.938688 0.022328 0.938688 0.000000 0.000000
4961.38 0.936062 0.016116 0.936062 0.000000 0.000000
4966.39 0.932127 0.017756 0.932127 0.000000 0.000000
4971.39 0.924037 0.021987 0.924037 0.000000 0.000000
4976.39 0.913924 0.017758 0.913924 0.000000 0.000000
4981.39 0.909531 0.004007 0.909531 0.000000 0.000000
4986.39 0.904029 0.001738 0.904029 0.000000 0.000000
4991.39 0.891223 0.007533 0.891223 0.000000 0.000000
4996.39 0.889110 0.007176 0.889110 0.000000 0.000000
5001.39 0.889223 0.002072 0.889223 0.000000 0.000000
5006.40 0.875770 0.007585 0.875770 0.000000 0.000000
5011.40 0.864332 0.013683 0.864332 0.000000 0.000000
5016.40 0.865388 0.017715 0.865388 0.000000 0.000000
5021.40 0.871386 0.010944 0.871386 0.000000 0.000000
5026.40 0.889594 0.007627 0.889594 0.000000 0.000000
5031.40 0.906945 0.007193 0.906945 0.000000 0.000000
5036.40 0.908090 0.002997 0.908090 0.000000 0.000000
5041.41 0.906790 0.000746 0.906790 0.000000 0.000000
5046.41 0.913190 0.005106 0.913190 0.000000 0.000000
5051.41 0.927284 0.004776 0.927284 0.000000 0.000000
5056.41 0.941887 0.001128 0.941887 0.000000 0.000000
5061.41 0.946115 0.006836 0.946115 0.000000 0.000000
5066.41 0.934881 0.009717 0.934881 0.000000 0.000000
5071.41 0.917644 0.012217 0.917644 0.000000 0.000000
5076.41 0.905537 0.017192 0.905537 0.000000 0.000000
5081.42 0.898631 0.020292 0.898631 0.000000 0.000000
5086.42 0.900473 0.024646 0.900473 0.000000 0.000000
5091.42 0.905568 0.031161 0.905568 0.000000 0.000000
5096.42 0.903213 0.033464 0.903213 0.000000 0.000000
5101.42 0.897902 0.029424 0.897902 0.000000 0.000000
5106.42 0.905824 0.031369 0.905824 0.000000 0.000000
5111.42 0.914878 0.036081 0.914878 0.000000 0.000000
5116.43 0.909726 0.037114 0.909726 0.000000 0.000000
5121.43 0.896030 0.037187 0.896030 0.000000 0.000000
5126.43 0.884866 0.041487 0.884866 0.000000 0.000000
5131.43 0.878879 0.045337 0.878879 0.000000 0.000000
5136.43 0.878932 0.044614 0.878932 0.000000 0.000000
5141.43 0.880522 0.039536 0.880522 0.000000 0.000000
5146.43 0.881811 0.035423 0.881811 0.000000 0.000000
5151.43 0.881271 0.035568 0.881271 0.000000 0.000000
5156.44 0.875484 0.040323 0.875484 0.000000 0.000000
5161.44 0.860045 0.048329 0.860045 0.000000 0.000000
5166.44 0.833739 0.056004 0.833739 0.000000 0.000000
5171.44 0.814573 0.058922 0.814573 0.000000 0.000000
5176.44 0.816922 0.051573 0.816922 0.000000 0.000000
5181.44 0.837326 0.043333 0.837326 0.000000 0.000000
5186.44 0.860762 0.036718 0.860762 0.000000 0.000000
5191.45 0.873568 0.026296 0.873568 0.000000 0.000000
5196.45 0.880985 0.023087 0.880985 0.000000 0.000000
5201.45 0.888459 0.026336 0.888459 0.000000 0.000000
5206.45 0.897104 0.029377 0.897104 0.000000 0.000000
5211.45 0.905190 0.030648 0.905190 0.000000 0.000000
5216.45 0.912772 0.032594 0.912772 0.000000 0.000000
5221.45 0.917755 0.034532 0.917755 0.000000 0.000000
5226.45 0.916288 0.031310 0.916288 0.000000 0.000000
5231.46 0.924981 0.032141 0.924981 0.000000 0.000000
5236.46 0.935019 0.020303 0.935019 0.000000 0.000000
5241.46 0.942871 0.007984 0.942871 0.000000 0.000000
5246.46 0.948264 0.012265 0.948264 0.000000 0.000000
5251.46 0.940555 0.019978 0.940555 0.000000 0.000000
5256.46 0.923307 0.029525 0.923307 0.000000 0.000000
5261.46 0.902876 0.041647 0.902876 0.000000 0.000000
5266.47 0.877666 0.043308 0.877666 0.000000 0.000000
5271.47 0.874578 0.036860 0.874578 0.000000 0.000000
5276.47 0.910225 0.023749 0.910225 0.000000 0.000000
5281.47 0.948544 0.005954 0.948544 0.000000 0.000000
5286.47 0.967944 0.002983 0.967944 0.000000 0.000000
5291.47 0.974373 0.007843 0.974373 0.000000 0.000000
5296.47 0.979635 0.009911 0.979635 0.000000 0.000000
5301.47 0.982361 0.000399 0.982361 0.000000 0.000000
